,dataset,percent labeled,fold,base,filter,f1-score,mean squared error,accuracy score
36,BreastTissue.csv,0.35,6,DecisionTreeClassifier,ENN,0.5142857142857142,0.7,0.6
37,BreastTissue.csv,0.35,7,DecisionTreeClassifier,ENN,0.58,1.0,0.6
38,BreastTissue.csv,0.35,8,DecisionTreeClassifier,ENN,0.16,5.5,0.2
39,BreastTissue.csv,0.35,9,DecisionTreeClassifier,ENN,0.58,1.5,0.6
50,BreastTissue.csv,0.35,0,DecisionTreeClassifier,ENANE,0.6757575757575757,0.5454545454545454,0.7272727272727273
51,BreastTissue.csv,0.35,1,DecisionTreeClassifier,ENANE,0.6121212121212122,1.181818181818182,0.6363636363636364
52,BreastTissue.csv,0.35,2,DecisionTreeClassifier,ENANE,0.403030303030303,2.727272727272727,0.4545454545454545
53,BreastTissue.csv,0.35,3,DecisionTreeClassifier,ENANE,0.4242424242424242,4.545454545454546,0.4545454545454545
54,BreastTissue.csv,0.35,4,DecisionTreeClassifier,ENANE,0.712121212121212,0.8181818181818182,0.7272727272727273
55,BreastTissue.csv,0.35,5,DecisionTreeClassifier,ENANE,0.6363636363636364,2.272727272727273,0.6363636363636364
56,BreastTissue.csv,0.35,6,DecisionTreeClassifier,ENANE,0.4633333333333332,1.7,0.5
57,BreastTissue.csv,0.35,7,DecisionTreeClassifier,ENANE,0.3933333333333333,1.5,0.4
58,BreastTissue.csv,0.35,8,DecisionTreeClassifier,ENANE,0.4,2.6,0.5
59,BreastTissue.csv,0.35,9,DecisionTreeClassifier,ENANE,0.7933333333333332,0.5,0.8
60,BreastTissue.csv,0.35,0,GaussianNB,ENN,0.6701298701298701,1.9090909090909087,0.7272727272727273
61,BreastTissue.csv,0.35,1,GaussianNB,ENN,0.7575757575757575,0.7272727272727273,0.8181818181818182
62,BreastTissue.csv,0.35,2,GaussianNB,ENN,0.6303030303030304,3.363636363636364,0.6363636363636364
63,BreastTissue.csv,0.35,3,GaussianNB,ENN,0.5696969696969697,2.363636363636364,0.5454545454545454
64,BreastTissue.csv,0.35,4,GaussianNB,ENN,0.6727272727272727,1.181818181818182,0.6363636363636364
65,BreastTissue.csv,0.35,5,GaussianNB,ENN,0.303030303030303,2.5454545454545454,0.2727272727272727
66,BreastTissue.csv,0.35,6,GaussianNB,ENN,0.5333333333333333,0.8,0.5
67,BreastTissue.csv,0.35,7,GaussianNB,ENN,0.4933333333333333,1.0,0.6
68,BreastTissue.csv,0.35,8,GaussianNB,ENN,0.51,2.2,0.6
69,BreastTissue.csv,0.35,9,GaussianNB,ENN,0.8,0.2,0.8
80,BreastTissue.csv,0.35,0,GaussianNB,ENANE,0.7757575757575758,0.7272727272727273,0.8181818181818182
81,BreastTissue.csv,0.35,1,GaussianNB,ENANE,0.7212121212121212,1.0909090909090908,0.7272727272727273
82,BreastTissue.csv,0.35,2,GaussianNB,ENANE,0.4939393939393939,3.4545454545454546,0.5454545454545454
83,BreastTissue.csv,0.35,3,GaussianNB,ENANE,0.3393939393939394,2.636363636363636,0.4545454545454545
84,BreastTissue.csv,0.35,4,GaussianNB,ENANE,0.6060606060606062,0.9090909090909092,0.6363636363636364
85,BreastTissue.csv,0.35,5,GaussianNB,ENANE,0.8121212121212121,0.4545454545454545,0.8181818181818182
86,BreastTissue.csv,0.35,6,GaussianNB,ENANE,0.6142857142857143,0.3,0.7
87,BreastTissue.csv,0.35,7,GaussianNB,ENANE,0.4933333333333333,1.0,0.6
88,BreastTissue.csv,0.35,8,GaussianNB,ENANE,0.4466666666666666,3.8,0.5
89,BreastTissue.csv,0.35,9,GaussianNB,ENANE,0.65,1.7,0.7
90,Modeling.csv,0.35,0,KNeighborsClassifier,ENN,0.7333333333333333,1.0384615384615383,0.7307692307692307
91,Modeling.csv,0.35,1,KNeighborsClassifier,ENN,0.7028019491820398,0.7307692307692307,0.7307692307692307
92,Modeling.csv,0.35,2,KNeighborsClassifier,ENN,0.8060016906170753,0.8461538461538461,0.8076923076923077
93,Modeling.csv,0.35,3,KNeighborsClassifier,ENN,0.9176788124156544,0.5,0.9230769230769232
94,Modeling.csv,0.35,4,KNeighborsClassifier,ENN,0.4869565217391304,1.1923076923076923,0.5769230769230769
95,Modeling.csv,0.35,5,KNeighborsClassifier,ENN,0.720607152045279,0.7692307692307693,0.7692307692307693
96,Modeling.csv,0.35,6,KNeighborsClassifier,ENN,0.6640004732109996,1.5384615384615383,0.6538461538461539
97,Modeling.csv,0.35,7,KNeighborsClassifier,ENN,0.7277732793522267,0.48,0.76
98,Modeling.csv,0.35,8,KNeighborsClassifier,ENN,0.6838095238095238,0.76,0.72
99,Modeling.csv,0.35,9,KNeighborsClassifier,ENN,0.916,0.32,0.92
110,Modeling.csv,0.35,0,KNeighborsClassifier,ENANE,0.7319838056680161,0.9230769230769232,0.7307692307692307
111,Modeling.csv,0.35,1,KNeighborsClassifier,ENANE,0.8421568627450979,0.3846153846153846,0.8461538461538461
112,Modeling.csv,0.35,2,KNeighborsClassifier,ENANE,0.8776134122287966,0.6538461538461539,0.8846153846153846
113,Modeling.csv,0.35,3,KNeighborsClassifier,ENANE,0.8789473684210527,0.6538461538461539,0.8846153846153846
114,Modeling.csv,0.35,4,KNeighborsClassifier,ENANE,0.6419413919413919,1.0769230769230769,0.6923076923076923
115,Modeling.csv,0.35,5,KNeighborsClassifier,ENANE,0.7192546583850933,1.2307692307692308,0.7307692307692307
116,Modeling.csv,0.35,6,KNeighborsClassifier,ENANE,0.7270846800258567,0.6153846153846154,0.7307692307692307
117,Modeling.csv,0.35,7,KNeighborsClassifier,ENANE,0.6888888888888889,1.32,0.68
118,Modeling.csv,0.35,8,KNeighborsClassifier,ENANE,0.731991341991342,0.6,0.76
119,Modeling.csv,0.35,9,KNeighborsClassifier,ENANE,0.7530158730158729,0.8,0.8
120,Modeling.csv,0.35,0,DecisionTreeClassifier,ENN,0.7286871023713128,0.8076923076923077,0.7307692307692307
121,Modeling.csv,0.35,1,DecisionTreeClassifier,ENN,0.8427800269905533,0.5769230769230769,0.8461538461538461
122,Modeling.csv,0.35,2,DecisionTreeClassifier,ENN,0.7777222777222778,0.6153846153846154,0.8076923076923077
123,Modeling.csv,0.35,3,DecisionTreeClassifier,ENN,0.8033182503770739,0.3076923076923077,0.8076923076923077
124,Modeling.csv,0.35,4,DecisionTreeClassifier,ENN,0.794891640866873,0.7307692307692307,0.8076923076923077
125,Modeling.csv,0.35,5,DecisionTreeClassifier,ENN,0.7004734396038744,0.7307692307692307,0.7307692307692307
126,Modeling.csv,0.35,6,DecisionTreeClassifier,ENN,0.6795178505704821,1.0384615384615383,0.6923076923076923
127,Modeling.csv,0.35,7,DecisionTreeClassifier,ENN,0.7658039215686274,0.36,0.76
128,Modeling.csv,0.35,8,DecisionTreeClassifier,ENN,0.7333333333333333,0.48,0.76
129,Modeling.csv,0.35,9,DecisionTreeClassifier,ENN,0.7527925696594429,0.72,0.76
140,Modeling.csv,0.35,0,DecisionTreeClassifier,ENANE,0.7300150829562594,0.6153846153846154,0.7307692307692307
141,Modeling.csv,0.35,1,DecisionTreeClassifier,ENANE,0.7153846153846154,0.7307692307692307,0.7307692307692307
142,Modeling.csv,0.35,2,DecisionTreeClassifier,ENANE,0.7325174825174824,0.6153846153846154,0.7307692307692307
143,Modeling.csv,0.35,3,DecisionTreeClassifier,ENANE,0.6232741617357002,1.0384615384615383,0.6153846153846154
144,Modeling.csv,0.35,4,DecisionTreeClassifier,ENANE,0.6552197802197802,1.3461538461538465,0.6538461538461539
145,Modeling.csv,0.35,5,DecisionTreeClassifier,ENANE,0.6637362637362637,1.5384615384615383,0.6538461538461539
146,Modeling.csv,0.35,6,DecisionTreeClassifier,ENANE,0.7961538461538461,0.6153846153846154,0.8076923076923077
147,Modeling.csv,0.35,7,DecisionTreeClassifier,ENANE,0.6629774436090226,1.16,0.64
148,Modeling.csv,0.35,8,DecisionTreeClassifier,ENANE,0.731991341991342,0.6,0.76
149,Modeling.csv,0.35,9,DecisionTreeClassifier,ENANE,0.71672049689441,0.52,0.72
150,Modeling.csv,0.35,0,GaussianNB,ENN,0.5736530675801931,1.2307692307692308,0.5769230769230769
151,Modeling.csv,0.35,1,GaussianNB,ENN,0.6902714932126697,0.7692307692307693,0.6923076923076923
152,Modeling.csv,0.35,2,GaussianNB,ENN,0.6448169477581243,1.0384615384615383,0.6538461538461539
153,Modeling.csv,0.35,3,GaussianNB,ENN,0.4697802197802198,1.3846153846153846,0.5384615384615384
154,Modeling.csv,0.35,4,GaussianNB,ENN,0.4107406525363182,1.4230769230769231,0.4615384615384615
155,Modeling.csv,0.35,5,GaussianNB,ENN,0.3990223822999743,1.2692307692307692,0.4230769230769231
156,Modeling.csv,0.35,6,GaussianNB,ENN,0.5697802197802199,1.1923076923076923,0.6153846153846154
157,Modeling.csv,0.35,7,GaussianNB,ENN,0.6488888888888888,1.28,0.64
158,Modeling.csv,0.35,8,GaussianNB,ENN,0.4076923076923077,1.4,0.44
159,Modeling.csv,0.35,9,GaussianNB,ENN,0.3462271062271062,1.16,0.44
170,Modeling.csv,0.35,0,GaussianNB,ENANE,0.620400112707805,1.0769230769230769,0.6153846153846154
171,Modeling.csv,0.35,1,GaussianNB,ENANE,0.6004180602006689,1.0384615384615383,0.6538461538461539
172,Modeling.csv,0.35,2,GaussianNB,ENANE,0.5947593342330184,0.9615384615384616,0.6153846153846154
173,Modeling.csv,0.35,3,GaussianNB,ENANE,0.6125404007756949,1.5,0.6153846153846154
174,Modeling.csv,0.35,4,GaussianNB,ENANE,0.4025641025641026,1.2307692307692308,0.4615384615384615
175,Modeling.csv,0.35,5,GaussianNB,ENANE,0.3173541434410999,1.5384615384615383,0.3846153846153846
176,Modeling.csv,0.35,6,GaussianNB,ENANE,0.6540723981900454,0.8076923076923077,0.6538461538461539
177,Modeling.csv,0.35,7,GaussianNB,ENANE,0.5471679197994987,1.12,0.6
178,Modeling.csv,0.35,8,GaussianNB,ENANE,0.6773333333333333,0.88,0.68
179,Modeling.csv,0.35,9,GaussianNB,ENANE,0.664,0.92,0.68
180,SPECTF.csv,0.35,0,KNeighborsClassifier,ENN,0.7333333333333334,0.25,0.75
181,SPECTF.csv,0.35,1,KNeighborsClassifier,ENN,0.873015873015873,0.125,0.875
182,SPECTF.csv,0.35,2,KNeighborsClassifier,ENN,0.2727272727272727,0.625,0.375
183,SPECTF.csv,0.35,3,KNeighborsClassifier,ENN,0.3333333333333333,0.5,0.5
184,SPECTF.csv,0.35,4,KNeighborsClassifier,ENN,0.3333333333333333,0.5,0.5
185,SPECTF.csv,0.35,5,KNeighborsClassifier,ENN,0.5636363636363637,0.375,0.625
186,SPECTF.csv,0.35,6,KNeighborsClassifier,ENN,0.5636363636363637,0.375,0.625
187,SPECTF.csv,0.35,7,KNeighborsClassifier,ENN,0.2727272727272727,0.625,0.375
188,SPECTF.csv,0.35,8,KNeighborsClassifier,ENN,0.5636363636363637,0.375,0.625
189,SPECTF.csv,0.35,9,KNeighborsClassifier,ENN,0.5636363636363637,0.375,0.625
200,SPECTF.csv,0.35,0,KNeighborsClassifier,ENANE,0.4666666666666667,0.5,0.5
201,SPECTF.csv,0.35,1,KNeighborsClassifier,ENANE,0.873015873015873,0.125,0.875
202,SPECTF.csv,0.35,2,KNeighborsClassifier,ENANE,0.6190476190476191,0.375,0.625
203,SPECTF.csv,0.35,3,KNeighborsClassifier,ENANE,0.5636363636363637,0.375,0.625
204,SPECTF.csv,0.35,4,KNeighborsClassifier,ENANE,0.3333333333333333,0.5,0.5
205,SPECTF.csv,0.35,5,KNeighborsClassifier,ENANE,0.3333333333333333,0.5,0.5
206,SPECTF.csv,0.35,6,KNeighborsClassifier,ENANE,0.3333333333333333,0.5,0.5
207,SPECTF.csv,0.35,7,KNeighborsClassifier,ENANE,0.3333333333333333,0.5,0.5
208,SPECTF.csv,0.35,8,KNeighborsClassifier,ENANE,0.873015873015873,0.125,0.875
209,SPECTF.csv,0.35,9,KNeighborsClassifier,ENANE,0.3333333333333333,0.5,0.5
210,SPECTF.csv,0.35,0,DecisionTreeClassifier,ENN,0.3333333333333333,0.5,0.5
211,SPECTF.csv,0.35,1,DecisionTreeClassifier,ENN,0.873015873015873,0.125,0.875
212,SPECTF.csv,0.35,2,DecisionTreeClassifier,ENN,0.4666666666666667,0.5,0.5
213,SPECTF.csv,0.35,3,DecisionTreeClassifier,ENN,0.873015873015873,0.125,0.875
214,SPECTF.csv,0.35,4,DecisionTreeClassifier,ENN,0.873015873015873,0.125,0.875
215,SPECTF.csv,0.35,5,DecisionTreeClassifier,ENN,0.5636363636363637,0.375,0.625
216,SPECTF.csv,0.35,6,DecisionTreeClassifier,ENN,0.873015873015873,0.125,0.875
217,SPECTF.csv,0.35,7,DecisionTreeClassifier,ENN,0.5636363636363637,0.375,0.625
218,SPECTF.csv,0.35,8,DecisionTreeClassifier,ENN,0.6190476190476191,0.375,0.625
219,SPECTF.csv,0.35,9,DecisionTreeClassifier,ENN,0.6190476190476191,0.375,0.625
230,SPECTF.csv,0.35,0,DecisionTreeClassifier,ENANE,0.6190476190476191,0.375,0.625
231,SPECTF.csv,0.35,1,DecisionTreeClassifier,ENANE,0.4666666666666667,0.5,0.5
232,SPECTF.csv,0.35,2,DecisionTreeClassifier,ENANE,0.7333333333333334,0.25,0.75
233,SPECTF.csv,0.35,3,DecisionTreeClassifier,ENANE,0.4666666666666667,0.5,0.5
234,SPECTF.csv,0.35,4,DecisionTreeClassifier,ENANE,0.75,0.25,0.75
235,SPECTF.csv,0.35,5,DecisionTreeClassifier,ENANE,0.75,0.25,0.75
236,SPECTF.csv,0.35,6,DecisionTreeClassifier,ENANE,0.873015873015873,0.125,0.875
237,SPECTF.csv,0.35,7,DecisionTreeClassifier,ENANE,0.4666666666666667,0.5,0.5
238,SPECTF.csv,0.35,8,DecisionTreeClassifier,ENANE,0.873015873015873,0.125,0.875
239,SPECTF.csv,0.35,9,DecisionTreeClassifier,ENANE,0.3650793650793651,0.625,0.375
240,SPECTF.csv,0.35,0,GaussianNB,ENN,1.0,0.0,1.0
241,SPECTF.csv,0.35,1,GaussianNB,ENN,0.873015873015873,0.125,0.875
242,SPECTF.csv,0.35,2,GaussianNB,ENN,0.75,0.25,0.75
243,SPECTF.csv,0.35,3,GaussianNB,ENN,0.873015873015873,0.125,0.875
244,SPECTF.csv,0.35,4,GaussianNB,ENN,0.4666666666666667,0.5,0.5
245,SPECTF.csv,0.35,5,GaussianNB,ENN,0.6190476190476191,0.375,0.625
246,SPECTF.csv,0.35,6,GaussianNB,ENN,0.873015873015873,0.125,0.875
247,SPECTF.csv,0.35,7,GaussianNB,ENN,0.7333333333333334,0.25,0.75
248,SPECTF.csv,0.35,8,GaussianNB,ENN,0.873015873015873,0.125,0.875
249,SPECTF.csv,0.35,9,GaussianNB,ENN,0.6190476190476191,0.375,0.625
260,SPECTF.csv,0.35,0,GaussianNB,ENANE,1.0,0.0,1.0
261,SPECTF.csv,0.35,1,GaussianNB,ENANE,0.873015873015873,0.125,0.875
262,SPECTF.csv,0.35,2,GaussianNB,ENANE,0.75,0.25,0.75
263,SPECTF.csv,0.35,3,GaussianNB,ENANE,0.873015873015873,0.125,0.875
264,SPECTF.csv,0.35,4,GaussianNB,ENANE,0.4666666666666667,0.5,0.5
265,SPECTF.csv,0.35,5,GaussianNB,ENANE,0.5636363636363637,0.375,0.625
266,SPECTF.csv,0.35,6,GaussianNB,ENANE,0.873015873015873,0.125,0.875
267,SPECTF.csv,0.35,7,GaussianNB,ENANE,0.7333333333333334,0.25,0.75
268,SPECTF.csv,0.35,8,GaussianNB,ENANE,0.873015873015873,0.125,0.875
269,SPECTF.csv,0.35,9,GaussianNB,ENANE,0.6190476190476191,0.375,0.625
270,ThoraricSurgery.csv,0.35,0,KNeighborsClassifier,ENN,0.7609511889862328,0.1914893617021276,0.8085106382978723
271,ThoraricSurgery.csv,0.35,1,KNeighborsClassifier,ENN,0.7825874296894108,0.1489361702127659,0.851063829787234
272,ThoraricSurgery.csv,0.35,2,KNeighborsClassifier,ENN,0.7497467071935158,0.2127659574468085,0.7872340425531915
273,ThoraricSurgery.csv,0.35,3,KNeighborsClassifier,ENN,0.7265179034769071,0.2553191489361702,0.7446808510638298
274,ThoraricSurgery.csv,0.35,4,KNeighborsClassifier,ENN,0.7825874296894108,0.1489361702127659,0.851063829787234
275,ThoraricSurgery.csv,0.35,5,KNeighborsClassifier,ENN,0.7609511889862328,0.1914893617021276,0.8085106382978723
276,ThoraricSurgery.csv,0.35,6,KNeighborsClassifier,ENN,0.7825874296894108,0.1489361702127659,0.851063829787234
277,ThoraricSurgery.csv,0.35,7,KNeighborsClassifier,ENN,0.7497467071935158,0.2127659574468085,0.7872340425531915
278,ThoraricSurgery.csv,0.35,8,KNeighborsClassifier,ENN,0.7718951014349332,0.1702127659574468,0.8297872340425532
279,ThoraricSurgery.csv,0.35,9,KNeighborsClassifier,ENN,0.7825874296894108,0.1489361702127659,0.851063829787234
290,ThoraricSurgery.csv,0.35,0,KNeighborsClassifier,ENANE,0.7446808510638298,0.2553191489361702,0.7446808510638298
291,ThoraricSurgery.csv,0.35,1,KNeighborsClassifier,ENANE,0.7609511889862328,0.1914893617021276,0.8085106382978723
292,ThoraricSurgery.csv,0.35,2,KNeighborsClassifier,ENANE,0.7825874296894108,0.1489361702127659,0.851063829787234
293,ThoraricSurgery.csv,0.35,3,KNeighborsClassifier,ENANE,0.7997973657548125,0.1702127659574468,0.8297872340425532
294,ThoraricSurgery.csv,0.35,4,KNeighborsClassifier,ENANE,0.738272237887721,0.2340425531914893,0.7659574468085106
295,ThoraricSurgery.csv,0.35,5,KNeighborsClassifier,ENANE,0.7718951014349332,0.1702127659574468,0.8297872340425532
296,ThoraricSurgery.csv,0.35,6,KNeighborsClassifier,ENANE,0.7825874296894108,0.1489361702127659,0.851063829787234
297,ThoraricSurgery.csv,0.35,7,KNeighborsClassifier,ENANE,0.7497467071935158,0.2127659574468085,0.7872340425531915
298,ThoraricSurgery.csv,0.35,8,KNeighborsClassifier,ENANE,0.7718951014349332,0.1702127659574468,0.8297872340425532
299,ThoraricSurgery.csv,0.35,9,KNeighborsClassifier,ENANE,0.7825874296894108,0.1489361702127659,0.851063829787234
300,ThoraricSurgery.csv,0.35,0,DecisionTreeClassifier,ENN,0.738272237887721,0.2340425531914893,0.7659574468085106
301,ThoraricSurgery.csv,0.35,1,DecisionTreeClassifier,ENN,0.7497467071935158,0.2127659574468085,0.7872340425531915
302,ThoraricSurgery.csv,0.35,2,DecisionTreeClassifier,ENN,0.7265179034769071,0.2553191489361702,0.7446808510638298
303,ThoraricSurgery.csv,0.35,3,DecisionTreeClassifier,ENN,0.7021276595744681,0.2978723404255319,0.7021276595744681
304,ThoraricSurgery.csv,0.35,4,DecisionTreeClassifier,ENN,0.7820489898086894,0.2340425531914893,0.7659574468085106
305,ThoraricSurgery.csv,0.35,5,DecisionTreeClassifier,ENN,0.7663307204180666,0.2553191489361702,0.7446808510638298
306,ThoraricSurgery.csv,0.35,6,DecisionTreeClassifier,ENN,0.7584005172657656,0.2340425531914893,0.7659574468085106
307,ThoraricSurgery.csv,0.35,7,DecisionTreeClassifier,ENN,0.7265179034769071,0.2553191489361702,0.7446808510638298
308,ThoraricSurgery.csv,0.35,8,DecisionTreeClassifier,ENN,0.8176786023179382,0.1702127659574468,0.8297872340425532
309,ThoraricSurgery.csv,0.35,9,DecisionTreeClassifier,ENN,0.7820489898086894,0.2340425531914893,0.7659574468085106
320,ThoraricSurgery.csv,0.35,0,DecisionTreeClassifier,ENANE,0.6764866339334424,0.3404255319148936,0.6595744680851063
321,ThoraricSurgery.csv,0.35,1,DecisionTreeClassifier,ENANE,0.7997973657548125,0.1702127659574468,0.8297872340425532
322,ThoraricSurgery.csv,0.35,2,DecisionTreeClassifier,ENANE,0.7609511889862328,0.1914893617021276,0.8085106382978723
323,ThoraricSurgery.csv,0.35,3,DecisionTreeClassifier,ENANE,0.7584005172657656,0.2340425531914893,0.7659574468085106
324,ThoraricSurgery.csv,0.35,4,DecisionTreeClassifier,ENANE,0.7021276595744681,0.2978723404255319,0.7021276595744681
325,ThoraricSurgery.csv,0.35,5,DecisionTreeClassifier,ENANE,0.7858591037263173,0.1914893617021276,0.8085106382978723
326,ThoraricSurgery.csv,0.35,6,DecisionTreeClassifier,ENANE,0.7584005172657656,0.2340425531914893,0.7659574468085106
327,ThoraricSurgery.csv,0.35,7,DecisionTreeClassifier,ENANE,0.8297872340425532,0.1702127659574468,0.8297872340425532
328,ThoraricSurgery.csv,0.35,8,DecisionTreeClassifier,ENANE,0.7720982528974224,0.2127659574468085,0.7872340425531915
329,ThoraricSurgery.csv,0.35,9,DecisionTreeClassifier,ENANE,0.7722775832660023,0.2340425531914893,0.7659574468085106
330,ThoraricSurgery.csv,0.35,0,GaussianNB,ENN,0.159637531410387,0.7872340425531915,0.2127659574468085
331,ThoraricSurgery.csv,0.35,1,GaussianNB,ENN,0.7256244218316372,0.3191489361702128,0.6808510638297872
332,ThoraricSurgery.csv,0.35,2,GaussianNB,ENN,0.7080966592856455,0.3404255319148936,0.6595744680851063
333,ThoraricSurgery.csv,0.35,3,GaussianNB,ENN,0.442444080741953,0.5957446808510638,0.4042553191489361
334,ThoraricSurgery.csv,0.35,4,GaussianNB,ENN,0.080856938637632,0.8297872340425532,0.1702127659574468
335,ThoraricSurgery.csv,0.35,5,GaussianNB,ENN,0.080856938637632,0.8297872340425532,0.1702127659574468
336,ThoraricSurgery.csv,0.35,6,GaussianNB,ENN,0.0386130811662726,0.851063829787234,0.1489361702127659
337,ThoraricSurgery.csv,0.35,7,GaussianNB,ENN,0.0337213970293054,0.8723404255319149,0.1276595744680851
338,ThoraricSurgery.csv,0.35,8,GaussianNB,ENN,0.080856938637632,0.8297872340425532,0.1702127659574468
339,ThoraricSurgery.csv,0.35,9,GaussianNB,ENN,0.0337213970293054,0.8723404255319149,0.1276595744680851
350,ThoraricSurgery.csv,0.35,0,GaussianNB,ENANE,0.1211518977476424,0.8085106382978723,0.1914893617021276
351,ThoraricSurgery.csv,0.35,1,GaussianNB,ENANE,0.7061803444782168,0.3404255319148936,0.6595744680851063
352,ThoraricSurgery.csv,0.35,2,GaussianNB,ENANE,0.0386130811662726,0.851063829787234,0.1489361702127659
353,ThoraricSurgery.csv,0.35,3,GaussianNB,ENANE,0.0386130811662726,0.851063829787234,0.1489361702127659
354,ThoraricSurgery.csv,0.35,4,GaussianNB,ENANE,0.080856938637632,0.8297872340425532,0.1702127659574468
355,ThoraricSurgery.csv,0.35,5,GaussianNB,ENANE,0.080856938637632,0.8297872340425532,0.1702127659574468
356,ThoraricSurgery.csv,0.35,6,GaussianNB,ENANE,0.0386130811662726,0.851063829787234,0.1489361702127659
357,ThoraricSurgery.csv,0.35,7,GaussianNB,ENANE,0.1211518977476424,0.8085106382978723,0.1914893617021276
358,ThoraricSurgery.csv,0.35,8,GaussianNB,ENANE,0.159637531410387,0.7872340425531915,0.2127659574468085
359,ThoraricSurgery.csv,0.35,9,GaussianNB,ENANE,0.7825874296894108,0.1489361702127659,0.851063829787234
360,blood-transfusion.csv,0.35,0,KNeighborsClassifier,ENN,0.7033017077798862,0.28,0.72
361,blood-transfusion.csv,0.35,1,KNeighborsClassifier,ENN,0.7005679513184584,0.2933333333333333,0.7066666666666667
362,blood-transfusion.csv,0.35,2,KNeighborsClassifier,ENN,0.84,0.16,0.84
363,blood-transfusion.csv,0.35,3,KNeighborsClassifier,ENN,0.7706666666666666,0.2133333333333333,0.7866666666666666
364,blood-transfusion.csv,0.35,4,KNeighborsClassifier,ENN,0.7441490683229813,0.2533333333333333,0.7466666666666667
365,blood-transfusion.csv,0.35,5,KNeighborsClassifier,ENN,0.7438482384823847,0.2266666666666666,0.7733333333333333
366,blood-transfusion.csv,0.35,6,KNeighborsClassifier,ENN,0.8327118644067795,0.16,0.84
367,blood-transfusion.csv,0.35,7,KNeighborsClassifier,ENN,0.6533333333333333,0.3466666666666667,0.6533333333333333
368,blood-transfusion.csv,0.35,8,KNeighborsClassifier,ENN,0.7173868082958992,0.2567567567567567,0.7432432432432432
369,blood-transfusion.csv,0.35,9,KNeighborsClassifier,ENN,0.787907705940493,0.1891891891891892,0.8108108108108109
380,blood-transfusion.csv,0.35,0,KNeighborsClassifier,ENANE,0.694306070105443,0.28,0.72
381,blood-transfusion.csv,0.35,1,KNeighborsClassifier,ENANE,0.752533485323454,0.2266666666666666,0.7733333333333333
382,blood-transfusion.csv,0.35,2,KNeighborsClassifier,ENANE,0.7550101419878296,0.24,0.76
383,blood-transfusion.csv,0.35,3,KNeighborsClassifier,ENANE,0.694306070105443,0.28,0.72
