@relation segment-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Short-line-density-5 numeric
@attribute Short-line-density-2 numeric
@attribute Vedge-mean numeric
@attribute Vegde-sd numeric
@attribute Hedge-mean numeric
@attribute Hedge-sd numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Saturatoin-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
0.3083,0.2125,0,0,0,0.019011,0.000388,0.019876,0.000438,0.768138,0.734198,0.842415,0.720966,0.354478,0.669412,0.199241,0.842415,0.208013,0.145388,2
0.067194,0.3,0,0,0.5,0.211027,0.010072,0.288199,0.020764,0.100181,0.06564,0.150221,0.080281,0.563433,0.395294,0.428843,0.150221,0.664785,0.129262,3
0.841897,0.979167,0,0,0,0.096958,0.001934,0.067081,0.001435,0.122128,0.103728,0.102356,0.160561,0.66791,0.065882,0.85389,0.151694,0.391548,0.885904,7
0.367589,0.5375,0,0,0,0.005703,0.000034,0.007453,0.000032,0.021172,0.012966,0.040501,0.008574,0.770522,0.229412,0.485769,0.040501,0.797884,0.177685,5
0.209486,0.545833,0,0,0,0.024715,0.000835,0.04472,0.001521,0.012652,0.006483,0.0243,0.006235,0.787313,0.190588,0.531309,0.0243,0.769444,0.159449,5
0.418972,0.5625,0,0,0,0.064639,0.001016,0.047205,0.000951,0.14898,0.122366,0.196613,0.123928,0.602612,0.395294,0.388994,0.196613,0.432786,0.1476,4
0.363636,0.9375,0,0.333333,0,0.060837,0.002719,0.04472,0.000673,0.087271,0.069692,0.071429,0.120811,0.684701,0.076471,0.819734,0.114138,0.447247,0.89167,7
0.964427,0.991667,0,0,0,0.068441,0.0013,0.03354,0.000441,0.102763,0.078606,0.10162,0.127046,0.634328,0.150588,0.751423,0.120029,0.406212,0.971641,7
0.185771,0.675,0,0,0,0.039924,0.001079,0.032298,0.001184,0.134005,0.119935,0.108984,0.173811,0.69403,0.043529,0.863378,0.164212,0.349656,0.863527,7
0.940711,0.4625,0,0,0,0.009506,0.000063,0.007453,0.000128,0.03873,0.051053,0.044183,0.021044,0.906716,0.167059,0.447818,0.047865,0.581349,0.350992,1
0.72332,0.558333,0,0,0,0.032319,0.000495,0.039752,0.000674,0.023754,0.017018,0.038292,0.014809,0.779851,0.207059,0.512334,0.038292,0.656614,0.169167,5
0.434783,0.979167,0,0,0,0.108365,0.002112,0.130435,0.002967,0.18048,0.153971,0.148748,0.239283,0.593284,0.022353,1,0.226068,0.388973,0.882741,7
0.608696,0.120833,0,0,0,0.064639,0.00209,0.001242,0.000098,0.008779,0.008914,0.010309,0.007015,0.83209,0.141176,0.565465,0.010309,0.116667,0.24735,5
0.754941,0.608333,0,0,0,0.036122,0.000512,0.017391,0.000118,0.127808,0.101297,0.114138,0.167576,0.610075,0.096471,0.863378,0.158321,0.418184,0.920448,7
0.822134,0.991667,0,0,0,0.08365,0.00366,0.062112,0.003035,0.073328,0.055105,0.053756,0.111458,0.684701,0.055294,0.85389,0.105302,0.533307,0.873133,7
0.462451,0.475,0,0,0,0.011407,0.000301,0.019876,0.000248,0.008004,0,0.020619,0.002338,0.776119,0.194118,0.537002,0.020619,1,0.145808,3
0.166008,0.5875,0,0,0,0.06654,0.001722,0.027329,0.000598,0.010586,0.007293,0.019146,0.004677,0.807836,0.175294,0.535104,0.019146,0.648677,0.186503,5
0.972332,0.3375,0,0,0,0.030418,0.000523,0.009938,0.000085,0.084172,0.055105,0.13623,0.056898,0.606343,0.401176,0.375712,0.13623,0.632127,0.152153,5
0.245059,0.791667,0,0,0,0.072243,0.001749,0.055901,0.001195,0.429641,0.400324,0.506627,0.375682,0.494403,0.602353,0.165085,0.506627,0.299213,0.169568,6
0.126482,0.441667,0,0,0,0.009506,0.000019,0.002484,0.000021,0.007488,0,0.020619,0.000779,0.779851,0.196471,0.529412,0.020619,1,0.153029,3
0.462451,0.308333,0,0,0,0.112167,0.004455,0.050932,0.004918,0.057062,0.025932,0.098675,0.042868,0.600746,0.344706,0.472486,0.098675,0.774121,0.120048,3
0.474308,0.204167,0,0,0,0.077947,0.002349,0.064596,0.002073,0.186419,0.179903,0.233432,0.142634,0.729478,0.401176,0.250474,0.233432,0.4223,0.212882,1
0.857708,0.433333,0,0,0,0.032319,0.000538,0.008696,0.000281,0.160083,0.141815,0.19514,0.140296,0.656716,0.337647,0.426945,0.19514,0.339149,0.150337,5
0.822134,0,0,0,0,0.028517,0.000258,0.048447,0.002781,0.986832,0.985413,0.994845,0.978176,0.509328,0.403529,0.470588,0.994845,0.099836,0.107877,2
0.213439,0.825,0,0.333333,0,0.062738,0.001306,0.031056,0.00072,0.087271,0.075365,0.068483,0.118472,0.723881,0.062353,0.802657,0.111929,0.407904,0.86347,7
0.193676,0.783333,0,0,0,0.110266,0.003004,0.125466,0.00333,0.388071,0.358185,0.462445,0.33749,0.503731,0.58,0.191651,0.462445,0.312414,0.167669,6
0.628458,0.125,0,0,0,0.028517,0.000816,0.004969,0.000124,0.004906,0.004052,0.0081,0.002338,0.826493,0.148235,0.559772,0.0081,0.537037,0.201297,5
0.557312,0.5375,0,0,0,0.144487,0.001305,0.03354,0.000521,0.184353,0.170989,0.214286,0.165238,0.682836,0.318824,0.43074,0.214286,0.2851,0.158426,4
0.031621,0.345833,0,0,0,0.020913,0.000556,0.02236,0.000481,0.789052,0.779579,0.845361,0.737334,0.516791,0.588235,0.165085,0.845361,0.176789,0.172726,2
0.422925,0.5625,0,0,0,0,0,0,0,0,0,0,0,0.833955,0.131765,0.578748,0,0,0.511054,3
0.217391,0.4,0,0,0,0.038023,0.000209,0.10559,0.014568,0.347276,0.337115,0.386598,0.314887,0.652985,0.402353,0.326376,0.386598,0.230455,0.176732,4
0.209486,0.6875,0,0,0,0.072243,0.000694,0.059627,0.001941,0.353215,0.335494,0.415317,0.303975,0.598881,0.512941,0.203036,0.415317,0.308573,0.183453,6
0.158103,0.383333,0,0,0,0.08365,0.003122,0.039752,0.001079,0.427059,0.408428,0.486745,0.381138,0.56903,0.518824,0.223909,0.486745,0.259607,0.174805,4
0.26087,0.520833,0,0,0,0.230038,0.003739,0.059627,0.002306,0.108185,0.06564,0.167894,0.085737,0.505597,0.443529,0.409867,0.167894,0.660813,0.123671,3
0.351779,0.375,0,0.333333,0,0.030418,0.000388,0.038509,0.00136,0.139943,0.148298,0.165685,0.104443,0.847015,0.288235,0.313093,0.165685,0.404038,0.255857,1
0.70751,0.8875,0,0,0,0.127376,0.003738,0.080745,0.004053,0.105861,0.085089,0.088365,0.144193,0.656716,0.072941,0.85389,0.13623,0.443375,0.896884,7
0.375494,0.008333,0,0,0,0.028517,0.000482,0.012422,0.00015,0.918668,0.8906,0.959499,0.901013,0.347015,0.544706,0.40797,0.959499,0.156568,0.110452,2
0.438735,0.329167,0,0,0,0.252852,0.007004,0.028571,0.000635,0.454428,0.420583,0.528719,0.407638,0.455224,0.595294,0.216319,0.528719,0.278345,0.157028,4
0.885375,0.195833,0,0,0,0.011407,0.000425,0.009938,0.000248,0.058094,0.040519,0.09352,0.037412,0.69403,0.315294,0.425047,0.09352,0.622222,0.163785,5
0.343874,0.325,0,0,0,0.026616,0.000388,0.081988,0.002917,0.155693,0.158023,0.188513,0.118472,0.800373,0.325882,0.29981,0.188513,0.403687,0.238152,1
0.221344,0.129167,0,0,0,0.079848,0.000876,0.02236,0.000504,0.261038,0.23906,0.316642,0.222915,0.598881,0.46,0.288425,0.316642,0.334662,0.170334,4
0.142292,0.454167,0,0,0,0.028517,0.000347,0.023602,0.000334,0.013426,0.001621,0.029455,0.007794,0.748134,0.211765,0.537002,0.029455,0.962963,0.125253,3
0.209486,0.5375,0,0.333333,0,0.024715,0.000447,0.039752,0.000755,0.058094,0.027553,0.092784,0.050663,0.604478,0.311765,0.521822,0.092784,0.73447,0.101039,3
0.762846,0.254167,0,0,0,0.034221,0.000403,0.026087,0.000826,0.651433,0.577796,0.776141,0.589244,0.117537,0.883529,0.094877,0.776141,0.323421,0.137392,2
0.335968,0.320833,0,0.333333,0,0.070342,0.001901,0.038509,0.00245,0.147431,0.156402,0.174521,0.109899,0.848881,0.296471,0.297913,0.174521,0.405118,0.257128,1
0.27668,0.704167,0,0.333333,0,0.041825,0.000568,0.067081,0.001346,0.155693,0.133712,0.142121,0.190959,0.632463,0.103529,0.829222,0.180412,0.327383,0.923002,7
0.498024,0.454167,0,0.333333,0,0.057034,0.000851,0.07205,0.002907,0.164988,0.161264,0.201767,0.129384,0.755597,0.347059,0.311195,0.201767,0.394863,0.214766,1
0.549407,0.470833,0,0,0,0.034221,0.000448,0.024845,0.000759,0.017557,0.001621,0.040501,0.008574,0.718284,0.245882,0.512334,0.040501,0.973765,0.130394,3
0.185771,0.291667,0,0,0,0.020913,0.000243,0.019876,0.00031,0.787245,0.770664,0.854197,0.731099,0.468284,0.638824,0.132827,0.854197,0.19308,0.169674,2
0.051383,0.529167,0,0,0,0.01711,0.000123,0.01118,0.000056,0.034599,0.049433,0.036082,0.018706,0.925373,0.147059,0.461101,0.044919,0.603836,0.389695,1
0.379447,0.495833,0,0,0,0.024715,0.000512,0.023602,0.000494,0.040795,0.053485,0.045655,0.023383,0.908582,0.164706,0.449715,0.05081,0.570106,0.349378,1
0.43083,0.7125,0,0,0,0.081749,0.001809,0.057143,0.001124,0.323264,0.311183,0.373343,0.281372,0.647388,0.448235,0.258065,0.373343,0.287646,0.187039,6
0.964427,0.945833,0,0.333333,0,0.057034,0.00256,0.052174,0.00176,0.062226,0.046191,0.043446,0.097428,0.703358,0.056471,0.833017,0.092047,0.597015,0.867977,7
0.517787,0.304167,0,0,0,0.102662,0.00124,0.019876,0.000329,0.061967,0.053485,0.078056,0.053001,0.755597,0.223529,0.510436,0.078056,0.380483,0.152306,4
0.924901,0.770833,0,0,0,0.057034,0.001344,0.049689,0.000828,0.32946,0.3047,0.388071,0.290725,0.557836,0.490588,0.280835,0.388071,0.294238,0.162769,6
0.577075,0.316667,0,0,0,0.23384,0.006674,0.034783,0.001223,0.302091,0.276337,0.36377,0.261107,0.559701,0.498824,0.265655,0.36377,0.319706,0.166836,4
0.011858,0.829167,0,0,0,0.161597,0.004052,0.12795,0.001576,0.34676,0.322528,0.412371,0.300078,0.55597,0.528235,0.222011,0.412371,0.314278,0.172872,6
0.383399,0.125,0,0,0,0.058936,0.000781,0.024845,0.00063,0.956106,0.952998,0.9757,0.936867,0.507463,0.451765,0.394687,0.9757,0.112421,0.130215,2
0.873518,0.429167,0,0,0,0.009506,0.000063,0.009938,0.000053,0.037955,0.044571,0.048601,0.020265,0.867537,0.191765,0.447818,0.048601,0.603175,0.290371,1
0.478261,0.466667,0,0,0,0.020913,0.000377,0.01118,0.000152,0.008262,0,0.022091,0.001559,0.774254,0.2,0.529412,0.022091,1,0.151344,3
0.505929,0.608333,0,0,0,0.08365,0.00357,0.049689,0.00124,0.161374,0.132901,0.212077,0.13484,0.585821,0.412941,0.377609,0.212077,0.430239,0.146862,4
0.549407,0.625,0,0,0,0.009506,0.00033,0.017391,0.000448,0.109734,0.090762,0.094993,0.143414,0.66791,0.087059,0.819734,0.135493,0.390957,0.904754,7
0.687747,0.7375,0,0,0,0.102662,0.002595,0.052174,0.000937,0.388846,0.362237,0.458027,0.340608,0.526119,0.555294,0.208729,0.458027,0.296294,0.168636,6
0.754941,0.545833,0,0.333333,0,0.01711,0.000123,0.03354,0.000377,0.032533,0.049433,0.032401,0.016368,0.940299,0.138824,0.459203,0.044919,0.662037,0.40951,1
0.395257,0.254167,0,0,0,0.085551,0.004784,0.039752,0.004542,0.184611,0.171799,0.237113,0.141076,0.686567,0.427059,0.252372,0.237113,0.436895,0.201122,1
0.83004,0.4,0,0.333333,0,0.087452,0.002271,0.045963,0.002033,0.116705,0.0859,0.170839,0.088854,0.583955,0.418824,0.370019,0.170839,0.547173,0.148525,5
0.549407,0.475,0,0,0,0.009506,0.000063,0.014907,0.000224,0.043119,0.053485,0.05081,0.024942,0.891791,0.178824,0.444023,0.051546,0.545635,0.322724,1
0.869565,0.4,0,0,0,0.039924,0.000213,0.018634,0.000248,0.015492,0.002431,0.035346,0.007015,0.738806,0.230588,0.516129,0.035346,0.94709,0.137295,3
0.660079,0.008333,0,0.333333,0,0.045627,0.000448,0.029814,0.000289,0.909114,0.872771,0.963917,0.884645,0.292911,0.609412,0.358634,0.963917,0.177191,0.115657,2
0.786561,0.995833,0,0,0,0.077947,0.001433,0.032298,0.00074,0.064291,0.047812,0.048601,0.096648,0.699627,0.071765,0.812144,0.091311,0.56339,0.879203,7
0.086957,0.308333,0,0,0,0.04943,0.001061,0.039752,0.000695,0.125226,0.137763,0.145066,0.091972,0.880597,0.256471,0.330171,0.145066,0.399751,0.278228,1
0.252964,0.55,0,0,0,0.011407,0.000134,0.009938,0.000053,0.035115,0.047812,0.039028,0.018706,0.910448,0.158824,0.457306,0.044183,0.595238,0.358718,1
0.422925,0.4875,0,0,0,0.241445,0.004405,0.037267,0.00076,0.371288,0.337925,0.444772,0.325019,0.485075,0.571765,0.223909,0.444772,0.312927,0.159863,4
0.063241,0.220833,0,0,0,0.04943,0.001374,0.037267,0.001026,0.131681,0.128039,0.166421,0.098207,0.766791,0.329412,0.328273,0.166421,0.441092,0.216341,1
0.735178,0.5125,0,0.333333,0,0.102662,0.002062,0.024845,0.000278,0.186161,0.148298,0.248159,0.156664,0.51306,0.472941,0.354839,0.248159,0.457752,0.138956,5
0.774704,0.458333,0,0,0,0.741445,0.017508,0.021118,0.000653,0.286083,0.273096,0.327688,0.254092,0.652985,0.398824,0.332068,0.327688,0.280578,0.176045,4
0.387352,0.495833,0,0,0,0.019011,0.000459,0.012422,0.000393,0.009553,0.00081,0.022091,0.004677,0.770522,0.194118,0.542695,0.022091,0.977778,0.135167,3
0.371542,0.25,0,0,0,0.036122,0.001094,0.049689,0.002714,0.736638,0.705024,0.811487,0.686672,0.380597,0.664706,0.180266,0.811487,0.212264,0.151262,2
0.600791,0.754167,0,0,0,0.11597,0.001796,0.16646,0.002983,0.372579,0.345219,0.430781,0.336711,0.526119,0.498824,0.29981,0.430781,0.272721,0.14773,6
0.462451,0.65,0,0.333333,0,0.030418,0.000523,0.045963,0.000719,0.10173,0.094003,0.091311,0.120031,0.748134,0.105882,0.70778,0.113402,0.248449,0.898139,7
0.268775,0.266667,0,0.333333,0,0.072243,0.001419,0.03354,0.001595,0.158533,0.160454,0.194404,0.118472,0.796642,0.341176,0.278937,0.194404,0.423501,0.235416,1
0.383399,0.45,0,0.666667,0,0.04943,0.000523,0.057143,0.004029,0.150529,0.155592,0.181149,0.113016,0.820896,0.314118,0.297913,0.181149,0.408211,0.245979,1
0.051383,0.070833,0,0,0,0.019011,0.000075,0.027329,0.00031,0.770204,0.713938,0.868925,0.718628,0.199627,0.787059,0.166983,0.868925,0.253299,0.135195,2
0.897233,0.129167,0,0.333333,0,0.070342,0.001568,0.096894,0.001609,0.310612,0.288493,0.358616,0.280592,0.58209,0.435294,0.345351,0.358616,0.271572,0.155128,4
0.454545,0.1,0,0,0,0.028517,0.000788,0.019876,0.000393,0.872709,0.829822,0.936672,0.844895,0.259328,0.644706,0.335863,0.936672,0.194853,0.117103,2
0.596838,0.870833,0,0,0,0.032319,0.000691,0.032298,0.00156,0.101988,0.084279,0.086892,0.13484,0.679104,0.083529,0.814042,0.127393,0.416705,0.898333,7
0.106719,0.5,0,0,0,0.007605,0.000075,0.017391,0.00015,0.036148,0.048622,0.039764,0.020265,0.908582,0.157647,0.461101,0.044183,0.566138,0.36422,1
0.711462,0.016667,0,0,0,0.028517,0.000213,0.032298,0.000887,0.978053,0.976499,0.991163,0.964146,0.511194,0.425882,0.432638,0.991163,0.104639,0.119801,2
0.790514,0.475,0,0.333333,0,0.058935,0.001351,0.191304,0.00413,0.30235,0.30389,0.324742,0.276695,0.748134,0.310588,0.377609,0.324742,0.192484,0.202059,4
0.790514,0.475,0,0,0,0.034221,0.000448,0.22236,0.074839,0.298477,0.285251,0.343152,0.263445,0.647388,0.416471,0.309298,0.343152,0.270638,0.179824,4
0.229249,0.454167,0,0,0,0.074144,0.002003,0.032298,0.001349,0.132972,0.076985,0.21944,0.09509,0.404851,0.577647,0.296015,0.21944,0.681266,0.136472,3
0.079051,0.220833,0,0,0,0.557034,0.013057,0.452174,0.012716,0.216112,0.179903,0.251841,0.212783,0.514925,0.354118,0.544592,0.251841,0.400746,0.075605,3
0.770751,0.35,0,0,0,0.058935,0.001133,0.029814,0.000912,0.053189,0.049433,0.071429,0.037412,0.791045,0.231765,0.461101,0.071429,0.512566,0.21739,5
0.245059,0.033333,0,0,0,0.08365,0.001196,0.032298,0.000639,0.315001,0.277147,0.389543,0.272019,0.472015,0.563529,0.250474,0.389543,0.355227,0.152854,4
0.173913,0.404167,0,0,0.5,0.872624,0.012902,0.609938,0.011491,0.347276,0.3047,0.405007,0.326578,0.429105,0.490588,0.411765,0.405007,0.358975,0.114776,3
0.482213,0.716667,0,0,0,0.038023,0.000657,0.141615,0.026641,0.22489,0.214749,0.259205,0.197973,0.692164,0.349412,0.371917,0.259205,0.266436,0.180202,6
0.371542,0.408333,0,0,0,0.034221,0.000493,0.043478,0.001969,0.12032,0.140194,0.132548,0.088075,0.932836,0.218824,0.337761,0.135493,0.384997,0.321149,1
0.735178,0.325,0,0,0,0.102662,0.001619,0.024845,0.00077,0.058869,0.046191,0.086156,0.042089,0.727612,0.276471,0.45351,0.086156,0.548545,0.167928,5
0.450593,0.416667,0,0,0,0.019011,0.000407,0.043478,0.000751,0.125742,0.070502,0.199558,0.100546,0.412313,0.515294,0.388994,0.199558,0.679513,0.119338,3
0.422925,0.466667,0,0,0,0.020913,0.000243,0.014907,0.000192,0.046992,0.059968,0.053019,0.028059,0.908582,0.171765,0.43833,0.055965,0.524471,0.345571,1
0.810277,0.208333,0,0,0,0.019011,0.000407,0.01118,0.000331,0.049316,0.034036,0.081001,0.030398,0.712687,0.295294,0.43833,0.081001,0.645891,0.167117,5
0.130435,0.658333,0,0,0,0.028517,0.00051,0.036025,0.000635,0.089336,0.077796,0.064801,0.126267,0.725746,0.035294,0.844402,0.119293,0.463569,0.845669,7
0.011858,0.354167,0,0,0,0.076046,0.002988,0.034783,0.001624,0.024787,0.006483,0.051546,0.01403,0.699627,0.265882,0.499051,0.051546,0.910065,0.134252,3
0.110672,0.291667,0,0.333333,0,0.089354,0.003783,0.06087,0.002706,0.142783,0.146677,0.173049,0.106781,0.815299,0.310588,0.309298,0.173049,0.412662,0.248099,1
0.505929,0.720833,0,0.333333,0,0.076046,0.000918,0.080745,0.001312,0.315259,0.3047,0.360825,0.276695,0.660448,0.424706,0.282732,0.360825,0.275818,0.187014,6
0.079051,0.466667,0,0,0,0.030418,0.000388,0.02236,0.000256,0.134521,0.114263,0.174521,0.111458,0.651119,0.355294,0.404175,0.174521,0.408913,0.155866,4
0.284585,0.033333,0,0,0,0.032319,0.000393,0.021118,0.000491,0.888975,0.850081,0.948454,0.862042,0.281716,0.627059,0.341556,0.948454,0.185539,0.117513,2
0.272727,0.1125,0,0,0,0.041825,0.000274,0.02236,0.000548,0.404338,0.364668,0.492636,0.348402,0.43097,0.650588,0.151803,0.492636,0.336015,0.162116,4
0.529644,0.833333,0,0,0,0.064639,0.001339,0.048447,0.000829,0.125226,0.105348,0.108247,0.16212,0.656716,0.08,0.842505,0.153166,0.375552,0.901801,7
0.592885,0.633333,0,0,0,0.070342,0.002304,0.406211,0.030288,0.278854,0.252026,0.318115,0.262666,0.559701,0.385882,0.447818,0.318851,0.263847,0.08842,6
0.632411,0.595833,0,0,0,0,0,0,0,0,0,0,0,0.833955,0.131765,0.578748,0,0,0.511054,5
0.996047,0.266667,0,0,0,0.022814,0.000269,0.019876,0.000278,0.617351,0.525122,0.768041,0.545596,0,1,0.026566,0.768041,0.378682,0.136348,2
0.363636,0.745833,0,0,0,0.188213,0.001838,0.058385,0.002333,0.373612,0.345219,0.443299,0.326578,0.518657,0.554118,0.218216,0.443299,0.303602,0.166474,6
0.905138,0.425,0,0,0,0.038023,0.000506,0.012422,0.000393,0.150529,0.132091,0.184831,0.131723,0.658582,0.331765,0.434535,0.184831,0.350082,0.147825,5
0.806324,0.7625,0,0,0,0.055133,0.00121,0.120497,0.002195,0.287891,0.270664,0.334315,0.254871,0.623134,0.422353,0.324478,0.334315,0.28056,0.168989,6
0.221344,0.908333,0,0,0,0.093156,0.002077,0.077019,0.001016,0.101988,0.08752,0.089838,0.128605,0.701493,0.097647,0.768501,0.121502,0.347692,0.905645,7
0.371542,0.191667,0,0,0,0.062738,0.00344,0.047205,0.00124,0.18332,0.179903,0.228277,0.138737,0.751866,0.390588,0.244782,0.228277,0.425691,0.219109,1
0.612648,0.7375,0,0,0,0.146388,0.002333,0.111801,0.002703,0.427059,0.401945,0.501473,0.371785,0.524254,0.589412,0.155598,0.501473,0.300242,0.175674,6
0.241107,0.7875,0,0,0,0.077947,0.002151,0.084472,0.001287,0.42551,0.394652,0.506627,0.368667,0.485075,0.621176,0.144213,0.506627,0.312541,0.170832,6
0.782609,0.454167,0,0,0,0.119772,0.004112,0.186335,0.03892,0.274206,0.258509,0.316642,0.243959,0.63806,0.4,0.345351,0.316642,0.272752,0.167447,4
0.794466,0.820833,0,0,0,0.058935,0.001408,0.040994,0.002204,0.134263,0.113452,0.117084,0.172253,0.647388,0.081176,0.850095,0.162739,0.368866,0.913423,7
0.086957,0.670833,0,0,0,0.045627,0.000902,0.204969,0.004225,0.29512,0.277147,0.33947,0.265004,0.615672,0.414118,0.345351,0.33947,0.265454,0.154049,6
0.245059,0.008333,0,0,0,0.039924,0.00102,0.021118,0.000494,0.988639,1,0.986745,0.978176,0.597015,0.356471,0.457306,0.986745,0.079806,0.128832,2
0.363636,0.145833,0,0,0,0.072243,0.001643,0.039752,0.001304,0.878647,0.846029,0.934462,0.849571,0.328358,0.607059,0.326376,0.934462,0.177195,0.124187,2
0.549407,0.475,0,0,0,0.022814,0.000224,0.059627,0.002725,0.027369,0.011345,0.051546,0.017147,0.714552,0.254118,0.502846,0.051546,0.853199,0.135971,3
0.652174,0.595833,0,0,0,0.003802,0.00003,0.009938,0.000053,0.004906,0.001621,0.012518,0,0.809701,0.169412,0.542695,0.012518,1,0.172356,5
0.715415,0.116667,0,0,0,0.188213,0.005786,0.013665,0.000635,0.066357,0.053485,0.094993,0.048324,0.723881,0.284706,0.444023,0.094993,0.576021,0.169214,5
