@relation texture-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 numeric
@attribute A35 numeric
@attribute A36 numeric
@attribute A37 numeric
@attribute A38 numeric
@attribute A39 numeric
@attribute A40 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
0.154227,0.357516,0.37243,0.36278,0.432976,0.483162,0.325447,0.407307,0.430388,0.348419,0.154227,0.257045,0.294755,0.308085,0.349593,0.380583,0.288591,0.330389,0.354186,0.294009,0.154227,0.24068,0.268047,0.284718,0.355527,0.41942,0.249055,0.328046,0.371391,0.313094,0.154227,0.305046,0.434138,0.354457,0.459041,0.480607,0.347729,0.467854,0.471049,0.410119,2
0.143885,0.320915,0.386336,0.330389,0.413539,0.44055,0.295441,0.38092,0.404953,0.367638,0.143885,0.167698,0.241733,0.189787,0.258356,0.318447,0.185403,0.220848,0.24655,0.219889,0.143885,0.189693,0.230554,0.217694,0.277957,0.343898,0.192869,0.256345,0.293963,0.268215,0.143885,0.291858,0.399012,0.332869,0.423616,0.437605,0.316456,0.424477,0.432707,0.371429,2
0.083183,0.364052,0.384522,0.388693,0.484584,0.540206,0.311598,0.415426,0.455823,0.33664,0.083183,0.230928,0.31756,0.294468,0.395664,0.412621,0.276846,0.378092,0.438822,0.364422,0.083183,0.179276,0.228316,0.252547,0.351648,0.469993,0.19503,0.291878,0.362861,0.271911,0.083183,0.259748,0.358397,0.327994,0.416974,0.441821,0.330603,0.44849,0.480438,0.432143,2
0.103867,0.223529,0.250302,0.231449,0.292225,0.332646,0.207155,0.263194,0.287149,0.220087,0.103867,0.147079,0.147662,0.186383,0.205962,0.238835,0.182047,0.19523,0.227231,0.164917,0.103867,0.160636,0.184107,0.194638,0.259858,0.33176,0.162075,0.219543,0.247375,0.202746,0.103867,0.200115,0.226674,0.231894,0.270849,0.284992,0.217424,0.270333,0.293427,0.23869,2
0.133094,0.404575,0.35006,0.416372,0.473861,0.514777,0.351414,0.420839,0.463855,0.319281,0.133094,0.259107,0.357469,0.293617,0.399277,0.414563,0.269295,0.379859,0.412144,0.355775,0.133094,0.261513,0.24958,0.308311,0.375566,0.465273,0.262561,0.343909,0.385171,0.273495,0.133094,0.346904,0.417124,0.389276,0.459779,0.426644,0.395383,0.506584,0.513302,0.447024,2
0.139838,0.418954,0.417775,0.43934,0.544236,0.567698,0.367571,0.445873,0.474565,0.33416,0.139838,0.300344,0.374002,0.346383,0.435411,0.412621,0.338926,0.435512,0.457222,0.38357,0.139838,0.236294,0.216004,0.280965,0.335488,0.416723,0.237709,0.297589,0.332021,0.24868,0.139838,0.314794,0.358397,0.360028,0.383026,0.379427,0.373045,0.425252,0.454617,0.409524,2
0.039568,0.123529,0.205562,0.138987,0.210456,0.249485,0.109059,0.166441,0.195448,0.149411,0.039568,0.045361,0.164766,0.059574,0.163505,0.226214,0.056208,0.129859,0.165593,0.153181,0.039568,0.104167,0.173475,0.146381,0.232708,0.308833,0.104808,0.185279,0.230315,0.190602,0.039568,0.12328,0.197036,0.166435,0.23321,0.277403,0.151154,0.230829,0.267606,0.227381,2
0.118705,0.309804,0.299274,0.298587,0.350536,0.391753,0.254472,0.314614,0.340027,0.236826,0.118705,0.183505,0.216648,0.194043,0.264679,0.239806,0.161074,0.216431,0.216191,0.153799,0.118705,0.202303,0.174594,0.240214,0.288946,0.380984,0.19665,0.242386,0.274934,0.181626,0.118705,0.282683,0.344127,0.317549,0.388192,0.402192,0.3172,0.402014,0.42097,0.374405,2
0.133094,0.333987,0.369407,0.336867,0.430965,0.475601,0.29371,0.394452,0.433735,0.3261,0.133094,0.244674,0.305017,0.274894,0.383017,0.406796,0.25,0.355124,0.403864,0.319333,0.133094,0.216557,0.242865,0.28311,0.374273,0.477411,0.227985,0.314086,0.391732,0.29831,0.133094,0.264335,0.340834,0.325209,0.394096,0.417369,0.32688,0.421379,0.445227,0.37381,2
0.236061,0.500654,0.443168,0.487633,0.559651,0.621306,0.451241,0.52977,0.548193,0.373218,0.236061,0.376632,0.437856,0.448511,0.542909,0.551456,0.443792,0.538869,0.548298,0.424336,0.236061,0.342654,0.280918,0.393029,0.436975,0.526635,0.34738,0.396574,0.444226,0.299366,0.236061,0.41055,0.452799,0.442201,0.485609,0.451939,0.45793,0.521301,0.518779,0.44881,2
0.133543,0.419608,0.462515,0.435807,0.539544,0.583505,0.388921,0.501353,0.542838,0.455673,0.133543,0.218557,0.286773,0.269787,0.342367,0.384466,0.261745,0.317138,0.358786,0.293391,0.133543,0.233004,0.261332,0.291689,0.367809,0.452461,0.236629,0.302665,0.356955,0.272967,0.133543,0.34805,0.473106,0.400418,0.521033,0.520236,0.409531,0.552285,0.567293,0.507738,2
0.113309,0.307843,0.366989,0.320377,0.420241,0.456357,0.264859,0.371448,0.4083,0.33602,0.113309,0.14433,0.215507,0.162553,0.235772,0.281553,0.143456,0.198763,0.23919,0.211859,0.113309,0.165022,0.171237,0.203217,0.243051,0.34592,0.171799,0.215736,0.27231,0.227033,0.113309,0.262041,0.389682,0.316852,0.415498,0.454469,0.30752,0.423703,0.442097,0.400595,2
0.105665,0.241176,0.26179,0.244405,0.308981,0.346392,0.212349,0.274696,0.299866,0.218227,0.105665,0.140893,0.222349,0.173617,0.269196,0.323301,0.169463,0.242049,0.284269,0.222977,0.105665,0.174342,0.20817,0.21555,0.292178,0.367498,0.182604,0.248096,0.290682,0.242872,0.105665,0.235092,0.271131,0.282033,0.338745,0.340641,0.268801,0.347792,0.363067,0.284524,2
0.052158,0.265359,0.363966,0.300353,0.418901,0.4811,0.234276,0.346414,0.402945,0.317421,0.052158,0.130584,0.27138,0.165957,0.308943,0.363107,0.151007,0.282686,0.342226,0.289067,0.052158,0.067434,0.116396,0.108847,0.158371,0.231962,0.083739,0.119289,0.164042,0.164203,0.052158,0.173165,0.255763,0.213788,0.291513,0.299325,0.194341,0.287374,0.314554,0.265476,2
0.275629,0.442484,0.457074,0.442285,0.493298,0.514089,0.413156,0.454668,0.475234,0.398016,0.275629,0.356014,0.497719,0.369362,0.526649,0.581553,0.344799,0.458481,0.49218,0.418777,0.275629,0.305373,0.298265,0.335657,0.35682,0.40526,0.317666,0.331218,0.357612,0.310454,0.275629,0.360665,0.444018,0.403203,0.467159,0.528668,0.385704,0.454686,0.471049,0.403571,2
0.159173,0.347059,0.453446,0.373969,0.495979,0.532646,0.327178,0.451962,0.508701,0.468692,0.159173,0.256357,0.336944,0.314043,0.421861,0.486408,0.297819,0.399293,0.442502,0.355775,0.159173,0.222588,0.256855,0.261126,0.343891,0.433581,0.229065,0.308376,0.354987,0.291447,0.159173,0.304472,0.394072,0.377437,0.470849,0.514334,0.367089,0.480248,0.507825,0.411905,2
0.229766,0.48366,0.415357,0.445819,0.467828,0.458419,0.394114,0.434371,0.43842,0.33292,0.229766,0.357388,0.356328,0.373617,0.413731,0.371845,0.329698,0.366608,0.379025,0.296479,0.229766,0.282346,0.225518,0.314209,0.335488,0.426163,0.28309,0.311548,0.349081,0.270855,0.229766,0.390482,0.42865,0.449861,0.467897,0.48145,0.460164,0.50426,0.505477,0.446429,2
0.116007,0.283007,0.299274,0.303298,0.366622,0.410309,0.267167,0.332206,0.364123,0.261624,0.116007,0.184192,0.261688,0.234043,0.3243,0.370874,0.22651,0.311837,0.344986,0.279802,0.116007,0.219298,0.254617,0.272386,0.36393,0.473365,0.210697,0.297589,0.365486,0.259768,0.116007,0.266055,0.355653,0.311281,0.397786,0.400506,0.295607,0.404338,0.41471,0.352976,2
0.05036,0.19281,0.285369,0.217314,0.323727,0.390378,0.180035,0.283491,0.332664,0.270924,0.05036,0.107216,0.217218,0.139574,0.255646,0.312621,0.135067,0.237633,0.287029,0.238419,0.05036,0.122259,0.195299,0.171582,0.266968,0.339177,0.1302,0.220812,0.254593,0.215945,0.05036,0.166284,0.291987,0.218663,0.332841,0.387015,0.208488,0.339272,0.374022,0.314286,2
0.033723,0.124183,0.195284,0.132509,0.204424,0.247423,0.103289,0.163735,0.194779,0.146931,0.033723,0.061168,0.174458,0.068936,0.173442,0.220388,0.056208,0.144876,0.193192,0.17727,0.033723,0.122807,0.179071,0.164075,0.258565,0.352664,0.110751,0.20368,0.261811,0.197466,0.033723,0.117546,0.184962,0.1539,0.209594,0.241147,0.134773,0.208366,0.238654,0.199405,2
0.135791,0.271895,0.19347,0.28033,0.303619,0.371821,0.248125,0.274019,0.299866,0.16987,0.135791,0.191753,0.18358,0.219574,0.235772,0.239806,0.208893,0.227032,0.234591,0.174182,0.135791,0.16886,0.149412,0.195174,0.214609,0.25826,0.178822,0.197335,0.209318,0.18585,0.135791,0.211583,0.22393,0.231198,0.261255,0.254637,0.213701,0.255616,0.261346,0.207143,2
0.115558,0.30915,0.369407,0.309187,0.394102,0.406186,0.272937,0.362652,0.369478,0.32548,0.115558,0.19244,0.283922,0.229787,0.331527,0.379612,0.213087,0.295936,0.335787,0.281038,0.115558,0.172149,0.203134,0.212332,0.270847,0.351989,0.186386,0.254442,0.309055,0.284055,0.115558,0.244266,0.372119,0.286908,0.388192,0.413997,0.275503,0.39117,0.395149,0.342857,2
0.270683,0.372549,0.384522,0.321555,0.347855,0.349141,0.336988,0.366712,0.355422,0.350279,0.270683,0.287285,0.218358,0.278298,0.238482,0.215534,0.265101,0.220848,0.201472,0.160593,0.270683,0.298246,0.215445,0.300804,0.287654,0.304788,0.274986,0.276015,0.276903,0.238648,0.270683,0.319954,0.356202,0.332173,0.3631,0.39629,0.311988,0.335399,0.334898,0.282143,2
0.129946,0.347059,0.443168,0.354535,0.502681,0.53677,0.313907,0.458728,0.47925,0.397396,0.129946,0.268729,0.393957,0.308936,0.464318,0.497087,0.293624,0.438163,0.4931,0.42063,0.129946,0.20614,0.24958,0.264879,0.345184,0.44909,0.206915,0.282995,0.351706,0.281943,0.129946,0.244839,0.34742,0.29039,0.383026,0.43086,0.282949,0.385747,0.415493,0.358333,2
0.15018,0.354248,0.367594,0.343934,0.438338,0.468729,0.300635,0.396482,0.405622,0.278363,0.15018,0.243299,0.259977,0.261277,0.327913,0.304854,0.227349,0.293286,0.299908,0.213712,0.15018,0.252193,0.26357,0.277748,0.366516,0.418746,0.229606,0.319162,0.331365,0.222809,0.15018,0.296445,0.381449,0.339833,0.420664,0.426644,0.349963,0.460108,0.472613,0.42381,2
0.208183,0.439869,0.457678,0.430506,0.519437,0.538144,0.368725,0.481055,0.522088,0.438314,0.208183,0.330584,0.366591,0.370213,0.448058,0.452427,0.339765,0.417845,0.437902,0.338481,0.208183,0.272478,0.290431,0.304558,0.385908,0.471342,0.273906,0.345178,0.384514,0.304118,0.208183,0.352638,0.436883,0.447772,0.540221,0.600337,0.449739,0.560031,0.589202,0.47381,2
0.186601,0.440523,0.301693,0.421673,0.435657,0.51134,0.354876,0.381597,0.410308,0.201488,0.186601,0.298969,0.323831,0.337021,0.397471,0.399029,0.307047,0.386042,0.407544,0.316862,0.186601,0.305373,0.270845,0.359786,0.427279,0.525287,0.310103,0.380711,0.439633,0.31415,0.186601,0.364106,0.453897,0.396936,0.473801,0.456155,0.436337,0.515879,0.528951,0.469048,2
0.121403,0.291503,0.379081,0.294464,0.38874,0.393127,0.255049,0.361299,0.394913,0.362678,0.121403,0.190378,0.256556,0.217872,0.28636,0.321359,0.197987,0.260601,0.283349,0.238419,0.121403,0.190241,0.23559,0.227882,0.31351,0.387053,0.190167,0.267132,0.299213,0.2434,0.121403,0.25172,0.383644,0.312674,0.441328,0.479764,0.29933,0.447715,0.468701,0.382738,2
0.142536,0.340523,0.316203,0.341578,0.380027,0.435052,0.297173,0.352503,0.392905,0.298202,0.142536,0.224055,0.307298,0.245957,0.333333,0.371845,0.22651,0.303887,0.342226,0.29895,0.142536,0.222588,0.179631,0.27185,0.294764,0.397168,0.244192,0.272843,0.341207,0.26188,0.142536,0.280963,0.337541,0.32312,0.37417,0.368465,0.314966,0.384198,0.394366,0.330357,2
0.158723,0.323529,0.288392,0.310365,0.369973,0.408935,0.281016,0.338295,0.342704,0.218227,0.158723,0.218557,0.22577,0.235745,0.281843,0.295146,0.218121,0.261484,0.285189,0.212477,0.158723,0.225329,0.203134,0.253619,0.30446,0.394471,0.223663,0.284898,0.32021,0.233369,0.158723,0.283257,0.274973,0.339833,0.348339,0.3457,0.335815,0.373354,0.381847,0.29881,2
0.238759,0.454902,0.353083,0.41755,0.439678,0.426804,0.380265,0.422869,0.400937,0.272164,0.238759,0.319588,0.267959,0.345532,0.341463,0.319417,0.328859,0.330389,0.325667,0.237183,0.238759,0.292215,0.247342,0.310456,0.341306,0.388402,0.291734,0.326777,0.340551,0.289335,0.238759,0.343463,0.381998,0.383705,0.416236,0.438449,0.393894,0.426026,0.432707,0.370833,2
0.213579,0.398693,0.329504,0.369258,0.404826,0.411684,0.342758,0.38498,0.368809,0.254805,0.213579,0.267354,0.235462,0.299574,0.289973,0.31165,0.286913,0.265018,0.270469,0.193329,0.213579,0.282346,0.265809,0.314745,0.375566,0.469993,0.28309,0.342005,0.382546,0.284583,0.213579,0.356651,0.379802,0.417131,0.455351,0.470489,0.423678,0.489543,0.505477,0.410119,2
0.144784,0.354902,0.321644,0.337456,0.412869,0.449485,0.305251,0.387686,0.391566,0.282703,0.144784,0.249485,0.300456,0.280851,0.379404,0.408738,0.259228,0.358657,0.402944,0.324274,0.144784,0.189145,0.186346,0.21555,0.248222,0.293324,0.193949,0.232868,0.253937,0.227561,0.144784,0.260321,0.306257,0.284819,0.333579,0.344013,0.276247,0.346243,0.36072,0.313095,2
0.377248,0.593464,0.493349,0.590106,0.621984,0.665979,0.577034,0.638024,0.674029,0.564786,0.377248,0.483849,0.369441,0.588936,0.536585,0.563107,0.574664,0.521201,0.560258,0.390364,0.377248,0.441338,0.377728,0.430027,0.452489,0.476062,0.400864,0.427665,0.410105,0.31679,0.377248,0.492546,0.412733,0.529944,0.481919,0.420742,0.50484,0.481797,0.428013,0.304762,2
0.075989,0.31634,0.345828,0.341578,0.426944,0.48866,0.263705,0.359946,0.41834,0.308122,0.075989,0.186942,0.289624,0.24,0.3514,0.384466,0.213926,0.322438,0.379945,0.318715,0.075989,0.152412,0.22216,0.21126,0.310278,0.407957,0.158293,0.253807,0.317585,0.257656,0.075989,0.229358,0.351262,0.292479,0.391144,0.436762,0.282949,0.397366,0.431142,0.38869,2
0.100719,0.19085,0.26179,0.164311,0.224531,0.217869,0.147144,0.201624,0.202142,0.195288,0.100719,0.082474,0.132269,0.076596,0.117435,0.153398,0.075503,0.090106,0.102116,0.097591,0.100719,0.131579,0.149412,0.153887,0.188752,0.233985,0.13074,0.16434,0.181759,0.166315,0.100719,0.154817,0.253568,0.18663,0.267159,0.324621,0.180194,0.249419,0.2723,0.227976,2
0.104317,0.291503,0.275695,0.272674,0.353887,0.396564,0.22562,0.315291,0.334672,0.207068,0.104317,0.217182,0.216648,0.234894,0.29449,0.276699,0.204698,0.272085,0.292548,0.202594,0.104317,0.14693,0.137661,0.175335,0.218487,0.281187,0.155592,0.200508,0.219816,0.17529,0.104317,0.193234,0.200329,0.240947,0.275277,0.306071,0.244974,0.297444,0.320814,0.25,2
0.151529,0.371895,0.311971,0.372203,0.413539,0.485911,0.316792,0.368065,0.420348,0.288283,0.151529,0.252921,0.326112,0.258723,0.360434,0.373786,0.239933,0.333922,0.370745,0.323039,0.151529,0.186404,0.167879,0.234853,0.26309,0.357384,0.213398,0.236675,0.290026,0.240232,0.151529,0.255734,0.311745,0.302228,0.351292,0.351602,0.301564,0.366383,0.374804,0.317262,2
0.141637,0.341176,0.308948,0.342756,0.418231,0.507904,0.305251,0.386333,0.423695,0.280843,0.141637,0.206186,0.282782,0.226383,0.314363,0.36699,0.212248,0.286219,0.321987,0.276096,0.141637,0.197917,0.203693,0.223056,0.258565,0.299393,0.197731,0.233503,0.253937,0.216473,0.141637,0.295298,0.326015,0.330084,0.38893,0.403035,0.324646,0.401239,0.43975,0.364881,2
0.177608,0.386928,0.360339,0.381625,0.422252,0.458419,0.346797,0.403924,0.427041,0.343459,0.177608,0.272852,0.298176,0.332766,0.36495,0.404854,0.322148,0.352473,0.390984,0.318098,0.177608,0.262061,0.261891,0.312601,0.371687,0.46325,0.277688,0.346447,0.397638,0.322598,0.177608,0.324541,0.443469,0.374652,0.471587,0.494098,0.375279,0.481022,0.485915,0.425595,2
0.086331,0.252288,0.364571,0.257951,0.363941,0.391065,0.216388,0.330853,0.362784,0.342219,0.086331,0.092096,0.1813,0.101277,0.184282,0.234951,0.09396,0.150177,0.180313,0.164917,0.086331,0.111842,0.158926,0.141019,0.195863,0.266352,0.122636,0.177665,0.217192,0.214889,0.086331,0.207569,0.342481,0.245822,0.346125,0.381956,0.233805,0.343919,0.36385,0.326786,2
0.077338,0.28366,0.379081,0.297409,0.422922,0.474227,0.23543,0.367388,0.406292,0.320521,0.077338,0.15189,0.283352,0.19234,0.345077,0.404854,0.177013,0.311837,0.371665,0.305127,0.077338,0.10307,0.144376,0.155496,0.207498,0.283884,0.133441,0.164975,0.208005,0.191658,0.077338,0.180619,0.274973,0.231894,0.307011,0.347386,0.222636,0.306739,0.337246,0.294643,2
0.165468,0.360131,0.336759,0.361013,0.41756,0.452234,0.326024,0.393775,0.410977,0.283943,0.165468,0.245361,0.278221,0.285957,0.347787,0.376699,0.25755,0.315371,0.342226,0.259419,0.165468,0.292215,0.298265,0.334584,0.425986,0.507755,0.267963,0.36231,0.408136,0.288279,0.165468,0.329128,0.422064,0.381616,0.443542,0.442664,0.381981,0.471727,0.463224,0.420238,2
0.116457,0.247059,0.270859,0.243227,0.299598,0.347766,0.218696,0.286198,0.3166,0.249225,0.116457,0.164261,0.241163,0.195745,0.293586,0.378641,0.17953,0.264134,0.327507,0.266214,0.116457,0.190789,0.203693,0.233244,0.305107,0.401888,0.193409,0.262056,0.312336,0.244456,0.116457,0.21961,0.311745,0.263231,0.35203,0.38027,0.251675,0.353215,0.377152,0.319048,2
0.14973,0.288889,0.318017,0.266196,0.329088,0.331271,0.238315,0.292287,0.294511,0.205828,0.14973,0.218557,0.262258,0.234894,0.306233,0.318447,0.21057,0.270318,0.294388,0.234713,0.14973,0.23136,0.197538,0.270777,0.310278,0.37559,0.240411,0.289975,0.310367,0.223865,0.14973,0.217317,0.330406,0.247911,0.327675,0.397976,0.25242,0.335399,0.368545,0.355357,2
0.147932,0.311765,0.209794,0.314488,0.336461,0.400687,0.275822,0.299053,0.317269,0.157471,0.147932,0.216495,0.233181,0.244255,0.295393,0.307767,0.225671,0.273852,0.286109,0.213095,0.147932,0.189693,0.170118,0.212869,0.247576,0.300067,0.194489,0.232868,0.249344,0.215945,0.147932,0.244266,0.250274,0.270195,0.305535,0.297639,0.257632,0.312161,0.331768,0.266667,2
0.221673,0.426144,0.418984,0.41225,0.487265,0.48866,0.386036,0.474966,0.477242,0.384997,0.221673,0.305842,0.303307,0.33617,0.387534,0.4,0.317114,0.362191,0.385465,0.281038,0.221673,0.277961,0.224398,0.299732,0.332902,0.390425,0.284711,0.323604,0.336614,0.263992,0.221673,0.366399,0.369923,0.404596,0.399262,0.367622,0.405808,0.429899,0.413146,0.357738,2
0.109263,0.327451,0.36578,0.336278,0.406836,0.442612,0.277553,0.370771,0.410308,0.347799,0.109263,0.191065,0.286773,0.227234,0.325203,0.36699,0.200503,0.285336,0.326587,0.281655,0.109263,0.161732,0.203134,0.208579,0.271493,0.351315,0.177202,0.233503,0.277559,0.24076,0.109263,0.237959,0.319429,0.287604,0.3631,0.392917,0.27997,0.364059,0.392019,0.332143,2
0.176709,0.363399,0.454655,0.355124,0.459115,0.472165,0.336988,0.455345,0.468541,0.443893,0.176709,0.226804,0.322121,0.251064,0.345077,0.38835,0.240772,0.314488,0.350506,0.303274,0.176709,0.208333,0.221041,0.238606,0.282482,0.32704,0.218801,0.251904,0.274278,0.252904,0.176709,0.288417,0.386937,0.329387,0.422878,0.447723,0.31869,0.41828,0.428795,0.374405,2
