@relation page-blocks-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Height numeric
@attribute Lenght numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute P_and numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Blackand numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
0.001245,0.038043,0.000257,0.020471,0.736287,0.733475,0.006459,0.000969,0.000564,0,2
0.001245,0.030797,0.000201,0.016747,0.795359,0.821962,0.005652,0.000848,0.000499,0,2
0.001245,0.038043,0.000257,0.020471,0.688819,0.855011,0.002927,0.000909,0.000672,0.000311,2
0.011208,0.117754,0.004535,0.012278,0.233122,0.638593,0.00019,0.005422,0.009301,0.028652,1
0.009963,0.161232,0.005577,0.018609,0.219409,0.771855,0.000238,0.006361,0.013658,0.029897,1
0.009963,0.038043,0.001327,0.004538,0.248945,0.80597,0.000299,0.001696,0.00336,0.006851,1
0.009963,0.164855,0.005702,0.019023,0.246835,0.877399,0.000188,0.007148,0.015739,0.037994,1
0.009963,0.019928,0.000701,0.002469,0.413502,0.979744,0.000143,0.001424,0.002146,0.008409,1
0.009963,0.09058,0.003139,0.01054,0.257384,0.771855,0.00027,0.004089,0.007675,0.017751,1
0.009963,0.143116,0.004952,0.01654,0.296414,0.869936,0.000206,0.007239,0.01355,0.036749,1
0.008717,0.17029,0.00523,0.022101,0.264768,0.932836,0.000155,0.006936,0.015284,0.040174,1
0.011208,0.094203,0.003632,0.009857,0.255274,0.807036,0.000159,0.004695,0.009257,0.026783,1
0.009963,0.164855,0.005702,0.019023,0.253165,0.832623,0.000212,0.007299,0.014981,0.036437,1
0.012453,0.152174,0.006445,0.014376,0.216245,0.886994,0.000135,0.007239,0.017973,0.044534,1
0.009963,0.148551,0.005139,0.01716,0.244726,0.839019,0.000184,0.006391,0.013593,0.034257,1
0.009963,0.11413,0.003952,0.013229,0.260549,0.968017,0.000164,0.005179,0.011967,0.029274,1
0.012453,0.182971,0.007744,0.017255,0.18038,0.752665,0.000107,0.007542,0.018536,0.050452,1
0.013699,0.099638,0.004619,0.008678,0.21519,0.815565,0.000206,0.005179,0.011902,0.02616,1
0.009963,0.150362,0.005202,0.017367,0.179325,0.932836,0.000164,0.005058,0.015198,0.028652,1
0.009963,0.096014,0.003327,0.01116,0.253165,0.954158,0.000097,0.004271,0.009929,0.029586,1
0.009963,0.072464,0.002514,0.008471,0.259494,0.760128,0.000182,0.003301,0.006049,0.017751,1
0.011208,0.148551,0.005716,0.015443,0.225738,0.815565,0.000222,0.006663,0.014721,0.032389,1
0.011208,0.005435,0.000229,0.000732,0.340717,0.360341,0.002826,0.000424,0.000195,0,1
0.013699,0.018116,0.000868,0.001695,0.336498,1,0.000127,0.001454,0.00271,0.009031,1
0.013699,0.077899,0.003618,0.006816,0.220464,0.751599,0.000279,0.00415,0.008629,0.017751,1
0.011208,0.059783,0.002313,0.006319,0.258439,0.877399,0.000143,0.003029,0.006374,0.018063,1
0.009963,0.13587,0.004702,0.015712,0.268987,0.8742,0.00017,0.00633,0.012921,0.035192,1
0.013699,0.023551,0.001118,0.00216,0.32173,0.955224,0.000264,0.001787,0.003339,0.007786,1
0.013699,0.01087,0.000535,0.001073,0.170886,0.555437,0.000525,0.000515,0.000911,0.001246,1
0.013699,0.077899,0.003618,0.006816,0.255274,0.724947,0.000264,0.004664,0.008347,0.020554,1
0.011208,0.112319,0.004327,0.011719,0.190928,0.685501,0.000139,0.004422,0.009474,0.026783,1
0.009963,0.056159,0.001952,0.006609,0.231013,0.567164,0.000248,0.002332,0.003555,0.010589,1
0.002491,0.208333,0.002368,0.071993,0.351266,0.460554,0.00656,0.004028,0.003577,0.000934,2
0,0.016304,0.000021,0.018609,1,1,0.001817,0.000273,0.000065,0,2
0,0.021739,0.000042,0.024196,1,1,0.002422,0.000363,0.00013,0,2
0,0.012681,0.000007,0.014885,1,1,0.001413,0.000212,0.000022,0,2
0,0.077899,0.000257,0.081925,0.208861,1,0.000242,0.000303,0.000802,0.001246,2
0.001245,0.03442,0.000229,0.018609,0.709916,0.866738,0.005652,0.000848,0.000607,0,2
0.001245,0.03442,0.000229,0.018609,0.762658,0.840085,0.006056,0.000909,0.000585,0,2
0.014944,0.016304,0.000854,0.001419,0.261603,0.795309,0.00111,0.001151,0.002125,0.001557,1
0.012453,0.153986,0.006521,0.014546,0.380802,0.843284,0.000424,0.011812,0.017344,0.038929,1
0.012453,0.03442,0.001479,0.003372,0.122363,0.733475,0.000476,0.00109,0.003425,0.003114,1
0.009963,0.007246,0.000264,0.001022,0.343882,0.928571,0.000369,0.000485,0.000759,0.001557,1
0.008717,0.003623,0.000118,0.000685,0.385021,0.378465,0.001817,0.000273,0.000065,0,1
0.002491,0.202899,0.002306,0.070131,0.32173,0.336887,0.005904,0.003635,0.002623,0.000934,2
0.120797,0.003623,0.001993,0.000045,0.451477,0.452026,0.02826,0.00424,0.002948,0,4
0.001245,0.085145,0.000618,0.04468,0.60443,0.65565,0.005854,0.001787,0.001257,0.000311,2
0.012453,0.115942,0.004917,0.010991,0.35654,0.86887,0.000325,0.00842,0.013441,0.033012,1
0.009963,0.065217,0.002264,0.007643,0.5,0.891258,0.00044,0.00527,0.00633,0.016817,1
0.009963,0.036232,0.001264,0.004332,0.25211,0.746269,0.000115,0.001636,0.00297,0.010589,1
0.008717,0.012681,0.000396,0.001849,0.191983,0.283582,0.000807,0.000424,0.000304,0.000623,1
0.011208,0.179348,0.006897,0.018609,0.405063,0.904051,0.000309,0.013175,0.019577,0.053254,1
0.009963,0.056159,0.001952,0.006609,0.263713,0.766525,0.000216,0.002605,0.004726,0.012769,1
0.012453,0.181159,0.007667,0.017086,0.364979,0.880597,0.000355,0.013357,0.021246,0.049517,1
0.012453,0.213768,0.009043,0.020132,0.220464,0.784648,0.000178,0.010298,0.022504,0.056057,1
0.011208,0.226449,0.008702,0.023451,0.39346,0.852878,0.000339,0.016204,0.023392,0.061974,1
0.009963,0.021739,0.000764,0.002676,0.197257,0.426439,0.000741,0.000818,0.001019,0.001557,1
0.009963,0.134058,0.004639,0.015505,0.21519,0.579957,0.00024,0.00521,0.008715,0.024291,1
0.012453,0.213768,0.009043,0.020132,0.194093,0.730277,0.000151,0.009329,0.021051,0.054812,1
0.011208,0.077899,0.003007,0.008181,0.359705,0.842217,0.000434,0.00521,0.007978,0.016817,1
0.009963,0.070652,0.002452,0.008263,0.320675,0.964819,0.00026,0.003847,0.007393,0.017129,1
0.008717,0.085145,0.002618,0.01116,0.263713,0.908316,0.000153,0.003483,0.007458,0.020243,1
0.009963,0.077899,0.002702,0.009091,0.43038,0.932836,0.000371,0.005482,0.007891,0.01962,1
0.009963,0.083333,0.002889,0.009711,0.234177,0.730277,0.000287,0.003483,0.006699,0.014637,1
0.009963,0.070652,0.002452,0.008263,0.281646,0.913646,0.000273,0.003453,0.007024,0.014949,1
0.001245,0.030797,0.000201,0.016747,0.706751,0.703625,0.005046,0.000757,0.000412,0,2
0,0.028986,0.000069,0.031645,0.75211,1,0.000454,0.000363,0.000217,0.000934,2
0,0.012681,0.000007,0.014885,1,1,0.001413,0.000212,0.000022,0,2
0.001245,0.123188,0.00091,0.064234,0.602321,0.899787,0.001968,0.002575,0.002558,0.00218,2
0.001245,0.081522,0.00059,0.042818,0.564346,0.745203,0.003432,0.001605,0.001366,0.000623,2
0.012453,0.137681,0.005834,0.013023,0.309072,0.865672,0.000289,0.008814,0.015891,0.03706,1
0.009963,0.072464,0.002514,0.008471,0.262658,0.878465,0.000184,0.003332,0.006938,0.017751,1
0,0.101449,0.000347,0.106134,0.42616,1,0.000547,0.000757,0.001084,0.001869,2
0,0.016304,0.000021,0.018609,0.894515,1,0.001615,0.000242,0.000065,0,2
0.016189,0.333333,0.017939,0.024594,0.21308,0.627932,0.000256,0.019869,0.036422,0.089692,1
0.011208,0.273551,0.010508,0.028293,0.258439,0.763326,0.000236,0.01366,0.025474,0.064466,1
0.001245,0.208333,0.001563,0.107996,0.594937,0.788913,0.003407,0.004301,0.003881,0.00218,2
0.009963,0.221014,0.00764,0.025438,0.327004,0.985075,0.000327,0.012115,0.023501,0.047337,1
0.001245,0.028986,0.000188,0.015816,0.565401,0.969083,0.001145,0.000575,0.000564,0.000623,2
0,0.019928,0.000035,0.022334,0.560127,1,0.000505,0.000182,0.000108,0.000311,1
0.006227,0.047101,0.001076,0.008367,0.107595,0.446695,0.000359,0.000727,0.001539,0.002491,1
0.007472,0.025362,0.000681,0.003978,0.28692,0.746269,0.000422,0.001,0.001583,0.003114,1
0.007472,0.103261,0.002771,0.015417,0.158228,0.734542,0.00027,0.002453,0.006461,0.010589,1
0.007472,0.081522,0.002188,0.012224,0.10865,0.559701,0.00064,0.001484,0.003946,0.003426,1
0,0.047101,0.000139,0.050267,0.570675,1,0.000606,0.000454,0.000434,0.000934,1
0.007472,0.028986,0.000778,0.00451,0.184599,0.552239,0.000343,0.000787,0.001344,0.002803,1
0.001245,0.054348,0.000382,0.028851,0.149789,0.484009,0.000202,0.000333,0.000542,0.001557,1
0,0.019928,0.000035,0.022334,0.560127,1,0.000505,0.000182,0.000108,0.000311,1
0.001245,0.028986,0.000188,0.015816,0.28692,1,0.000353,0.000303,0.000585,0.000934,1
0.001245,0.018116,0.000104,0.010229,0.376582,0.952026,0.001615,0.000242,0.000304,0,1
0.001245,0.032609,0.000215,0.017678,0.195148,1,0.000161,0.000242,0.000672,0.001246,1
0.007472,0.192029,0.005153,0.028453,0.229958,0.63113,0.000121,0.006088,0.010471,0.038929,1
0.004981,0.014493,0.000264,0.003339,0.226793,0.763326,0.000143,0.000333,0.000607,0.001869,1
0.012453,0.014493,0.000639,0.00151,0.456751,0.708955,0.001009,0.001424,0.001409,0.00218,1
0.012453,0.012681,0.000563,0.001341,0.688819,1,0.001363,0.001848,0.001756,0.00218,1
0.012453,0.012681,0.000563,0.001341,0.412447,0.430704,0.007671,0.001151,0.000737,0,1
0.012453,0.01087,0.000486,0.001171,0.574895,1,0.000959,0.001363,0.001518,0.00218,1
0.012453,0.01087,0.000486,0.001171,0.438819,1,0.000525,0.00106,0.001518,0.002803,1
0.012453,0.014493,0.000639,0.00151,0.446203,0.61194,0.002961,0.001393,0.001214,0.000623,1
0.012453,0.012681,0.000563,0.001341,0.484177,0.842217,0.001615,0.001333,0.001474,0.001246,1
0,0.076087,0.00025,0.080062,0.901899,1,0.001766,0.001151,0.00078,0.000934,2
0.011208,0.175725,0.006758,0.018237,0.357595,0.824094,0.000285,0.01157,0.017582,0.049206,1
0.011208,0.086957,0.003354,0.009112,0.493671,0.958422,0.000398,0.007693,0.010059,0.026472,1
0.011208,0.036232,0.00141,0.003898,0.292194,0.832623,0.000315,0.00206,0.003686,0.008097,1
0.009963,0.032609,0.001139,0.003918,0.253165,0.744136,0.000329,0.001484,0.002667,0.005606,1
0.009963,0.097826,0.003389,0.011367,0.260549,1,0.000186,0.004452,0.01058,0.023669,1
0.009963,0.023551,0.000826,0.002885,0.079114,0.932836,0.000157,0.000454,0.002406,0.002491,1
0.008717,0.039855,0.001229,0.005341,0.248945,1,0.000095,0.001575,0.003837,0.0109,1
0.008717,0.061594,0.001896,0.008134,0.344937,0.878465,0.000133,0.00318,0.005225,0.01962,1
0.009963,0.172101,0.005952,0.019851,0.241561,0.802772,0.000194,0.00733,0.015111,0.038306,1
0.009963,0.117754,0.004077,0.013643,0.285865,0.792111,0.000202,0.005785,0.010211,0.029586,1
0.009963,0.059783,0.002077,0.007022,0.300633,0.804904,0.000164,0.003089,0.005268,0.01744,1
0.008717,0.148551,0.004563,0.019308,0.287975,0.901919,0.000153,0.006512,0.012921,0.037994,1
0.008717,0.143116,0.004396,0.018609,0.264768,0.916844,0.000145,0.005846,0.012639,0.03488,1
0.009963,0.17029,0.005889,0.019645,0.245781,0.704691,0.000222,0.00736,0.013246,0.035814,1
0.008717,0.143116,0.004396,0.018609,0.259494,0.875267,0.000145,0.005755,0.012097,0.034257,1
0.011208,0.021739,0.000854,0.002408,0.059072,0.664179,0.000268,0.000394,0.001778,0.001557,1
0.008717,0.125,0.003841,0.016281,0.304852,0.91258,0.000133,0.005755,0.010992,0.035503,1
0.012453,0.150362,0.006369,0.014207,0.221519,0.808102,0.000139,0.007299,0.016281,0.044223,1
0.009963,0.177536,0.006139,0.020471,0.229958,0.80597,0.000188,0.007269,0.015653,0.038617,1
0.009963,0.143116,0.004952,0.01654,0.254219,0.859275,0.000172,0.006361,0.013398,0.035192,1
0.012453,0.181159,0.007667,0.017086,0.197257,0.80597,0.000123,0.007996,0.019555,0.051074,1
0.013699,0.04529,0.002118,0.004022,0.17827,1,0.000121,0.00206,0.006612,0.01308,1
0.013699,0.070652,0.003285,0.006194,0.231013,0.715352,0.000196,0.003907,0.00748,0.020243,1
0.008717,0.150362,0.004619,0.01954,0.228903,0.963753,0.000159,0.005452,0.013918,0.031143,1
0.008717,0.094203,0.002896,0.012324,0.322785,0.979744,0.000109,0.004574,0.008867,0.03052,1
0.009963,0.146739,0.005077,0.016954,0.21097,0.722814,0.000202,0.005603,0.011685,0.028652,1
0.007472,0.023551,0.000632,0.003711,0.139241,0.586354,0.003432,0.000515,0.001149,0,1
0.008717,0.04529,0.001396,0.006039,0.340717,0.943497,0.000155,0.002332,0.004119,0.013391,1
0.008717,0.081522,0.002507,0.010695,0.357595,0.947761,0.000172,0.004331,0.007436,0.02398,1
0.009963,0.059783,0.002077,0.007022,0.344937,0.958422,0.000143,0.003483,0.006222,0.020866,1
0.012453,0.04529,0.001938,0.004389,0.258439,0.9371,0.000206,0.002544,0.00568,0.012769,1
0.012453,0.074275,0.00316,0.007097,0.298523,0.817697,0.000252,0.004664,0.008152,0.021177,1
0.013699,0.110507,0.005119,0.009609,0.191983,0.637527,0.000117,0.00524,0.010493,0.033946,1
0.008717,0.134058,0.004118,0.017445,0.291139,0.880597,0.000174,0.005937,0.011404,0.0327,1
0.008717,0.030797,0.000951,0.004177,0.450422,0.985075,0.000234,0.00206,0.002927,0.009654,1
0.007472,0.057971,0.001556,0.008765,0.095992,0.833689,0.000275,0.000969,0.004076,0.004049,1
0.009963,0.11413,0.003952,0.013229,0.435654,0.892324,0.000319,0.008087,0.011078,0.032077,1
0.009963,0.063406,0.002202,0.007436,0.544304,0.927505,0.000408,0.005543,0.006396,0.018686,1
0.008717,0.012681,0.000396,0.001849,0.159283,0.30064,0.000672,0.000363,0.000325,0.000623,1
0.008717,0.036232,0.001118,0.004875,0.302743,0.651386,0.000196,0.001696,0.002298,0.00872,1
0.009963,0.177536,0.006139,0.020471,0.434599,0.938166,0.000307,0.012479,0.018038,0.050763,1
0.009963,0.150362,0.005202,0.017367,0.248945,0.777186,0.000168,0.006573,0.012813,0.036749,1
0.008717,0.054348,0.001674,0.007203,0.290084,0.776119,0.00017,0.002423,0.004097,0.013391,1
0.022416,0.001812,0.000215,0.000182,0.805907,0.803838,0.006056,0.000909,0.00052,0,4
0.009963,0.181159,0.006264,0.020885,0.411392,0.851812,0.000339,0.012146,0.016823,0.046403,1
0.012453,0.211957,0.008966,0.019963,0.219409,0.804904,0.000204,0.010207,0.02285,0.052009,1
0.004981,0.001812,0.000021,0.000732,0.78903,0.78678,0.001413,0.000212,0.000022,0,4
0.011208,0.226449,0.008702,0.023451,0.377637,0.821962,0.000329,0.015598,0.02259,0.060729,1
0.013699,0.210145,0.009702,0.018144,0.177215,0.651386,0.000137,0.009329,0.020336,0.056992,1
0.009963,0.061594,0.002139,0.007229,0.222574,0.644989,0.000375,0.002484,0.004401,0.00872,1
0.009963,0.081522,0.002827,0.009505,0.253165,0.654584,0.000186,0.003635,0.005919,0.019309,1
0.011208,0.001812,0.00009,0.000359,0.525316,0.573561,0.002019,0.000303,0.000108,0,2
0.008717,0.077899,0.002396,0.010229,0.394515,0.933902,0.000456,0.004513,0.007003,0.014014,1
0.008717,0.085145,0.002618,0.01116,0.272152,0.794243,0.000186,0.003574,0.006569,0.018997,1
0.008717,0.070652,0.002174,0.009298,0.370253,0.990405,0.000309,0.003877,0.006721,0.015571,1
0.008717,0.07971,0.002452,0.010462,0.439873,0.953092,0.000386,0.005088,0.007306,0.017751,1
0.009963,0.03442,0.001202,0.004125,0.220464,0.526652,0.000273,0.001393,0.002016,0.005917,1
0.009963,0.038043,0.001327,0.004538,0.259494,0.962687,0.000224,0.001757,0.003989,0.008409,1
0.008717,0.072464,0.002229,0.009531,0.298523,0.928571,0.000218,0.003301,0.006482,0.016194,1
0.001245,0.201087,0.001507,0.104271,0.468354,0.471215,0.011001,0.003332,0.002298,0.000311,2
0,0.07971,0.000264,0.083787,0.742616,1,0.000943,0.001,0.000824,0.001557,2
0,0.134058,0.000472,0.139654,0.802743,1,0.000918,0.001817,0.001474,0.003114,2
0.008717,0.076087,0.002341,0.009996,0.313291,0.801706,0.000254,0.003604,0.005919,0.016194,1
0.012453,0.543478,0.022947,0.050945,0.270042,0.717484,0.000246,0.030834,0.052638,0.142323,1
0.007472,0.061594,0.001653,0.009298,0.422996,0.864606,0.000297,0.003332,0.004488,0.013703,1
0.009963,0.219203,0.007577,0.025231,0.302743,0.943497,0.000317,0.011237,0.022395,0.044846,1
0.011208,0.233696,0.00898,0.024196,0.39346,0.757996,0.000361,0.016689,0.021636,0.061352,1
0.006227,0.081522,0.001868,0.014265,0.174051,0.791045,0.000202,0.001787,0.004661,0.009031,1
0.006227,0.047101,0.001076,0.008367,0.088608,0.651386,0.000202,0.000636,0.002211,0.003114,1
0.004981,0.012681,0.000229,0.002967,0.314346,0.653518,0.000741,0.000394,0.000434,0.000623,1
0.004981,0.003623,0.000056,0.001104,0.437764,1,0.001211,0.000182,0.000173,0,1
0.004981,0.061594,0.001167,0.013023,0.156118,0.817697,0.000682,0.00103,0.002992,0.00218,1
0.003736,0.083333,0.001257,0.021868,0.259494,0.721748,0.000268,0.001666,0.002862,0.007163,1
0.002491,0.054348,0.000597,0.019229,0.183544,0.759062,0.000222,0.000606,0.001409,0.002803,1
0.002491,0.027174,0.000285,0.009918,0.340717,0.933902,0.000252,0.000515,0.000824,0.00218,1
0.012453,0.036232,0.001556,0.003542,0.378692,0.658849,0.000597,0.002847,0.003252,0.007163,1
0.012453,0.012681,0.000563,0.001341,0.340717,0.575693,0.000632,0.000969,0.000997,0.00218,1
0.012453,0.014493,0.000639,0.00151,0.435654,0.80597,0.001655,0.001363,0.001604,0.001246,1
0.011208,0.012681,0.000507,0.001477,0.472574,1,0.000807,0.001181,0.001583,0.00218,1
0.011208,0.036232,0.00141,0.003898,0.28692,0.573561,0.000484,0.002029,0.00258,0.005917,1
0.001245,0.282609,0.002132,0.146171,0.478903,0.521322,0.005147,0.004786,0.003599,0.001557,2
0.011208,0.067029,0.002591,0.007063,0.408228,0.890192,0.000369,0.005028,0.007241,0.018063,1
0.009963,0.063406,0.002202,0.007436,0.524262,0.908316,0.000464,0.005361,0.006265,0.016506,1
0.008717,0.03442,0.001063,0.004643,0.498945,0.933902,0.000505,0.002514,0.0031,0.007163,1
0.009963,0.086957,0.003014,0.010125,0.57173,0.997868,0.000414,0.007905,0.009387,0.026472,1
0,0.056159,0.000174,0.059578,0.703586,1,0.000959,0.000666,0.000542,0.000934,2
0,0.092391,0.000313,0.096822,0.776371,1,0.001867,0.001212,0.000976,0.000934,2
0,0.021739,0.000042,0.024196,0.675105,1,0.000706,0.000242,0.00013,0.000311,2
0.009963,0.039855,0.001389,0.004747,0.265823,1,0.000125,0.001878,0.004336,0.011834,1
0.009963,0.065217,0.002264,0.007643,0.347046,0.795309,0.000212,0.003816,0.00568,0.018997,1
0.009963,0.03442,0.001202,0.004125,0.302743,0.863539,0.000273,0.001817,0.003252,0.007786,1
0.008717,0.141304,0.004341,0.018376,0.340717,0.953092,0.000226,0.007148,0.012943,0.034569,1
0.009963,0.144928,0.005014,0.016747,0.35443,0.890192,0.000279,0.008541,0.014027,0.036749,1
0.008717,0.119565,0.003674,0.015583,0.347046,0.729211,0.000301,0.006149,0.00852,0.025226,1
0.009963,0.056159,0.001952,0.006609,0.253165,0.814499,0.000107,0.002514,0.005008,0.016817,1
0.115816,0.001812,0.001257,0.000026,0.489451,0.484009,0.019378,0.002908,0.001951,0,4
0.011208,0.018116,0.000715,0.002035,0.348101,1,0.000101,0.001242,0.002233,0.008409,1
0.011208,0.11413,0.004396,0.011905,0.256329,0.795309,0.000252,0.005694,0.011057,0.025849,1
0.011208,0.148551,0.005716,0.015443,0.256329,0.706823,0.000206,0.00739,0.012899,0.037372,1
0.013699,0.130435,0.006035,0.011315,0.216245,0.563966,0.00023,0.006785,0.011078,0.032389,1
0.008717,0.028986,0.000896,0.003944,0.317511,0.787846,0.000202,0.001424,0.002211,0.007163,1
0.009963,0.019928,0.000701,0.002469,0.374473,0.872068,0.000139,0.001302,0.001908,0.007786,1
0.009963,0.146739,0.005077,0.016954,0.306962,0.907249,0.000206,0.007633,0.01446,0.038617,1
0.008717,0.094203,0.002896,0.012324,0.335443,0.894456,0.000153,0.004725,0.00813,0.027406,1
0.012453,0.148551,0.006292,0.014037,0.234177,0.89339,0.000143,0.007542,0.017669,0.045157,1
0.011208,0.144928,0.005577,0.015071,0.239451,0.797441,0.000224,0.006815,0.01407,0.033012,1
0.009963,0.146739,0.005077,0.016954,0.292194,0.862473,0.000224,0.00733,0.013788,0.035503,1
0.012453,0.179348,0.007591,0.016916,0.228903,0.749467,0.000182,0.008935,0.018103,0.048272,1
0.009963,0.146739,0.005077,0.016954,0.205696,0.930704,0.00022,0.005482,0.014807,0.026783,1
0.009963,0.173913,0.006014,0.020058,0.291139,0.915778,0.000155,0.008632,0.017279,0.05014,1
0.009963,0.056159,0.001952,0.006609,0.296414,0.851812,0.000137,0.002877,0.005225,0.01744,1
0.008717,0.146739,0.004507,0.019075,0.364979,0.947761,0.000305,0.007875,0.013376,0.032077,1
0.013699,0.021739,0.001035,0.002004,0.337553,0.979744,0.000266,0.001726,0.003165,0.007474,1
0.013699,0.076087,0.003535,0.006659,0.254219,0.777186,0.00026,0.004543,0.008694,0.020243,1
0.008717,0.134058,0.004118,0.017445,0.382911,0.904051,0.000277,0.007512,0.011685,0.032389,1
0.012453,0.150362,0.006369,0.014207,0.209916,0.659915,0.000155,0.006997,0.013485,0.040486,1
0.001245,0.221014,0.00166,0.114514,0.472574,0.471215,0.024627,0.003695,0.002537,0,2
0,0.063406,0.000201,0.067027,0.706751,1,0.001548,0.000757,0.000629,0.000623,2
0.022416,0.221014,0.016182,0.012043,0.03903,0.028785,0.041583,0.006239,0.004358,0,1
0.008717,0.009058,0.000285,0.001384,0.472574,0.622601,0.001413,0.000697,0.00052,0.000623,1
0.011208,0.115942,0.004466,0.012091,0.414557,0.905117,0.000319,0.008723,0.012683,0.034569,1
0.009963,0.065217,0.002264,0.007643,0.575949,0.942431,0.000503,0.005997,0.006677,0.01744,1
0.009963,0.03442,0.001202,0.004125,0.302743,0.75693,0.000149,0.001817,0.002862,0.010589,1
0.003736,0.012681,0.000174,0.003711,0.308017,0.766525,0.000168,0.000303,0.00039,0.001557,1
0.011208,0.179348,0.006897,0.018609,0.418776,0.865672,0.000367,0.013569,0.018796,0.049206,1
