@relation satimage-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Sp11 numeric
@attribute Sp12 numeric
@attribute Sp13 numeric
@attribute Sp14 numeric
@attribute Sp15 numeric
@attribute Sp16 numeric
@attribute Sp17 numeric
@attribute Sp18 numeric
@attribute Sp19 numeric
@attribute Sp21 numeric
@attribute Sp22 numeric
@attribute Sp23 numeric
@attribute Sp24 numeric
@attribute Sp25 numeric
@attribute Sp26 numeric
@attribute Sp27 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp31 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp34 numeric
@attribute Sp35 numeric
@attribute Sp36 numeric
@attribute Sp37 numeric
@attribute Sp38 numeric
@attribute Sp39 numeric
@attribute Sp41 numeric
@attribute Sp42 numeric
@attribute Sp43 numeric
@attribute Sp44 numeric
@attribute Sp45 numeric
@attribute Sp46 numeric
@attribute Sp47 numeric
@attribute Sp48 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
0.630769,0.609091,0.563218,0.413223,0.630769,0.681818,0.642105,0.453125,0.6875,0.76699,0.684211,0.484375,0.692308,0.690909,0.568421,0.448,0.6875,0.737864,0.610526,0.4375,0.753846,0.776699,0.715789,0.460938,0.615385,0.692308,0.6,0.432,0.692308,0.699029,0.663158,0.453125,0.692308,0.699029,0.621053,0.453125,3
0.753846,0.718182,0.712644,0.446281,0.753846,0.763636,0.642105,0.484375,0.75,0.76699,0.684211,0.453125,0.753846,0.727273,0.715789,0.504,0.75,0.825243,0.663158,0.460938,0.753846,0.737864,0.663158,0.460938,0.753846,0.769231,0.7,0.464,0.753846,0.776699,0.568421,0.453125,0.753846,0.776699,0.621053,0.421875,3
0.692308,0.645455,0.666667,0.413223,0.630769,0.563636,0.684211,0.453125,0.75,0.728155,0.589474,0.453125,0.753846,0.690909,0.610526,0.448,0.6875,0.699029,0.610526,0.4375,0.753846,0.699029,0.568421,0.4375,0.692308,0.692308,0.655556,0.432,0.753846,0.737864,0.621053,0.453125,0.753846,0.737864,0.621053,0.453125,3
0.630769,0.563636,0.712644,0.446281,0.753846,0.681818,0.589474,0.453125,0.8125,0.854369,0.642105,0.484375,0.692308,0.654545,0.610526,0.448,0.75,0.699029,0.568421,0.4375,0.753846,0.737864,0.663158,0.460938,0.753846,0.730769,0.655556,0.464,0.753846,0.737864,0.621053,0.453125,0.692308,0.737864,0.663158,0.453125,3
0.815385,0.8,0.712644,0.504132,0.815385,0.763636,0.736842,0.484375,0.6875,0.76699,0.642105,0.453125,0.753846,0.772727,0.715789,0.504,0.75,0.825243,0.757895,0.460938,0.815385,0.825243,0.821053,0.492188,0.753846,0.807692,0.7,0.504,0.830769,0.776699,0.621053,0.492188,0.830769,0.815534,0.663158,0.492188,3
0.692308,0.718182,0.666667,0.446281,0.692308,0.645455,0.642105,0.453125,0.6875,0.68932,0.589474,0.484375,0.815385,0.772727,0.663158,0.472,0.75,0.737864,0.663158,0.4375,0.892308,0.776699,0.663158,0.460938,0.753846,0.807692,0.755556,0.504,0.830769,0.776699,0.663158,0.453125,0.830769,0.776699,0.663158,0.453125,3
0.692308,0.645455,0.609195,0.479339,0.692308,0.681818,0.642105,0.453125,0.6875,0.76699,0.642105,0.453125,0.892308,0.727273,0.663158,0.472,0.8125,0.825243,0.715789,0.492188,0.815385,0.825243,0.715789,0.492188,0.830769,0.769231,0.7,0.464,0.830769,0.776699,0.621053,0.453125,0.753846,0.776699,0.621053,0.492188,3
0.692308,0.718182,0.666667,0.446281,0.753846,0.763636,0.684211,0.484375,0.75,0.815534,0.736842,0.453125,0.815385,0.772727,0.715789,0.504,0.8125,0.776699,0.663158,0.492188,0.815385,0.776699,0.715789,0.460938,0.753846,0.769231,0.655556,0.504,0.753846,0.776699,0.621053,0.453125,0.753846,0.776699,0.621053,0.453125,3
0.753846,0.763636,0.712644,0.479339,0.753846,0.763636,0.736842,0.453125,0.75,0.815534,0.684211,0.453125,0.815385,0.727273,0.663158,0.504,0.8125,0.776699,0.715789,0.460938,0.753846,0.776699,0.715789,0.460938,0.753846,0.769231,0.655556,0.464,0.753846,0.776699,0.621053,0.453125,0.753846,0.776699,0.621053,0.453125,3
0.753846,0.763636,0.712644,0.446281,0.815385,0.718182,0.589474,0.453125,0.75,0.76699,0.589474,0.453125,0.753846,0.727273,0.715789,0.472,0.75,0.776699,0.715789,0.460938,0.753846,0.737864,0.610526,0.4375,0.753846,0.769231,0.655556,0.464,0.753846,0.737864,0.621053,0.453125,0.830769,0.737864,0.621053,0.453125,3
0.815385,0.718182,0.609195,0.446281,0.753846,0.718182,0.589474,0.453125,0.6875,0.76699,0.642105,0.421875,0.753846,0.727273,0.715789,0.472,0.75,0.737864,0.610526,0.4375,0.753846,0.737864,0.663158,0.492188,0.753846,0.730769,0.655556,0.464,0.830769,0.737864,0.621053,0.453125,0.753846,0.776699,0.621053,0.453125,3
0.753846,0.645455,0.609195,0.413223,0.692308,0.645455,0.589474,0.421875,0.75,0.76699,0.547368,0.421875,0.753846,0.727273,0.663158,0.472,0.75,0.737864,0.610526,0.40625,0.753846,0.737864,0.610526,0.460938,0.753846,0.807692,0.7,0.504,0.753846,0.776699,0.663158,0.453125,0.753846,0.776699,0.663158,0.453125,3
0.692308,0.645455,0.609195,0.413223,0.753846,0.718182,0.547368,0.421875,0.75,0.728155,0.547368,0.421875,0.753846,0.690909,0.610526,0.416,0.75,0.737864,0.610526,0.460938,0.692308,0.699029,0.568421,0.4375,0.753846,0.769231,0.7,0.464,0.753846,0.776699,0.663158,0.453125,0.753846,0.776699,0.621053,0.421875,3
0.753846,0.681818,0.563218,0.413223,0.753846,0.645455,0.589474,0.421875,0.6875,0.728155,0.589474,0.421875,0.692308,0.654545,0.568421,0.448,0.6875,0.737864,0.610526,0.40625,0.753846,0.699029,0.568421,0.4375,0.753846,0.769231,0.655556,0.432,0.692308,0.699029,0.568421,0.453125,0.615385,0.699029,0.526316,0.390625,3
0.753846,0.763636,0.609195,0.446281,0.753846,0.718182,0.642105,0.453125,0.6875,0.76699,0.589474,0.453125,0.753846,0.618182,0.568421,0.416,0.6875,0.699029,0.610526,0.4375,0.753846,0.737864,0.663158,0.4375,0.753846,0.653846,0.555556,0.432,0.753846,0.737864,0.526316,0.421875,0.753846,0.737864,0.621053,0.421875,3
0.692308,0.718182,0.609195,0.446281,0.692308,0.718182,0.642105,0.484375,0.6875,0.76699,0.684211,0.453125,0.753846,0.690909,0.663158,0.448,0.75,0.776699,0.663158,0.4375,0.753846,0.737864,0.610526,0.4375,0.753846,0.730769,0.655556,0.432,0.753846,0.737864,0.663158,0.421875,0.692308,0.737864,0.568421,0.421875,3
0.692308,0.718182,0.712644,0.446281,0.753846,0.718182,0.642105,0.453125,0.75,0.76699,0.589474,0.453125,0.753846,0.690909,0.610526,0.448,0.75,0.737864,0.663158,0.4375,0.753846,0.699029,0.568421,0.4375,0.692308,0.730769,0.6,0.432,0.692308,0.699029,0.621053,0.421875,0.692308,0.737864,0.568421,0.421875,3
0.753846,0.718182,0.666667,0.446281,0.753846,0.718182,0.589474,0.453125,0.6875,0.76699,0.589474,0.453125,0.753846,0.690909,0.663158,0.448,0.75,0.699029,0.568421,0.4375,0.692308,0.699029,0.568421,0.4375,0.692308,0.692308,0.655556,0.432,0.692308,0.737864,0.568421,0.421875,0.753846,0.699029,0.526316,0.390625,3
0.753846,0.718182,0.609195,0.446281,0.692308,0.718182,0.589474,0.453125,0.6875,0.728155,0.642105,0.421875,0.753846,0.654545,0.568421,0.448,0.6875,0.699029,0.568421,0.4375,0.692308,0.699029,0.568421,0.40625,0.692308,0.730769,0.6,0.432,0.753846,0.699029,0.526316,0.390625,0.692308,0.699029,0.568421,0.390625,3
0.692308,0.681818,0.666667,0.413223,0.692308,0.645455,0.505263,0.421875,0.625,0.68932,0.547368,0.421875,0.692308,0.654545,0.568421,0.416,0.6875,0.699029,0.526316,0.40625,0.630769,0.621359,0.484211,0.382813,0.692308,0.692308,0.6,0.4,0.615385,0.660194,0.526316,0.390625,0.615385,0.699029,0.526316,0.421875,3
0.692308,0.645455,0.517241,0.413223,0.630769,0.645455,0.547368,0.421875,0.625,0.650485,0.547368,0.421875,0.692308,0.654545,0.526316,0.416,0.625,0.621359,0.484211,0.382813,0.630769,0.582524,0.484211,0.351563,0.615385,0.653846,0.555556,0.4,0.615385,0.699029,0.526316,0.421875,0.615385,0.660194,0.526316,0.421875,3
0.630769,0.609091,0.563218,0.413223,0.569231,0.563636,0.505263,0.390625,0.4375,0.485437,0.463158,0.390625,0.630769,0.545455,0.484211,0.36,0.484375,0.466019,0.389474,0.382813,0.323077,0.262136,0.389474,0.351563,0.615385,0.653846,0.555556,0.432,0.615385,0.621359,0.568421,0.390625,0.553846,0.504854,0.484211,0.390625,5
0.569231,0.563636,0.517241,0.380165,0.446154,0.454545,0.463158,0.390625,0.3125,0.339806,0.294737,0.367188,0.492308,0.436364,0.389474,0.392,0.3125,0.262136,0.389474,0.351563,0.261538,0.330097,0.389474,0.382813,0.615385,0.615385,0.6,0.4,0.553846,0.504854,0.484211,0.390625,0.553846,0.543689,0.484211,0.390625,5
0.323077,0.318182,0.287356,0.355372,0.384615,0.418182,0.421053,0.367188,0.625,0.650485,0.589474,0.421875,0.261538,0.309091,0.389474,0.392,0.484375,0.504854,0.526316,0.40625,0.630769,0.660194,0.526316,0.4375,0.553846,0.538462,0.511111,0.4,0.692308,0.699029,0.568421,0.421875,0.692308,0.699029,0.568421,0.421875,5
0.384615,0.418182,0.425287,0.355372,0.630769,0.609091,0.589474,0.421875,0.6875,0.68932,0.547368,0.421875,0.492308,0.472727,0.526316,0.416,0.625,0.660194,0.526316,0.4375,0.630769,0.621359,0.526316,0.40625,0.692308,0.692308,0.6,0.432,0.692308,0.699029,0.568421,0.421875,0.615385,0.660194,0.526316,0.359375,7
0.630769,0.609091,0.563218,0.355372,0.569231,0.609091,0.463158,0.335938,0.5,0.524272,0.336842,0.304688,0.569231,0.509091,0.431579,0.36,0.484375,0.504854,0.389474,0.320313,0.492308,0.504854,0.305263,0.296875,0.553846,0.538462,0.388889,0.336,0.492308,0.466019,0.368421,0.296875,0.492308,0.504854,0.284211,0.296875,7
0.507692,0.490909,0.333333,0.289256,0.446154,0.418182,0.294737,0.28125,0.375,0.407767,0.294737,0.28125,0.492308,0.472727,0.305263,0.304,0.484375,0.504854,0.347368,0.296875,0.492308,0.504854,0.305263,0.265625,0.492308,0.5,0.3,0.304,0.492308,0.466019,0.326316,0.296875,0.430769,0.436893,0.326316,0.296875,7
0.446154,0.418182,0.287356,0.264463,0.384615,0.381818,0.294737,0.28125,0.4375,0.485437,0.378947,0.28125,0.492308,0.472727,0.347368,0.304,0.484375,0.504854,0.305263,0.265625,0.446154,0.466019,0.305263,0.296875,0.492308,0.461538,0.344444,0.304,0.430769,0.436893,0.326316,0.296875,0.430769,0.359223,0.326316,0.296875,7
0.446154,0.454545,0.37931,0.264463,0.384615,0.354545,0.378947,0.304688,0.265625,0.271845,0.294737,0.335938,0.446154,0.436364,0.305263,0.304,0.3125,0.398058,0.305263,0.296875,0.215385,0.262136,0.263158,0.320313,0.430769,0.355769,0.344444,0.304,0.307692,0.330097,0.284211,0.328125,0.246154,0.262136,0.368421,0.296875,5
0.384615,0.354545,0.37931,0.289256,0.276923,0.254545,0.294737,0.335938,0.203125,0.213592,0.221053,0.28125,0.323077,0.372727,0.305263,0.304,0.203125,0.262136,0.263158,0.320313,0.215385,0.262136,0.221053,0.265625,0.307692,0.326923,0.3,0.336,0.246154,0.262136,0.368421,0.296875,0.246154,0.23301,0.252632,0.296875,5
0.276923,0.2,0.241379,0.264463,0.215385,0.2,0.252632,0.304688,0.203125,0.242718,0.252632,0.304688,0.261538,0.245455,0.221053,0.272,0.25,0.23301,0.178947,0.265625,0.215385,0.23301,0.178947,0.296875,0.246154,0.201923,0.222222,0.264,0.184615,0.203883,0.210526,0.296875,0.184615,0.203883,0.210526,0.296875,5
0.953846,0.9,0.91954,0.578512,0.815385,0.772727,0.715789,0.4375,0.6875,0.737864,0.568421,0.40625,0.969231,0.9,0.884211,0.6,0.75,0.912621,0.821053,0.554688,0.692308,0.776699,0.663158,0.453125,0.784615,0.826923,0.744444,0.504,0.784615,0.834951,0.757895,0.523438,0.861538,0.980583,0.810526,0.578125,3
0.815385,0.772727,0.747126,0.429752,0.692308,0.690909,0.568421,0.40625,0.6875,0.699029,0.568421,0.382813,0.753846,0.854545,0.821053,0.568,0.6875,0.776699,0.663158,0.453125,0.692308,0.699029,0.568421,0.390625,0.784615,0.826923,0.8,0.536,0.861538,0.980583,0.810526,0.578125,0.861538,0.932039,0.810526,0.554688,3
0.692308,0.690909,0.586207,0.396694,0.692308,0.654545,0.568421,0.382813,0.6875,0.699029,0.568421,0.40625,0.692308,0.727273,0.663158,0.464,0.6875,0.699029,0.568421,0.390625,0.692308,0.699029,0.568421,0.390625,0.861538,0.971154,0.855556,0.592,0.861538,0.932039,0.810526,0.554688,0.661538,0.708738,0.610526,0.4375,3
0.692308,0.654545,0.586207,0.371901,0.692308,0.654545,0.568421,0.40625,0.5625,0.699029,0.568421,0.40625,0.692308,0.654545,0.568421,0.4,0.6875,0.699029,0.568421,0.390625,0.692308,0.737864,0.568421,0.390625,0.861538,0.923077,0.855556,0.568,0.661538,0.708738,0.610526,0.4375,0.661538,0.708738,0.610526,0.40625,3
0.692308,0.654545,0.586207,0.396694,0.569231,0.654545,0.568421,0.40625,0.5625,0.699029,0.610526,0.4375,0.692308,0.654545,0.568421,0.4,0.6875,0.737864,0.568421,0.390625,0.615385,0.776699,0.621053,0.453125,0.661538,0.701923,0.644444,0.448,0.661538,0.708738,0.610526,0.40625,0.661538,0.708738,0.568421,0.382813,3
0.569231,0.654545,0.632184,0.429752,0.569231,0.690909,0.715789,0.460938,0.625,0.776699,0.715789,0.460938,0.615385,0.727273,0.621053,0.464,0.609375,0.776699,0.621053,0.453125,0.615385,0.776699,0.663158,0.453125,0.661538,0.701923,0.6,0.392,0.6,0.708738,0.568421,0.40625,0.661538,0.747573,0.568421,0.4375,3
0.569231,0.690909,0.747126,0.454545,0.630769,0.727273,0.715789,0.460938,0.625,0.825243,0.715789,0.460938,0.615385,0.727273,0.621053,0.464,0.609375,0.776699,0.663158,0.453125,0.615385,0.737864,0.568421,0.421875,0.6,0.701923,0.6,0.416,0.661538,0.747573,0.568421,0.4375,0.661538,0.747573,0.610526,0.4375,3
0.630769,0.727273,0.747126,0.454545,0.630769,0.772727,0.715789,0.460938,0.625,0.776699,0.663158,0.4375,0.615385,0.727273,0.663158,0.464,0.609375,0.737864,0.568421,0.421875,0.615385,0.737864,0.568421,0.390625,0.661538,0.740385,0.6,0.448,0.661538,0.747573,0.610526,0.4375,0.661538,0.708738,0.610526,0.4375,3
0.630769,0.772727,0.747126,0.454545,0.630769,0.727273,0.663158,0.4375,0.625,0.660194,0.526316,0.382813,0.615385,0.690909,0.568421,0.432,0.609375,0.737864,0.568421,0.390625,0.615385,0.660194,0.526316,0.390625,0.661538,0.740385,0.644444,0.448,0.661538,0.708738,0.610526,0.4375,0.6,0.669903,0.484211,0.382813,3
0.630769,0.581818,0.54023,0.371901,0.630769,0.581818,0.526316,0.351563,0.625,0.660194,0.568421,0.351563,0.615385,0.618182,0.526316,0.368,0.546875,0.660194,0.526316,0.390625,0.553846,0.621359,0.484211,0.359375,0.538462,0.615385,0.466667,0.328,0.6,0.621359,0.484211,0.351563,0.538462,0.582524,0.442105,0.320313,4
0.569231,0.581818,0.586207,0.338843,0.569231,0.618182,0.526316,0.382813,0.5625,0.621359,0.526316,0.351563,0.553846,0.581818,0.484211,0.336,0.609375,0.582524,0.452632,0.328125,0.615385,0.582524,0.452632,0.296875,0.538462,0.576923,0.422222,0.328,0.6,0.582524,0.357895,0.320313,0.538462,0.582524,0.4,0.289063,4
0.569231,0.618182,0.54023,0.371901,0.569231,0.581818,0.526316,0.351563,0.5625,0.582524,0.526316,0.351563,0.615385,0.545455,0.452632,0.336,0.609375,0.582524,0.452632,0.296875,0.553846,0.582524,0.484211,0.328125,0.6,0.576923,0.377778,0.328,0.538462,0.582524,0.4,0.289063,0.538462,0.582524,0.442105,0.320313,4
0.569231,0.581818,0.54023,0.338843,0.569231,0.545455,0.526316,0.351563,0.5625,0.582524,0.431579,0.351563,0.615385,0.545455,0.452632,0.304,0.546875,0.582524,0.484211,0.328125,0.553846,0.621359,0.484211,0.328125,0.538462,0.576923,0.422222,0.296,0.538462,0.582524,0.442105,0.320313,0.6,0.582524,0.4,0.289063,4
0.446154,0.509091,0.390805,0.280992,0.446154,0.509091,0.389474,0.296875,0.4375,0.504854,0.389474,0.265625,0.492308,0.472727,0.368421,0.264,0.421875,0.466019,0.368421,0.257813,0.492308,0.466019,0.368421,0.257813,0.476923,0.538462,0.422222,0.328,0.476923,0.543689,0.357895,0.289063,0.415385,0.504854,0.357895,0.265625,4
0.446154,0.509091,0.390805,0.280992,0.446154,0.472727,0.389474,0.265625,0.4375,0.504854,0.389474,0.296875,0.430769,0.436364,0.368421,0.264,0.484375,0.466019,0.368421,0.257813,0.430769,0.504854,0.326316,0.257813,0.476923,0.538462,0.377778,0.296,0.415385,0.504854,0.357895,0.265625,0.415385,0.504854,0.4,0.289063,4
0.492308,0.509091,0.390805,0.280992,0.446154,0.509091,0.389474,0.296875,0.4375,0.543689,0.389474,0.296875,0.492308,0.472727,0.368421,0.264,0.484375,0.466019,0.326316,0.296875,0.492308,0.466019,0.326316,0.257813,0.476923,0.5,0.422222,0.296,0.415385,0.427184,0.4,0.320313,0.307692,0.320388,0.484211,0.40625,4
0.446154,0.509091,0.390805,0.280992,0.446154,0.509091,0.389474,0.296875,0.484375,0.543689,0.389474,0.320313,0.492308,0.436364,0.326316,0.304,0.484375,0.466019,0.326316,0.257813,0.430769,0.466019,0.368421,0.328125,0.415385,0.423077,0.422222,0.328,0.307692,0.320388,0.484211,0.40625,0.261538,0.213592,0.568421,0.554688,4
0.569231,0.581818,0.436782,0.338843,0.569231,0.618182,0.568421,0.40625,0.6875,0.737864,0.568421,0.4375,0.430769,0.436364,0.484211,0.4,0.546875,0.543689,0.484211,0.421875,0.615385,0.699029,0.568421,0.421875,0.153846,0.125,0.688889,0.68,0.107692,0.067961,0.757895,0.75,0.153846,0.126214,0.705263,0.664063,4
0.569231,0.618182,0.586207,0.396694,0.692308,0.690909,0.568421,0.4375,0.6875,0.737864,0.610526,0.4375,0.553846,0.509091,0.484211,0.432,0.609375,0.699029,0.568421,0.421875,0.692308,0.699029,0.663158,0.453125,0.107692,0.067308,0.8,0.768,0.153846,0.126214,0.705263,0.664063,0.369231,0.38835,0.568421,0.4375,3
0.692308,0.690909,0.586207,0.429752,0.692308,0.690909,0.610526,0.4375,0.75,0.776699,0.715789,0.460938,0.615385,0.654545,0.568421,0.432,0.6875,0.699029,0.663158,0.453125,0.692308,0.699029,0.621053,0.453125,0.153846,0.125,0.744444,0.68,0.369231,0.38835,0.568421,0.4375,0.661538,0.669903,0.568421,0.382813,3
0.753846,0.727273,0.747126,0.487603,0.753846,0.727273,0.715789,0.492188,0.75,0.825243,0.663158,0.460938,0.692308,0.690909,0.621053,0.432,0.75,0.776699,0.663158,0.453125,0.753846,0.776699,0.568421,0.453125,0.723077,0.701923,0.644444,0.448,0.784615,0.747573,0.652632,0.4375,0.723077,0.747573,0.610526,0.4375,3
0.753846,0.772727,0.689655,0.454545,0.753846,0.690909,0.663158,0.460938,0.75,0.737864,0.610526,0.4375,0.753846,0.727273,0.568421,0.464,0.75,0.776699,0.621053,0.421875,0.692308,0.699029,0.621053,0.421875,0.723077,0.740385,0.644444,0.448,0.723077,0.747573,0.610526,0.4375,0.723077,0.747573,0.610526,0.4375,3
0.692308,0.654545,0.632184,0.429752,0.753846,0.654545,0.568421,0.4375,0.75,0.737864,0.663158,0.460938,0.753846,0.690909,0.621053,0.464,0.75,0.737864,0.621053,0.453125,0.692308,0.737864,0.663158,0.453125,0.723077,0.701923,0.644444,0.448,0.784615,0.747573,0.652632,0.46875,0.784615,0.747573,0.652632,0.4375,3
0.753846,0.654545,0.586207,0.429752,0.753846,0.690909,0.663158,0.460938,0.75,0.825243,0.715789,0.492188,0.753846,0.690909,0.621053,0.464,0.6875,0.737864,0.663158,0.453125,0.753846,0.815534,0.663158,0.492188,0.784615,0.740385,0.688889,0.48,0.784615,0.747573,0.652632,0.4375,0.784615,0.796117,0.652632,0.4375,3
0.753846,0.690909,0.689655,0.454545,0.753846,0.772727,0.715789,0.492188,0.75,0.825243,0.757895,0.460938,0.692308,0.690909,0.663158,0.464,0.75,0.815534,0.663158,0.492188,0.830769,0.776699,0.621053,0.492188,0.784615,0.740385,0.688889,0.448,0.784615,0.796117,0.652632,0.4375,0.784615,0.796117,0.705263,0.46875,3
0.753846,0.772727,0.747126,0.487603,0.753846,0.772727,0.757895,0.460938,0.8125,0.825243,0.821053,0.492188,0.753846,0.763636,0.663158,0.504,0.828125,0.776699,0.621053,0.492188,0.830769,0.815534,0.663158,0.492188,0.784615,0.788462,0.688889,0.448,0.784615,0.796117,0.705263,0.46875,0.784615,0.796117,0.652632,0.46875,3
0.753846,0.772727,0.793103,0.454545,0.815385,0.772727,0.821053,0.492188,0.8125,0.825243,0.715789,0.523438,0.830769,0.727273,0.621053,0.504,0.828125,0.815534,0.663158,0.492188,0.830769,0.864078,0.715789,0.492188,0.784615,0.788462,0.744444,0.48,0.784615,0.796117,0.652632,0.46875,0.784615,0.796117,0.652632,0.46875,3
