@relation phoneme-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Aa numeric
@attribute Ao numeric
@attribute Dcl numeric
@attribute Iy numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.608059,0.714812,0.288929,0.320399,0.296028,0
0.406406,0.38773,0.672043,0.26231,0.406945,1
0.339074,0.430675,0.802867,0.180395,0.24007,0
0.70415,0.34461,0.341697,0.388246,0.307519,0
0.344756,0.334443,0.767423,0.613342,0.672496,1
0.498536,0.08589,0.310036,0.391423,0.299276,0
0.715688,0.401578,0.499602,0.551396,0.256558,0
0.333735,0.315863,0.608323,0.730202,0.516862,0
0.353022,0.335145,0.543608,0.85523,0.728454,1
0.387636,0.63716,0.260056,0.315861,0.290282,0
0.359738,0.32901,0.541617,0.615158,0.320759,1
0.371276,0.638387,0.735763,0.518266,0.247564,0
0.416911,0.320596,0.53644,0.817563,0.180115,0
0.441019,0.550044,0.305058,0.406853,0.256807,0
0.413983,0.365469,0.664875,0.791014,0.108419,1
0.929568,0.309202,0.341298,0.340141,0.310267,0
0.485276,0.675723,0.293907,0.324484,0.367974,0
0.308076,0.340578,0.651932,0.714772,0.320759,0
0.318581,0.417879,0.491438,0.657817,0.609793,1
0.306354,0.280631,0.44325,0.621284,0.729953,0
0.381436,0.312708,0.704301,0.59882,0.230827,1
0.342518,0.37844,0.714456,0.548219,0.442918,0
0.331669,0.374058,0.790522,0.199229,0.419435,0
0.432581,0.36617,0.809438,0.179033,0.421934,0
0.336146,0.670465,0.257467,0.437486,0.286535,0
0.54021,0.567397,0.678216,0.486499,0.27954,1
0.361288,0.503769,0.607527,0.464488,0.25381,0
0.511624,0.538124,0.300279,0.267075,0.69398,0
0.371793,0.327432,0.753086,0.609712,0.124657,1
0.505424,0.582472,0.291517,0.406399,0.355983,0
0.862235,0.320771,0.328953,0.323349,0.470147,0
0.350095,0.459071,0.566706,0.461992,0.271047,0
0.8197,0.334969,0.407607,0.432721,0.298776,0
0.359394,0.315688,0.690163,0.979351,0.164876,1
0.350611,0.385977,0.875946,0.662582,0.181614,0
0.442569,0.6305,0.691756,0.503063,0.272795,1
0.363355,0.409465,0.766029,0.232811,0.25306,0
0.650077,0.608063,0.470331,0.462446,0.395953,0
0.328741,0.31376,0.49323,0.615158,0.320759,1
0.319614,0.431551,0.669853,0.257091,0.2673,0
0.334941,0.32936,0.478694,0.238938,0.320759,0
0.818323,0.191762,0.395261,0.341048,0.303023,0
0.350956,0.316214,0.725607,0.628999,0.569823,0
0.342173,0.325679,0.501593,0.786022,0.320759,1
0.328397,0.325855,0.495818,0.642387,0.948039,0
0.857413,0.328484,0.426125,0.463808,0.362228,0
0.48476,0.290622,0.609916,0.82142,0.581814,1
0.648011,0.298685,0.391477,0.383254,0.345741,0
0.518684,0.448554,0.449223,0.443839,0.223083,0
0.317548,0.357581,0.712067,0.630361,0.320759,0
0.33959,0.543909,0.645161,0.473111,0.260555,0
0.835371,0.178265,0.424333,0.497617,0.278041,0
0.464956,0.537423,0.540223,0.442478,0.171122,0
0.425693,0.757581,0.551175,0.285909,0.371721,0
0.309282,0.308501,0.48865,0.834354,0.096927,1
0.348545,0.393339,0.581641,0.90742,0.105921,1
0.578268,0.472217,0.32278,0.390515,0.353985,0
0.315309,0.320245,0.621266,0.744497,0.18686,0
0.487171,0.620508,0.525488,0.50624,0.211841,0
0.274669,0.354777,0.653923,0.358747,0.320759,1
0.393146,0.76284,0.559936,0.29022,0.282538,0
0.338729,0.360035,0.49781,0.768777,0.69298,0
0.341657,0.403681,0.9092,0.180395,0.222833,1
0.41846,0.745837,0.264237,0.315861,0.287534,0
0.337179,0.474321,0.738351,0.54005,0.320759,0
0.359738,0.791937,0.26364,0.312457,0.286785,0
0.829172,0.332691,0.409797,0.341956,0.310017,0
0.27949,0.202103,0.448825,0.252099,0.320759,0
0.653522,0.384926,0.33632,0.381892,0.34649,0
0.428793,0.616827,0.276185,0.418652,0.279291,0
0.623902,0.401928,0.435683,0.427048,0.608294,0
0.545204,0.394566,0.328753,0.342183,0.339745,0
0.332185,0.311832,0.467145,0.692308,0.582063,0
0.390046,0.818931,0.242334,0.529158,0.25331,0
0.370759,0.333742,0.635802,0.786022,0.181614,0
0.489409,0.55986,0.29311,0.322215,0.29328,0
0.323919,0.316564,0.727997,0.148854,0.224082,1
0.385397,0.419106,0.664875,0.288632,0.367474,0
0.52144,0.575285,0.265631,0.40413,0.384711,0
0.317548,0.382997,0.821585,0.195825,0.18711,0
0.26778,0.482209,0.70908,0.177672,0.320759,0
0.344929,0.482559,0.557746,0.432948,0.35998,0
0.316859,0.407187,0.807646,0.195144,0.250562,0
0.340279,0.426643,0.80685,0.626503,0.320759,0
0.359566,0.682559,0.277579,0.29975,0.289033,0
0.311004,0.367923,0.428116,0.615158,0.562828,1
0.272946,0.354777,0.626045,0.747447,0.320759,1
0.335974,0.419632,0.451215,0.46585,0.431676,0
0.507491,0.637511,0.299084,0.323122,0.381964,0
0.332702,0.460123,0.658104,0.249376,0.256058,0
0.398485,0.66766,0.608722,0.48423,0.274794,0
0.519029,0.605784,0.275189,0.457227,0.575319,0
0.376442,0.428396,0.469335,0.22555,0.611541,1
0.323403,0.285013,0.465751,0.613569,0.579815,1
0.486998,0.373532,0.331939,0.383481,0.320759,0
0.335629,0.414724,1,0.174949,0.227829,0
0.33253,0.507099,0.624652,0.466304,0.257557,0
0.778715,0.287993,0.343688,0.379396,0.305271,0
0.328741,0.340754,0.538829,0.662355,0.496877,1
0.319442,0.312007,0.57268,0.832766,0.143392,0
0.856208,0.357581,0.336918,0.33946,0.307769,0
0.32943,0.486415,0.560534,0.435444,0.320759,0
0.335629,0.459947,0.90462,0.194917,0.224831,0
0.408989,0.593865,0.502589,0.415022,0.290532,0
0.348545,0.456266,0.472521,0.44452,0.416937,0
0.393663,0.654689,0.239546,0.298162,0.279291,0
0.346478,0.326906,0.614098,0.535058,0.320759,1
0.469433,0.6156,0.255675,0.405491,0.383712,0
0.374031,0.639439,0.705894,0.521216,0.245816,0
0.390391,0.383874,0.757069,0.246199,0.424681,1
0.314792,0.308677,0.464357,0.821874,0.320759,0
0.66351,0.430149,0.434488,0.334922,0.305271,0
0.329258,0.44943,0.53186,0.606535,0.211591,0
0.264508,0.493777,0.747511,0.517359,0.320759,0
0.325814,0.344435,0.462166,0.524393,0.625281,1
0.40434,0.317441,0.517523,0.79283,0.171122,0
0.344929,0.585977,0.273795,0.427956,0.290032,0
0.461512,0.646976,0.264237,0.316542,0.29353,0
0.468572,0.631201,0.259458,0.315634,0.290782,0
0.338213,0.444522,0.853644,0.206943,0.244567,0
0.324436,0.307099,0.552569,0.917177,0.109668,0
0.12175,0.091499,0.30446,0.324484,0.29278,0
0.340968,0.32936,0.507368,0.795779,0.125156,1
0.33408,0.419807,0.838311,0.189244,0.246565,0
0.351817,0.531989,0.482875,0.415475,0.355234,0
0.717927,0.288694,0.385504,0.377354,0.336498,0
0.496986,0.683611,0.582437,0.436805,0.369223,1
0.690029,0.582296,0.307447,0.326072,0.299026,0
0.340623,0.358808,0.451016,0.624688,0.18636,1
0.356466,0.432954,0.80008,0.236215,0.176618,1
0.325469,0.405609,0.825368,0.209893,0.251062,0
0.397279,0.718668,0.293708,0.320626,0.356982,0
0.492509,0.449255,0.315611,0.337645,0.30627,0
0.514379,0.590009,0.278375,0.250737,0.62603,0
0.738075,0.340228,0.400836,0.395507,0.345991,0
0.31617,0.366871,0.246714,0.869072,0.320759,1
0.464784,0.731639,0.54779,0.458135,0.284786,1
0.411917,0.439439,0.694743,0.513728,0.264801,0
0.429998,0.617704,0.267622,0.315634,0.320759,0
0.333219,0.324978,0.438869,0.568641,0.557832,0
0.357672,0.373006,0.839108,0.190152,0.194354,1
0.436198,0.660473,0.666667,0.457681,0.28029,1
0.318925,0.343208,0.630227,0.821874,0.320759,0
0.72912,0.300438,0.490641,0.589971,0.236073,0
0.343895,0.348466,0.844086,0.179714,0.575568,1
0.403306,0.596144,0.27957,0.317676,0.294779,0
0.728603,0.300438,0.490442,0.589971,0.236573,0
0.319786,0.380018,0.544604,0.81779,0.148639,0
0.548993,0.577914,0.465552,0.628999,0.238571,0
0.415016,0.786854,0.284747,0.300885,0.486135,0
0.468745,0.514286,0.31362,0.334014,0.348239,0
0.638884,0.420158,0.434488,0.33946,0.308019,0
0.30911,0.304996,0.435086,0.482187,0.320759,0
0.480282,0.615951,0.585424,0.488541,0.5331,0
0.486826,0.627695,0.303465,0.397776,0.280789,0
0.753057,0.378265,0.593986,0.288859,0.289783,0
0.401068,0.701139,0.56372,0.450193,0.276543,0
0.266058,0.520596,0.630824,0.499433,0.41369,0
0.494059,0.684663,0.257666,0.523032,0.442668,0
0.370932,0.36915,0.656113,0.623553,0.221584,1
0.367143,0.340403,0.757467,0.203994,0.434924,1
0.490098,0.482559,0.694544,0.25346,0.532101,1
0.389185,0.46766,0.745121,0.247788,0.269298,0
0.315998,0.351797,0.596575,0.710914,0.320759,1
0.564147,0.514461,0.302469,0.331291,0.347739,0
0.331841,0.419106,0.821386,0.610619,0.232326,0
0.343723,0.422787,0.792115,0.223508,0.243318,1
0.337351,0.48028,0.559737,0.279782,0.382213,0
0.654727,0.294829,0.344683,0.380304,0.309018,0
0.32478,0.317967,0.42055,0.515997,0.320759,1
0.305666,0.29851,0.42493,0.454958,0.320759,0
0.343723,0.432077,0.864397,0.137735,0.320759,0
0.356294,0.462752,0.642772,0.2285,0.242568,1
0.344756,0.392989,0.866388,0.20717,0.190857,1
0.329947,0.511832,0.586022,0.475834,0.320759,0
0.40675,0.383699,0.63401,0.546403,0.121909,1
0.318925,0.377038,0.60693,0.825732,0.320759,0
0.395901,0.676074,0.267224,0.280917,0.597302,0
0.320992,0.330061,0.227001,0.817563,0.320759,0
0.491648,0.621385,0.695938,0.287724,0.279291,1
0.330635,0.35688,0.571685,0.653733,0.140645,1
0.39263,0.823839,0.250299,0.303154,0.284287,0
0.84777,0.354952,0.337117,0.344906,0.309268,0
0.33253,0.657844,0.497611,0.761516,0.184612,0
0.454452,0.478002,0.679012,0.654413,0.207095,1
0.320131,0.298861,0.4546,0.222373,0.768923,0
0.503186,0.43979,0.325966,0.336283,0.30727,0
0.7088,0.386854,0.335723,0.380077,0.312016,0
0.321853,0.30447,0.459578,0.212162,0.801899,0
0.495264,0.596144,0.296097,0.416383,0.287035,0
0.346651,0.347239,0.694345,0.537781,0.485636,1
0.421044,0.727082,0.262843,0.302246,0.541594,0
0.313759,0.330938,0.547591,0.358747,0.320759,1
0.422766,0.456442,0.303863,0.262083,0.796153,0
0.795247,0.406836,0.51135,0.325165,0.301024,0
0.363355,0.610167,0.617881,0.548446,0.575568,1
0.46995,0.564417,0.494026,0.260722,0.609293,0
0.318925,0.323751,0.546197,0.733606,0.13365,1
0.535216,0.546713,0.294504,0.33061,0.300525,0
0.822972,0.318668,0.338311,0.339687,0.338496,0
0.316342,0.335495,0.588212,0.510324,0.456658,1
0.753573,0.286591,0.452609,0.581802,0.264302,0
0.31772,0.301315,0.457985,0.855457,0.09318,0
0.428793,0.650833,0.282756,0.413206,0.361729,0
0.338901,0.512883,0.504779,0.422283,0.29328,0
0.38092,0.592638,0.287933,0.466077,0.682738,0
0.623041,0.445399,0.414974,0.384615,0.304022,0
0.479766,0.436459,0.308841,0.331972,0.305771,0
0.327191,0.366521,0.540621,0.640345,0.127904,1
0.370071,0.56617,0.301474,0.409349,0.298276,0
0.307732,0.285539,0.423536,0.480145,0.320759,0
0.419322,0.737774,0.564914,0.278194,0.374719,0
0.347684,0.412621,0.844086,0.66644,0.320759,0
0.385569,0.329886,0.770609,0.641706,0.709968,1
0.343206,0.418054,0.887495,0.187202,0.320759,0
0.405717,0.810342,0.252688,0.522578,0.415189,1
0.386775,0.311306,0.772003,0.571137,0.730202,1
0.32478,0.355127,0.465352,0.539596,0.320759,1
0.33098,0.499211,0.626045,0.242115,0.320759,0
0.473739,0.594216,0.277977,0.411164,0.287784,0
0.306354,0.283961,0.538829,0.283413,0.216088,1
0.358705,0.753725,0.257666,0.304062,0.282538,0
0.789564,0.183173,0.634209,0.472884,0.2668,0
0.463406,0.756004,0.528873,0.505786,0.399201,0
0.348545,0.436985,0.771008,0.574767,0.151636,1
0.385053,0.7383,0.56372,0.461085,0.320759,0
0.343551,0.39404,0.587017,0.589744,0.320759,1
0.313587,0.334619,0.635404,0.863626,0.320759,0
0.328569,0.389833,0.509956,0.730883,0.158881,1
0.424832,0.43681,0.430506,0.336056,0.304522,0
0.315309,0.287993,0.460972,0.158384,0.320759,0
1,0.339001,0.341697,0.348083,0.312516,0
0.32633,0.306047,0.741338,0.641933,0.687984,1
0.32943,0.420333,0.761848,0.220558,0.263552,0
0.795075,0.40929,0.46137,0.456773,0.416937,0
0.322714,0.39702,0.465153,0.60767,0.542093,1
0.317548,0.291323,0.457387,0.737236,0.320759,0
0.415189,0.707975,0.644763,0.258906,0.270797,0
0.323919,0.431025,0.768817,0.231677,0.320759,0
0.575857,0.579667,0.478295,0.642841,0.247564,0
0.323919,0.321823,0.512346,0.805764,0.320759,0
0.370415,0.483786,0.290721,0.313819,0.273545,0
0.892543,0.316564,0.33632,0.383254,0.341244,0
0.355605,0.386152,0.542214,0.701157,0.320759,1
0.301188,0.286766,0.430108,0.257318,0.181114,0
0.420871,0.496407,0.544006,0.457908,0.378466,0
0.31307,0.299912,0.444644,0.579533,0.661254,0
0.624935,0.377739,0.398447,0.395734,0.36048,0
0.401929,0.767222,0.24552,0.557522,0.238571,0
0.470467,0.668361,0.265233,0.422283,0.472396,0
0.30601,0.217178,0.40223,0.284774,0.320759,1
0.391941,0.329185,0.753286,0.622646,0.717962,1
0.321853,0.485188,0.615293,0.482414,0.2673,0
0.349234,0.423663,0.770012,0.599955,0.581314,1
0.416911,0.490798,0.743528,0.528024,0.645016,1
0.355261,0.373181,0.562326,0.714545,0.086935,1
0.50973,0.354426,0.33871,0.384162,0.347989,0
0.748407,0.404382,0.333333,0.337872,0.311017,0
0.86809,0.1844,0.341896,0.343091,0.308019,0
0.362494,0.768273,0.241736,0.289766,0.25306,0
0.457035,0.485714,0.683194,0.521216,0.49288,1
0.342345,0.451183,0.932696,0.15135,0.229328,0
0.430343,0.689921,0.276384,0.299297,0.259306,0
0.63234,0.688344,0.281163,0.427502,0.370722,0
0.340796,0.477125,0.957387,0.18811,0.320759,0
0.309626,0.286415,0.445639,0.59587,0.220085,1
0.324264,0.344785,0.505775,0.79056,0.136398,0
0.415189,0.6617,0.269415,0.41661,0.362228,0
0.340796,0.388957,0.855635,0.238484,0.244067,0
0.403651,0.55723,0.262445,0.40708,0.292031,0
0.353367,0.435933,0.689168,0.49966,0.18711,0
0.170139,0.317266,0.396057,0.39233,0.300275,0
0.481143,0.644522,0.294106,0.400272,0.29378,0
0.177717,0.108326,0.285145,0.326299,0.298526,0
0.379714,0.570727,0.850458,0.216701,0.24057,0
0.3544,0.315162,0.764636,0.564556,0.418186,1
0.343379,0.420859,0.511549,0.610846,0.11966,1
0.335285,0.437686,0.771406,0.231677,0.463902,0
0.315481,0.312533,0.451016,0.245745,0.590057,1
0.34579,0.443646,0.661689,0.48786,0.240819,0
0.579817,0.455565,0.315213,0.405037,0.361479,0
0.311004,0.312358,0.559936,0.755389,0.320759,0
0.707939,0.459246,0.413978,0.410029,0.295029,0
0.436714,0.708852,0.66587,0.276152,0.277542,1
0.838126,0.325329,0.334528,0.397776,0.305021,0
0.338557,0.316389,0.755675,0.585659,0.471147,1
0.341484,0.431727,0.899442,0.208759,0.513115,1
0.267436,0.411919,0.753286,0.563195,0.320759,0
0.387463,0.626468,0.511151,0.472884,0.230077,0
0.372826,0.32007,0.807248,0.571818,0.467899,1
0.367832,0.340228,0.554958,0.88246,0.078941,0
0.369898,0.587379,0.542015,0.433628,0.320759,0
0.349923,0.457143,0.542413,0.795553,0.178866,1
0.537799,0.65837,0.561928,0.48423,0.281539,0
0.927157,0.296056,0.34309,0.342864,0.33375,0
0.847426,0.321823,0.332935,0.395053,0.305771,0
0.923885,0.376687,0.331541,0.339006,0.30702,0
0.497331,0.710254,0.269415,0.316542,0.418186,0
0.452041,0.636284,0.28176,0.326072,0.299775,0
0.388324,0.617704,0.295898,0.403903,0.284287,0
0.330463,0.331113,0.480486,0.673474,0.320759,1
0.662304,0.309553,0.394663,0.388019,0.286035,0
0.34579,0.690447,0.260056,0.420241,0.364227,0
0.460823,0.382822,0.781959,0.523258,0.41269,0
0.32788,0.331989,0.873158,0.211482,0.420185,0
0.354572,0.417879,0.835125,0.181529,0.222583,0
0.364043,0.333742,0.559737,0.609258,0.320759,1
0.308421,0.295706,0.461967,0.110733,0.320759,0
0.675392,0.449781,0.433094,0.392103,0.297027,0
0.686413,0.464154,0.501593,0.319946,0.371721,0
0.558464,0.582121,0.306651,0.330157,0.34649,0
0.412433,0.569676,0.309239,0.329703,0.303273,0
0.853969,0.346538,0.398049,0.384162,0.304272,0
0.405717,0.489395,0.714656,0.51509,0.257557,0
0.365249,0.494479,0.634209,0.756978,0.320759,1
0.325814,0.512007,0.823775,0.201271,0.320759,0
0.326675,0.585451,0.735564,0.2226,0.262303,0
0.357844,0.537073,0.577658,0.257772,0.320759,0
0.444291,0.608238,0.471724,0.428182,0.262303,0
0.458929,0.463453,0.304261,0.331291,0.304022,0
0.794903,0.327082,0.337913,0.387111,0.305771,0
0.331152,0.31972,0.572879,0.608123,0.320759,1
0.335285,0.345662,0.521705,0.748809,0.564826,0
0.311176,0.280631,0.430108,0.682324,0.771172,0
0.501808,0.533392,0.314616,0.334241,0.345741,0
0.402273,0.372831,0.750299,0.525981,0.411192,0
0.350956,0.423138,0.918757,0.171772,0.225581,0
0.311004,0.300438,0.529271,0.503744,0.320759,1
0.334252,0.56284,0.460573,0.420467,0.295029,0
0.325469,0.319544,0.54082,0.762877,0.194104,0
0.3513,0.365294,0.833333,0.56206,0.449413,0
0.329947,0.37213,0.520709,0.756297,0.320759,1
0.425349,0.670114,0.282955,0.413206,0.361479,0
0.331841,0.340228,0.690761,0.082142,0.215838,0
0.315998,0.338826,0.630426,0.876106,0.320759,0
0.442569,0.647853,0.269016,0.313819,0.289033,0
0.327364,0.504645,0.528076,0.43204,0.366475,0
0.339246,0.349518,0.726802,0.594282,0.206845,0
0.319614,0.351446,0.625647,0.566145,0.320759,1
0.528844,0.401753,0.512545,0.503517,0.401949,1
0.865335,0.353199,0.336519,0.338552,0.30677,0
0.354055,0.430675,0.861609,0.204901,0.234824,1
0.320131,0.412796,0.735763,0.184479,0.182613,0
0.360771,0.324803,0.556949,0.577717,0.320759,1
0.370759,0.49553,0.703505,0.576356,0.567824,1
0.386602,0.364417,0.766229,0.221693,0.230077,1
0.273463,0.41227,0.319992,0.497844,0.272046,0
0.354055,0.496056,0.616089,0.26889,0.272546,0
0.649561,0.279579,0.341099,0.377127,0.300275,0
0.661443,0.51376,0.571087,0.292489,0.287285,0
0.403134,0.758107,0.258264,0.312457,0.284786,0
0.763389,0.319018,0.339904,0.377354,0.310517,0
0.504736,0.504996,0.781561,0.265941,0.26605,1
0.318925,0.291499,0.452609,0.220785,0.765426,0
0.500086,0.36915,0.412784,0.334922,0.351237,0
0.553126,0.593339,0.475906,0.510324,0.442418,0
0.488032,0.387204,0.334727,0.374631,0.340245,0
0.315826,0.351972,0.687176,0.587928,0.460655,0
0.32633,0.443646,0.661091,0.260722,0.320759,0
0.626141,0.381245,0.403425,0.393692,0.348738,0
0.306699,0.32936,0.415771,0.494894,0.320759,1
0.521956,0.483085,0.494823,0.726118,0.204097,0
0.354744,0.577213,0.505974,0.431132,0.275294,0
0.260892,0.117616,0.203305,0.213524,0.240819,0
0.337007,0.333742,0.490044,0.643068,0.614289,0
0.382814,0.585276,0.483274,0.442932,0.243318,0
0.357844,0.525855,0.527081,0.450647,0.277542,0
0.456518,0.656266,0.284946,0.458135,0.551586,0
0.387463,0.571078,0.267025,0.311777,0.288783,0
0.772516,0.185451,0.387694,0.383708,0.336498,0
0.353022,0.694829,0.25687,0.29975,0.286785,0
0.313415,0.299211,0.445241,0.584978,0.320759,0
0.397451,0.718317,0.276185,0.415248,0.25381,0
0.323575,0.493602,0.595181,0.495121,0.320759,0
0.357155,0.45241,0.603146,0.489449,0.26705,0
0.385741,0.39106,0.832736,0.176537,0.242318,0
0.620458,0.45539,0.314417,0.386431,0.345241,0
0.409334,0.475197,0.739546,0.535285,0.548838,1
0.375409,0.41525,0.744126,0.258452,0.265551,0
0.33253,0.323751,0.53644,0.802814,0.320759,1
0.363355,0.597897,0.576464,0.455412,0.248564,0
0.399173,0.387555,0.648746,0.634445,0.233575,1
0.358188,0.675372,0.570092,0.253007,0.320759,0
0.554159,0.47993,0.317204,0.389381,0.300774,0
0.403995,0.298861,0.671047,0.539369,0.500625,1
0.342345,0.571078,0.744524,0.218516,0.320759,0
0.850181,0.323926,0.578853,0.29907,0.296777,0
0.488376,0.648554,0.65452,0.290674,0.278791,1
0.435337,0.60631,0.266029,0.312231,0.284037,0
0.405889,0.675723,0.599164,0.558884,0.260555,1
0.693646,0.334619,0.341697,0.37622,0.311267,0
0.4653,0.474145,0.681203,0.63558,0.188109,1
0.382814,0.37511,0.715651,0.646925,0.510117,1
0.332013,0.469939,0.614695,0.270252,0.382213,0
0.473566,0.580018,0.485066,0.708418,0.231077,0
0.874978,0.331814,0.40681,0.404584,0.461904,0
0.311348,0.286065,0.439865,0.208078,0.06695,0
0.328052,0.483786,0.557348,0.432948,0.370222,0
0.348717,0.365469,0.780964,0.528024,0.421934,0
0.467884,0.753199,0.284747,0.322895,0.286285,0
0.328052,0.477476,0.634409,0.474019,0.276543,0
