@relation yeast-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Mcg numeric
@attribute Gvh numeric
@attribute Alm numeric
@attribute Mit numeric
@attribute Erl numeric
@attribute Pox numeric
@attribute Vac numeric
@attribute Nuc numeric
@attribute Class {MIT,NUC,CYT,ME1,ME2,ME3,EXC,VAC,POX,ERL}

@data
0.247191,0.344828,0.544304,0.16,0,0,0.712329,0.52,NUC
0.426966,0.551724,0.35443,0.25,0,0,0.684932,0.28,CYT
0.303371,0.425287,0.202532,0.26,0,0,0.589041,0.22,ME3
0.651685,0.655172,0.392405,0.36,0,0,0.630137,0.22,EXC
0.561798,0.678161,0.227848,0.33,0,0,0.794521,0.22,MIT
0.752809,0.712644,0.240506,0.28,0,0,0.726027,0.22,MIT
0.595506,0.505747,0.455696,0.27,0,0,0.506849,0.22,CYT
0.280899,0.517241,0.177215,0.24,0,0,0.60274,0.22,ME3
0.280899,0.344828,0.227848,0.12,0,0,0.671233,0.22,ME3
0.404494,0.448276,0.367089,0.4,0,0,0.561644,0.22,CYT
0.404494,0.298851,0.43038,0.24,0,0,0.643836,0.22,CYT
0.370787,0.528736,0.189873,0.16,0,0,0.712329,0.22,ME3
0.213483,0.494253,0.43038,0.18,0,0,0.684932,0.22,CYT
0.606742,0.597701,0.392405,0.16,0,0,0.821918,0.22,CYT
0.382022,0.321839,0.367089,0.46,0,0.60241,0.684932,0.27,POX
0.370787,0.448276,0.253165,0.23,0,0,0.69863,0.22,NUC
0.213483,0.218391,0.455696,0.19,0,0,0.657534,0.55,NUC
0.382022,0.436782,0.367089,0.16,0,0,0.712329,1,NUC
0.382022,0.367816,0.367089,0.6,0,0,0.671233,0.22,MIT
0.539326,0.62069,0.443038,0.41,0,0,0.643836,0.22,MIT
0.404494,0.390805,0.455696,0.48,0,0,0.657534,0.22,MIT
0.269663,0.448276,0.341772,0.22,0,0,0.356164,0.22,MIT
0.404494,0.321839,0.56962,0.26,0,0,0.726027,0.22,MIT
0.595506,0.563218,0.101266,0.28,0,0,0.69863,0.22,MIT
0.494382,0.45977,0.43038,0.46,0,0,0.712329,0.22,MIT
0.629213,0.563218,0.417722,0.43,0,0,0.726027,0.22,MIT
0.483146,0.482759,0.164557,0.31,0,0,0.739726,0.22,ME3
0.52809,0.563218,0.417722,0.17,0,0,0.657534,0.22,MIT
0.325843,0.287356,0.405063,0.16,0,0,0.712329,0.27,NUC
0.393258,0.666667,0.341772,0.53,0,0,0.726027,0.22,MIT
0.47191,0.436782,0.43038,0.05,0,0,0.616438,0.25,NUC
0.438202,0.586207,0.455696,0.15,0,0,0.643836,0.22,CYT
0.325843,0.563218,0.392405,0.31,0,0,0.671233,0.31,CYT
0.550562,0.425287,0.455696,0.25,0,0,0.561644,0.26,CYT
0.573034,0.436782,0.392405,0.42,0,0,0.739726,0.27,NUC
0.269663,0.517241,0.417722,0.16,0,0,0.69863,0.22,NUC
0.258427,0.471264,0.367089,0.21,0,0,0.739726,0.31,CYT
0.314607,0.517241,0.367089,0.26,0,0,0.739726,0.59,ME3
0.41573,0.471264,0.367089,0.17,0,0,0.726027,0.22,NUC
0.202247,0.218391,0.468354,0.15,0,0,0.684932,0.3,CYT
0.404494,0.218391,0.544304,0.3,0,0,0.863014,0.22,NUC
0.314607,0.390805,0.443038,0.16,0,0,0.643836,0.22,CYT
0.52809,0.402299,0.379747,0.47,0,0,0.753425,0.22,NUC
0.595506,0.54023,0.455696,0.19,0,0,0.589041,0.22,NUC
0.359551,0.505747,0.405063,0.16,0,0,0.739726,0.22,CYT
0.191011,0.275862,0.506329,0.09,0,0,0.712329,0.55,NUC
0.539326,0.402299,0.367089,0.14,0,0,0.616438,0.25,CYT
0.314607,0.482759,0.341772,0.31,0,0,0.739726,0.29,CYT
0.168539,0.264368,0.329114,0.34,0,0,0.726027,0.72,NUC
0.370787,0.298851,0.405063,0.14,0,0,0.739726,0.44,CYT
0.382022,0.344828,0.379747,0.24,0,0,0.739726,0.33,CYT
0.280899,0.632184,0.316456,0.16,0,0,0.726027,0.28,NUC
0.348315,0.206897,0.367089,0.15,0,0,0.726027,0.22,NUC
0.348315,0.344828,0.443038,0.1,0,0,0.671233,0.22,CYT
0.629213,0.666667,0.392405,0.65,0,0,0.726027,0.36,NUC
0.426966,0.390805,0.405063,0.16,0,0,0.657534,0.27,NUC
0.674157,0.528736,0.341772,0.43,0,0,0.808219,0.22,MIT
0.325843,0.333333,0.632911,0.21,0,0,0.739726,0.32,CYT
0.325843,0.333333,0.632911,0.21,0,0,0.739726,0.32,CYT
0.483146,0.413793,0.35443,0.2,0,0,0.712329,0.22,CYT
0.348315,0.436782,0.367089,0.12,0,0,0.712329,0.46,NUC
0.516854,0.436782,0.405063,0.18,0,0,0.767123,0.25,NUC
0.269663,0.367816,0.278481,0.11,0,0,0.767123,0.22,ME3
0.348315,0.333333,0.265823,0.2,0,0,0.671233,0.22,ME3
0.168539,0.425287,0.151899,0.28,0,0,0.69863,0.22,ME3
0.314607,0.333333,0.21519,0.4,0,0,0.671233,0.47,ME3
0.168539,0.356322,0.113924,0.11,0,0,0.69863,0.47,ME3
0.224719,0.356322,0.405063,0.23,0,0,0.69863,0.32,NUC
0.617978,0.367816,0.367089,0.23,0,0,0.671233,0.22,CYT
0.11236,0.321839,0.43038,0.11,0,0,0.684932,0.27,CYT
0.303371,0.632184,0.291139,0.45,0,0,0.726027,0.22,MIT
0.370787,0.287356,0.341772,0.32,0,1,0.726027,0.22,POX
0.224719,0.206897,0.443038,0.33,0,0,0.712329,0.33,NUC
0.426966,0.206897,0.35443,0.35,0,0,0.69863,0.29,NUC
0.314607,0.310345,0.405063,0.67,0,0,0.643836,0.22,CYT
0.146067,0.241379,0.607595,0.18,0,0,0.712329,0.22,CYT
0.426966,0.344828,0.379747,0.13,0,0,0.643836,0.22,CYT
0.483146,0.287356,0.392405,0.18,0,0,0.657534,0.22,CYT
0.359551,0.505747,0.405063,0.53,0,0,0.726027,0.25,CYT
0.41573,0.586207,0.506329,0.23,0,0,0.821918,0.22,CYT
0.224719,0.482759,0.392405,0.17,0,0,0.712329,0.22,CYT
0.235955,0.505747,0.367089,0.15,0,0,0.726027,0.22,CYT
0.235955,0.333333,0.392405,0.24,0,0,0.821918,0.22,CYT
0.539326,0.425287,0.392405,0.28,0,0,0.753425,0.25,CYT
0.292135,0.333333,0.379747,0.11,0,0,0.780822,0.22,CYT
0.719101,0.655172,0.21519,0.27,0,0,0.671233,0.22,ME1
0.561798,0.678161,0.126582,0.33,0,0,0.767123,0.22,MIT
0.370787,0.333333,0.493671,0.21,0,0,0.780822,0.22,CYT
0.460674,0.436782,0.379747,0.54,0,0,0.753425,0.27,MIT
0.58427,0.494253,0.303797,0.58,0,0,0.69863,0.22,MIT
0.52809,0.517241,0.468354,0.49,0,0,0.671233,0.26,MIT
0.685393,0.563218,0.164557,0.29,0,0,0.767123,0.28,MIT
0.685393,0.551724,0.202532,0.3,0,0,0.780822,0.22,MIT
0.393258,0.344828,0.21519,0.33,0,0,0.657534,0.28,MIT
0.516854,0.505747,0.291139,0.37,0,0,0.712329,0.25,MIT
0.426966,0.37931,0.303797,0.45,0,0,0.712329,0.22,MIT
0.348315,0.517241,0.253165,0.65,0,0,0.630137,0.26,MIT
0.539326,0.551724,0.164557,0.22,0,0,0.69863,0.22,MIT
0.460674,0.735632,0.21519,0.34,0,0,0.69863,0.22,MIT
0.438202,0.448276,0.493671,0.51,0,0,0.657534,0.22,MIT
0.426966,0.54023,0.278481,0.56,0,0,0.493151,0.22,MIT
0.438202,0.321839,0.291139,0.5,0,0,0.575342,0.22,MIT
0.438202,0.310345,0.443038,0.7,0,0,0.684932,0.22,MIT
0.292135,0.517241,0.291139,0.51,0,0,0.60274,0.22,MIT
0.494382,0.367816,0.303797,0.54,0,0,0.684932,0.22,MIT
0.629213,0.632184,0.316456,0.29,0,0,0.630137,0.22,MIT
0.47191,0.436782,0.316456,0.28,0,0,0.657534,0.22,CYT
0.269663,0.609195,0.35443,0.21,0,0,0.739726,0.25,CYT
0.460674,0.310345,0.493671,0.12,0,0,0.753425,0.22,CYT
0.741573,0.758621,0.468354,0.23,0,0,0.657534,0.22,EXC
0.404494,0.37931,0.481013,0.49,0,0,0.767123,0.22,MIT
0.752809,0.701149,0.468354,0.25,1,0,0.726027,0.22,ERL
0.662921,0.597701,0.417722,0.28,0,0,0.821918,0.4,VAC
0.404494,0.471264,0.202532,0.14,0,0,0.684932,0.22,ME3
0.516854,0.321839,0.481013,0.24,0,0,0.547945,0.22,CYT
0.505618,0.321839,0.468354,0.21,0,0,0.575342,0.22,CYT
0.52809,0.494253,0.303797,0.12,0,0,0.69863,0.22,NUC
0.47191,0.287356,0.56962,0.25,0,0,0.589041,0.22,NUC
0.258427,0.264368,0.417722,0.11,0,0,0.493151,0.21,NUC
0.651685,0.551724,0.21519,0.27,0,0,0.712329,0.22,ME2
0.292135,0.45977,0.493671,0.19,0,0.60241,0.575342,0.22,POX
0.337079,0.367816,0.405063,0.17,0,0,0.69863,0.25,NUC
0.224719,0.37931,0.417722,0.52,0,0,0.684932,0.34,NUC
0.280899,0.275862,0.151899,0.14,0,0,0.780822,0.31,ME3
0.797753,0.747126,0.35443,0.23,0,0,0.630137,0.22,EXC
0.797753,0.712644,0.417722,0.23,0,0,0.630137,0.22,EXC
0.337079,0.436782,0.468354,0.15,0,0,0.616438,0.27,CYT
0.303371,0.436782,0.683544,0.17,0,0,0.753425,0.22,CYT
0.303371,0.436782,0.683544,0.17,0,0,0.753425,0.22,CYT
0.47191,0.356322,0.379747,0.33,0,0,0.712329,0.22,MIT
0.393258,0.471264,0.632911,0.15,0,0,0.808219,0.22,MIT
0.325843,0.494253,0.341772,0.14,0,0,0.643836,0.22,MIT
0.47191,0.45977,0.493671,0.13,0,0,0.671233,0.22,MIT
0.348315,0.505747,0.64557,0.22,0,0,0.780822,0.22,MIT
0.382022,0.16092,0.455696,0.36,0,0,0.712329,0.18,CYT
0.101124,0.149425,0.392405,0.14,0,0,0.726027,0.44,CYT
0.449438,0.45977,0.43038,0.14,0,0,0.69863,0.22,CYT
0.370787,0.632184,0.303797,0.51,0,0,0.712329,0.41,MIT
0.179775,0.298851,0.56962,0.11,0,0,0.60274,0.22,MIT
0.494382,0.333333,0.164557,0.3,0,0,0.712329,0.22,ME3
0.258427,0.333333,0.113924,0.23,0,0,0.726027,0.22,ME3
0.370787,0.45977,0.392405,0.23,0,1,0.69863,0.22,POX
0.539326,0.517241,0.443038,0.21,0,0,0.739726,0.33,NUC
0.314607,0.172414,0.316456,0.12,0,0,0.561644,0.22,NUC
0.280899,0.632184,0.21519,0.08,0,0,0.726027,0.25,VAC
0.179775,0.264368,0.493671,0.33,0,0,0.506849,0.31,NUC
0.269663,0.310345,0.481013,0.22,0,0,0.643836,0.37,NUC
0.348315,0.218391,0.367089,0.21,0,0,0.69863,0.22,NUC
0.134831,0.08046,0.405063,0.2,0,0,0.60274,0.22,NUC
0.494382,0.471264,0.443038,0.22,0,0,0.684932,0.37,NUC
0.280899,0.126437,0.35443,0.16,0,0,0.69863,0.22,NUC
0.303371,0.402299,0.481013,0.22,0,0,0.630137,0.22,CYT
0.550562,0.494253,0.329114,0.2,0,0,0.684932,0.38,NUC
0.337079,0.126437,0.417722,0.26,0,0,0.561644,0.22,NUC
0.404494,0.597701,0.417722,0.62,0,0,0.726027,0.36,MIT
0.359551,0.298851,0.417722,0.14,0,0,0.643836,0.22,NUC
0.438202,0.436782,0.392405,0.09,0,0,0.657534,0.25,NUC
0.47191,0.551724,0.392405,0.21,0,0,0.753425,0.3,NUC
0.483146,0.333333,0.253165,0.16,0,0,0.712329,0.22,ME2
0.393258,0.252874,0.405063,0.16,0,0,0.69863,0.29,CYT
0.393258,0.344828,0.35443,0.79,0,0,0.671233,0.63,NUC
0.449438,0.482759,0.177215,0.16,0,0,0.69863,0.47,ME3
0.505618,0.448276,0.43038,0.19,0,0,0.739726,0.22,CYT
0.561798,0.195402,0.481013,0.12,0,0,0.671233,0.27,NUC
0.292135,0.45977,0.316456,0.23,0,0,0.643836,0.22,NUC
0.808989,0.517241,0.151899,0.04,0,0,0.726027,0.22,ME2
0.460674,0.471264,0.367089,0.21,0,0,0.657534,0.3,CYT
0.752809,0.655172,0.139241,0.23,0,0,0.726027,0.22,ME1
0.494382,0.37931,0.405063,0.11,0,0,0.712329,0.48,CYT
0.382022,0.494253,0.417722,0.32,0,0,0.780822,0.22,CYT
0.382022,0.494253,0.405063,0.32,0,0,0.780822,0.22,CYT
0.460674,0.712644,0.202532,0.14,0,0,0.630137,0.22,ME3
0.674157,0.494253,0.227848,0.27,0,0,0.712329,0.22,ME2
0.52809,0.54023,0.278481,0.12,0,0,0.753425,0.22,ME3
0.483146,0.597701,0.35443,0.34,0,0,0.712329,0.22,CYT
0.516854,0.528736,0.291139,0.16,0,0,0.712329,0.22,ME2
0.539326,0.517241,0.316456,0.19,0,0,0.767123,0.27,CYT
0.910112,0.551724,0.240506,0.22,0,0,0.739726,0.22,ME2
0.494382,0.494253,0.303797,0.14,0,0,0.739726,0.22,CYT
0.58427,0.551724,0.253165,0.22,0,0,0.69863,0.22,ME3
0.52809,0.45977,0.21519,0.18,0,0,0.712329,0.22,ME3
0.280899,0.37931,0.278481,0.19,0,0,0.657534,0.22,ME3
0.235955,0.390805,0.43038,0.12,0,0,0.712329,0.22,CYT
0.258427,0.287356,0.303797,0.19,0,0,0.69863,0.22,ME2
0.47191,0.632184,0.265823,0.19,0,0,0.726027,0.22,ME3
0.696629,0.482759,0.253165,0.16,0,0,0.630137,0.22,ME2
0.494382,0.37931,0.316456,0.31,0,0,0.794521,0.48,NUC
0.269663,0.54023,0.329114,0.13,0,0,0.712329,0.43,NUC
0.741573,0.770115,0.379747,0.4,1,0,0.739726,0.22,ERL
0.741573,0.850575,0.329114,0.37,0,0,0.657534,0.22,EXC
0.269663,0.37931,0.35443,0.15,1,0,0.753425,0.35,CYT
0.359551,0.436782,0.341772,0.14,0,0,0.684932,0.22,CYT
0.516854,0.551724,0.303797,0.26,0,0,0.684932,0.22,CYT
0.58427,0.563218,0.265823,0.12,0,0,0.712329,0.25,CYT
0.157303,0.310345,0.379747,0.18,0,0,0.684932,0.27,CYT
0.505618,0.563218,0.405063,0.24,0,0,0.780822,0.22,CYT
0.52809,0.54023,0.379747,0.24,0,0,0.726027,0.22,CYT
0.674157,0.528736,0.405063,0.15,0,0,0.671233,0.33,CYT
0.393258,0.252874,0.151899,0.17,0,0,0.753425,0.22,ME3
0.483146,0.482759,0.265823,0.22,0,0,0.657534,0.22,ME3
0.247191,0.356322,0.35443,0.08,0,0,0.657534,0.49,NUC
0.786517,0.793103,0.253165,0.36,0,0,0.534247,0.22,EXC
0.393258,0.402299,0.291139,0.21,0,0,0.753425,0.22,POX
0.269663,0.264368,0.455696,0.17,0,0,0.712329,0.22,CYT
0.707865,0.678161,0.329114,0.25,0,0,0.780822,0.22,ME1
0.483146,0.505747,0.392405,0.19,0,0,0.808219,0.67,NUC
0.348315,0.448276,0.240506,0.17,0,0,0.684932,0.26,ME3
0.898876,0.735632,0.164557,0.47,0,0,0.712329,0.31,ME1
0.382022,0.310345,0.443038,0.14,0,0,0.739726,0.22,CYT
0.404494,0.390805,0.468354,0.16,0,0,0.671233,0.28,CYT
0.337079,0.298851,0.379747,0.52,0,0,0.671233,0.22,CYT
0.292135,0.241379,0.139241,0.22,0,0,0.767123,0.22,ME3
0.651685,0.54023,0.367089,0.31,0,0,0.753425,0.22,CYT
0.269663,0.494253,0.189873,0.3,0,0,0.726027,0.25,ME3
0.820225,0.609195,0.189873,0.78,0,0,0.671233,0.5,ME1
0.449438,0.517241,0.417722,0.29,0,0,0.726027,0.22,CYT
0.292135,0.344828,0.518987,0.27,0,0,0.657534,0.22,NUC
0.494382,0.609195,0.455696,0.32,0,0,0.780822,0.34,CYT
0.573034,0.517241,0.392405,0.15,0,0,0.712329,0.29,CYT
0.505618,0.528736,0.405063,0.16,0,0,0.328767,0.42,NUC
0.370787,0.436782,0.202532,0.15,0,0,0.69863,0.22,ME3
0.370787,0.356322,0.35443,0.15,0,0,0.630137,0.27,NUC
0.438202,0.425287,0.341772,0.17,0,0,0.643836,0.26,CYT
0.550562,0.54023,0.35443,0.3,0,0,0.726027,0.22,NUC
0.426966,0.37931,0.164557,0.21,0,0,0.753425,0.22,ME3
0.269663,0.632184,0.455696,0.4,0,0,0.726027,0.36,NUC
0.662921,0.643678,0.278481,0.33,0,0,0.794521,0.22,ME1
0.134831,0.195402,0.468354,0.22,0,0,0.657534,0.27,NUC
0.382022,0.333333,0.392405,0.2,0,0,0.684932,0.25,CYT
0.449438,0.252874,0.316456,0.15,0,0,0.69863,0.42,CYT
0.348315,0.298851,0.329114,0.13,0,0,0.684932,0.27,CYT
0.235955,0.287356,0.392405,0.2,0,0,0.712329,0.28,CYT
0.539326,0.597701,0.392405,0.3,0,0,0.630137,0.31,CYT
0.292135,0.229885,0.367089,0.12,0,0,0.69863,0.54,CYT
0.382022,0.494253,0.35443,0.17,0,0,0.712329,0.22,CYT
0.505618,0.471264,0.481013,0.14,0,0,0.712329,0.27,NUC
0.224719,0.206897,0.417722,0.18,0,0,0.712329,0.29,NUC
0.179775,0.436782,0.329114,0.35,0,0,0.671233,0.28,NUC
0.483146,0.494253,0.455696,0.18,0,0,0.616438,0.25,NUC
0.067416,0.287356,0.303797,0.09,0,0,0.739726,0.27,NUC
0.359551,0.436782,0.417722,0.15,0,0,0.616438,0.26,NUC
0.550562,0.310345,0.481013,0.18,0,0,0.657534,0.22,CYT
0.898876,0.643678,0.455696,0.45,0,0,0.767123,0.22,ME2
0.303371,0.390805,0.405063,0.12,0,0,0.657534,0.22,CYT
0.539326,0.344828,0.392405,0.19,0,0,0.753425,0.27,CYT
0.595506,0.45977,0.303797,0.13,0,0,0.726027,0.22,CYT
0.426966,0.206897,0.164557,0.13,0,0,0.712329,0.22,ME3
0.460674,0.436782,0.379747,0.12,0,0,0.69863,0.4,CYT
0.426966,0.344828,0.341772,0.15,0,0,0.753425,0.25,CYT
0.426966,0.390805,0.392405,0.16,0,0,0.726027,0.28,CYT
0.41573,0.298851,0.35443,0.18,0,0,0.69863,0.22,CYT
0.426966,0.333333,0.417722,0.17,0,0,0.684932,0.36,CYT
0.258427,0.609195,0.379747,0.16,0,0,0.643836,0.33,NUC
0.101124,0.241379,0.151899,0.1,0,0,0.657534,0.31,ME3
0.707865,0.45977,0.367089,0.08,0,0,0.753425,0.31,CYT
0.651685,0.402299,0.21519,0.15,0,0,0.753425,0.22,ME2
0.213483,0.425287,0.329114,0.11,0,0,0.630137,0.22,CYT
0.370787,0.436782,0.341772,0.38,0,0,0.712329,0.22,CYT
0.494382,0.321839,0.443038,0.21,0,0,0.712329,0.22,CYT
0.325843,0.402299,0.367089,0.17,0,0,0.739726,0.5,CYT
0.52809,0.402299,0.443038,0.1,0,0,0.630137,0.25,NUC
0.52809,0.402299,0.443038,0.12,0,0,0.630137,0.25,NUC
0.52809,0.367816,0.341772,0.24,0,0,0.712329,0.37,CYT
0.52809,0.321839,0.379747,0.26,0,0,0.69863,0.37,CYT
0.337079,0.54023,0.405063,0.29,0,0,0.643836,0.43,NUC
0.651685,0.425287,0.35443,0.42,0,0,0.671233,0.22,MIT
0.550562,0.402299,0.291139,0.52,0,0,0.739726,0.63,NUC
0.404494,0.413793,0.531646,0.17,0,0,0.424658,0.26,NUC
0.191011,0.436782,0.43038,0.11,0,0,0.630137,0.22,NUC
0.505618,0.505747,0.531646,0.39,1,0,0.808219,0.4,NUC
0.11236,0.287356,0.35443,0.16,0,0,0.69863,0.45,CYT
0.393258,0.505747,0.455696,0.15,0,0,0.712329,0.26,NUC
0.516854,0.528736,0.367089,0.58,0,0,0.726027,0.22,MIT
0.41573,0.241379,0.329114,0.14,0,0,0.643836,0.26,CYT
0.269663,0.310345,0.405063,0.18,0,0,0.575342,0.38,CYT
0.404494,0.367816,0.405063,0.62,0,0,0.630137,0.22,MIT
0.47191,0.344828,0.329114,0.15,0,0,0.794521,0.22,CYT
0.393258,0.367816,0.443038,0.16,0,0,0.767123,0.22,CYT
0.370787,0.333333,0.518987,0.14,0,0,0.753425,0.37,NUC
0.292135,0.241379,0.468354,0.24,0,0,0.60274,0.18,NUC
0.314607,0.298851,0.43038,0.52,0,0,0.506849,0.16,NUC
0.314607,0.298851,0.43038,0.52,0,0,0.506849,0.16,NUC
0.41573,0.37931,0.21519,0.29,0,0,0.726027,0.22,ME3
0.41573,0.505747,0.367089,0.09,0,0,0.712329,0.42,NUC
0.561798,0.505747,0.303797,0.21,0,0,0.684932,0.42,NUC
0.47191,0.632184,0.164557,0.42,0,0,0.739726,0.27,ME3
0.449438,0.402299,0.468354,0.22,0,0,0.684932,0.28,NUC
0.449438,0.402299,0.468354,0.22,0,0,0.684932,0.28,NUC
0.47191,0.45977,0.405063,0.17,0,0,0.671233,0.37,NUC
0.202247,0.632184,0.329114,0.26,0,0,0.643836,0.37,NUC
0.438202,0.367816,0.35443,0.15,0,0,0.753425,0.43,NUC
0.247191,0.172414,0.126582,0.24,0,0,0.726027,0.22,ME3
0.831461,0.827586,0.113924,0.31,0,0,0.753425,0.42,ME1
0.359551,0.298851,0.379747,0.28,0,0,0.547945,0.22,NUC
0.561798,0.471264,0.35443,0.16,0,0,0.739726,0.42,CYT
0.258427,0.252874,0.506329,0.19,0,0,0.712329,0.25,NUC
