@relation banana-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute At1 numeric
@attribute At2 numeric
@attribute Class {-1.0,1.0}

@data
0.43339,0.356272,1.0
0.708475,0.143369,1.0
0.45678,0.292832,-1.0
0.771186,0.353584,1.0
0.401017,0.202509,-1.0
0.254237,0.252688,1.0
0.550678,0.698925,-1.0
0.380847,0.679211,-1.0
0.425254,0.200717,-1.0
0.478305,0.202509,-1.0
0.255932,0.277419,1.0
0.435593,0.643369,-1.0
0.520288,0.772401,1.0
0.266102,0.595699,-1.0
0.701695,0.507885,-1.0
0.58322,0.421111,1.0
0.469153,0.227599,-1.0
0.412881,0.249283,-1.0
0.551695,0.145161,-1.0
0.964407,0.598746,1.0
0.781356,0.416613,-1.0
0.305085,0.333513,1.0
0.723729,0.498566,-1.0
0.523281,0.24552,-1.0
0.733898,0.47724,-1.0
0.769492,0.499642,-1.0
0.615254,0.202509,-1.0
0.468814,0.243728,-1.0
0.237288,0.213262,1.0
0.44661,0.583871,-1.0
0.889831,0.636201,1.0
0.484407,0.177419,-1.0
0.639831,0.731183,-1.0
0.514627,0.155914,-1.0
0.698305,0.526523,-1.0
0.395254,0.21147,-1.0
0.479831,0.517204,1.0
0.443729,0.501971,1.0
0.502203,0.189964,-1.0
0.390847,0.240143,-1.0
0.230508,0.191756,1.0
0.313559,0.26362,1.0
0.570339,0.251434,-1.0
0.805085,0.548746,-1.0
0.342373,0.600896,-1.0
0.479322,0.657706,-1.0
0.286441,0.362007,1.0
0.474915,0.482975,1.0
0.655593,0.68638,1.0
0.732203,0.339964,-1.0
0.308475,0.379391,1.0
0.355254,0.632616,-1.0
0.649153,0.643369,1.0
0.60661,0.590323,-1.0
0.660169,0.385842,1.0
0.208475,0.164875,1.0
0.419153,0.24552,-1.0
0.411864,0.601254,-1.0
0.606271,0.405018,1.0
0.515119,0.215054,-1.0
0.686441,0.334767,1.0
0.318644,0.567742,-1.0
0.548983,0.783154,-1.0
0.225424,0.266487,1.0
0.531966,0.358602,1.0
0.372712,0.607527,-1.0
0.568305,0.163082,-1.0
0.728814,0.657706,-1.0
0.276271,0.443172,1.0
0.347458,0.641577,-1.0
0.237288,0.331183,1.0
0.643559,0.437706,1.0
0.745763,0.382796,-1.0
0.441017,0.326882,1.0
0.828814,0.282975,-1.0
0.835593,0.639785,1.0
0.776271,0.400358,-1.0
0.374407,0.143369,-1.0
0.61339,0.569534,1.0
0.620508,0.46362,1.0
0.172881,0.434014,-1.0
0.315254,0.373118,1.0
0.639322,0.697133,-1.0
0.298305,0.435448,1.0
0.294915,0.504301,1.0
0.575763,0.30681,-1.0
0.669322,0.257706,1.0
0.409831,0.550717,1.0
0.754237,0.474552,-1.0
0.461017,0.693548,-1.0
0.201695,0.231183,1.0
0.289831,0.370968,1.0
0.56339,0.6,-1.0
0.352542,0.290143,1.0
0.398475,0.5319,1.0
0.505593,0.159498,-1.0
0.624068,0.602688,-1.0
0.611864,0.645161,-1.0
0.594237,0.761649,1.0
0.493051,0.489964,1.0
0.738983,0.349283,-1.0
0.595254,0.260932,1.0
0.404407,0.284588,-1.0
0.538644,0.204301,-1.0
0.685085,0.504839,-1.0
0.759322,0.389247,-1.0
0.340678,0.195341,-1.0
0.735593,0.365591,-1.0
0.554746,0.21147,-1.0
0.510763,0.227599,-1.0
0.454746,0.536201,1.0
0.688983,0.573297,-1.0
0.514373,0.58638,1.0
0.36339,0.611111,-1.0
0.711864,0.409319,-1.0
0.389153,0.620072,-1.0
0.41322,0.231183,-1.0
0.171186,0.109319,1.0
0.41678,0.272939,-1.0
0.378644,0.193548,-1.0
0.487288,0.247312,-1.0
0.333898,0.455914,1.0
0.337288,0.452509,1.0
0.501017,0.231183,-1.0
0.66678,0.471864,-1.0
0.603729,0.480108,1.0
0.801695,0.459498,-1.0
0.453729,0.423387,1.0
0.375424,0.534229,1.0
0.455254,0.460215,1.0
0.47339,0.344624,1.0
0.405424,0.202509,-1.0
0.727119,0.48172,-1.0
0.465085,0.159498,-1.0
0.330508,0.339785,1.0
0.519627,0.310215,1.0
0.439831,0.213262,-1.0
0.387627,0.288172,-1.0
0.415085,0.520789,1.0
0.508915,0.258423,-1.0
0.347458,0.55,-1.0
0.642542,0.432563,1.0
0.408983,0.175627,-1.0
0.436271,0.57724,1.0
0.377288,0.148746,-1.0
0.67,0.24552,1.0
0.333898,0.528495,1.0
0.391695,0.224014,-1.0
0.371186,0.695341,-1.0
0.935593,0.677419,1.0
0.240678,0.11828,1.0
0.649661,0.216846,1.0
0.266102,0.310394,1.0
0.740678,0.396774,1.0
0.791525,0.197133,1.0
0.627119,0.515771,-1.0
0.159322,0.274552,1.0
0.518525,0.549821,1.0
0.485254,0.215054,-1.0
0.632542,0.724014,1.0
0.255932,0.204301,1.0
0.586949,0.693548,-1.0
0.580169,0.276882,1.0
0.323729,0.292473,1.0
0.718644,0.155914,1.0
0.421864,0.33172,1.0
0.257627,0.116487,1.0
0.634237,0.312545,1.0
0.281356,0.654122,-1.0
0.644068,0.437796,1.0
0.723729,0.533154,-1.0
0.352542,0.200717,1.0
0.545763,0.675627,-1.0
0.60322,0.370789,1.0
0.340678,0.557348,-1.0
0.691017,0.582079,-1.0
0.789831,0.358602,-1.0
0.454068,0.558602,1.0
0.401695,0.462186,1.0
0.523171,0.414391,1.0
0.364915,0.412903,1.0
0.898305,0.611111,1.0
0.421017,0.249642,-1.0
0.761017,0.495878,-1.0
0.586441,0.484229,1.0
0.284746,0.389964,1.0
0.491186,0.725806,-1.0
0.519559,0.403047,1.0
0.705085,0.420556,-1.0
0.442881,0.204301,-1.0
0.294915,0.341398,1.0
0.692542,0.468638,-1.0
0.311864,0.198925,-1.0
0.490169,0.727599,1.0
0.388136,0.377778,1.0
0.552203,0.490143,1.0
0.667966,0.689964,-1.0
0.769492,0.206093,1.0
0.350847,0.216846,-1.0
0.301695,0.592473,-1.0
0.446271,0.370609,1.0
0.536339,0.614695,-1.0
0.67661,0.234767,1.0
0.370508,0.599104,-1.0
0.505085,0.265054,-1.0
0.694915,0.240143,1.0
0.598475,0.225806,-1.0
0.475085,0.298208,1.0
0.558475,0.343907,1.0
0.417797,0.632616,-1.0
0.418136,0.296237,1.0
0.480678,0.26129,-1.0
0.385254,0.215054,-1.0
0.230508,0.584229,-1.0
0.553559,0.775986,-1.0
0.676102,0.386201,1.0
0.665085,0.323656,1.0
0.549153,0.382437,1.0
0.315254,0.3681,1.0
0.670508,0.283692,1.0
0.705085,0.444032,-1.0
0.480339,0.700717,-1.0
0.920339,0.204301,-1.0
0.460339,0.234767,-1.0
0.327119,0.496595,-1.0
0.30339,0.218638,1.0
0.613051,0.383333,1.0
0.396949,0.326165,1.0
0.69661,0.606989,-1.0
0.541525,0.446774,1.0
0.619153,0.452867,1.0
0.577458,0.42414,1.0
0.549153,0.66129,-1.0
0.301695,0.429611,1.0
0.764407,0.402151,-1.0
0.621356,0.732975,1.0
0.505763,0.371685,1.0
0.320339,0.595341,-1.0
0.330508,0.515771,-1.0
0.498136,0.725806,-1.0
0.276271,0.265412,1.0
0.754237,0.352151,-1.0
0.762712,0.577061,-1.0
0.553559,0.229391,-1.0
0.434576,0.654122,-1.0
0.617288,0.236559,1.0
0.330508,0.482796,1.0
0.245763,0.453943,1.0
0.491695,0.206093,-1.0
0.655085,0.43138,1.0
0.422373,0.646953,-1.0
0.233898,0.197133,1.0
0.781356,0.501613,-1.0
0.61661,0.256452,-1.0
0.415932,0.251254,1.0
0.511475,0.234767,-1.0
0.539814,0.275269,1.0
0.64678,0.480108,-1.0
0.766102,0.454659,-1.0
0.519695,0.428388,1.0
0.682881,0.731183,1.0
0.305085,0.519892,-1.0
0.578644,0.729391,1.0
0.437966,0.232975,-1.0
0.581525,0.191756,-1.0
0.357966,0.595161,-1.0
0.301695,0.387276,1.0
0.742373,0.549642,-1.0
0.694915,0.259857,1.0
0.527441,0.358781,1.0
0.414068,0.209677,-1.0
0.471186,0.181004,-1.0
0.498983,0.451971,1.0
0.757627,0.585484,-1.0
0.564407,0.224014,-1.0
0.352542,0.154122,-1.0
0.728814,0.24552,1.0
0.418136,0.650538,-1.0
0.283051,0.577061,-1.0
0.508339,0.276703,-1.0
0.759322,0.272043,1.0
0.608814,0.332258,1.0
0.515932,0.698925,-1.0
0.294915,0.215054,1.0
0.823729,0.447849,-1.0
0.495593,0.251613,-1.0
0.549492,0.702509,-1.0
0.575932,0.59552,-1.0
0.335593,0.506989,1.0
0.20678,0.347491,1.0
0.242373,0.296595,1.0
0.723729,0.504301,-1.0
0.505254,0.269892,-1.0
0.564915,0.482796,1.0
0.7,0.574552,-1.0
0.610847,0.655914,-1.0
0.499153,0.727599,-1.0
0.552373,0.761649,1.0
0.356949,0.283692,-1.0
0.587966,0.293011,-1.0
0.335593,0.545699,1.0
0.368136,0.630824,-1.0
0.450847,0.298925,-1.0
0.249153,0.096774,1.0
0.587627,0.463799,1.0
0.467966,0.274552,-1.0
0.544915,0.815412,-1.0
0.505424,0.195341,-1.0
0.503729,0.732975,1.0
0.663729,0.561649,-1.0
0.337288,0.573656,-1.0
0.727119,0.321147,1.0
0.20339,0.298029,1.0
0.769492,0.469355,-1.0
0.664915,0.382796,1.0
0.235593,0.276882,1.0
0.569831,0.75448,1.0
0.554068,0.752688,-1.0
0.362542,0.523835,-1.0
0.342373,0.524014,1.0
0.375593,0.593548,-1.0
0.51161,0.681004,-1.0
0.55678,0.375269,1.0
0.586949,0.218638,-1.0
0.660678,0.279391,1.0
0.438305,0.612903,-1.0
0.759322,0.475269,-1.0
0.713559,0.582796,-1.0
0.651695,0.467742,1.0
0.789831,0.407885,-1.0
0.747458,0.672043,1.0
0.659661,0.452151,-1.0
0.429153,0.530824,1.0
0.569492,0.553047,1.0
0.421017,0.330466,1.0
0.429492,0.337814,1.0
0.228814,0.473835,-1.0
0.547966,0.48871,1.0
0.725424,0.355914,-1.0
0.49661,0.184588,-1.0
0.742373,0.455735,-1.0
0.772881,0.372401,1.0
0.379153,0.218638,-1.0
0.459831,0.537097,1.0
0.662034,0.483154,1.0
0.720339,0.234767,1.0
0.587797,0.327957,1.0
0.427627,0.224014,-1.0
0.682034,0.474552,1.0
0.694915,0.295161,1.0
0.686441,0.267025,1.0
0.481525,0.432509,1.0
0.769492,0.38172,-1.0
0.439492,0.620072,-1.0
0.663898,0.56362,-1.0
0.626102,0.495341,-1.0
0.949153,0.62724,1.0
0.549831,0.31129,1.0
0.478983,0.290681,1.0
0.42661,0.286918,1.0
0.657966,0.605376,-1.0
0.518,0.700717,-1.0
0.79322,0.334767,-1.0
0.420339,0.373477,1.0
0.554915,0.732975,1.0
0.529102,0.281183,1.0
0.656102,0.502688,-1.0
0.543729,0.182796,-1.0
0.257627,0.597133,-1.0
0.594068,0.750896,-1.0
0.617288,0.795699,-1.0
0.318644,0.260932,-1.0
0.161017,0.343011,1.0
0.526339,0.175627,-1.0
0.510356,0.18638,-1.0
0.456441,0.664875,-1.0
0.444746,0.454301,1.0
0.564068,0.157706,-1.0
0.450339,0.225806,-1.0
0.744068,0.527778,-1.0
0.540525,0.240143,-1.0
0.623729,0.285663,1.0
0.483898,0.317742,1.0
0.658644,0.505197,1.0
0.189831,0.379749,1.0
0.571864,0.853047,-1.0
0.457627,0.39086,1.0
0.551695,0.355735,1.0
0.451864,0.78853,-1.0
0.365424,0.145161,-1.0
0.560678,0.362366,1.0
0.475763,0.765233,1.0
0.464915,0.159498,-1.0
0.465763,0.193548,-1.0
0.57678,0.462186,1.0
0.465932,0.4219,1.0
0.522546,0.222222,-1.0
0.230508,0.195341,1.0
0.447288,0.567204,1.0
0.249153,0.300717,1.0
0.377627,0.41733,1.0
0.38339,0.277957,-1.0
0.352542,0.620072,-1.0
0.69661,0.582079,-1.0
0.480508,0.49767,1.0
0.543729,0.451613,1.0
0.390508,0.31362,1.0
0.508559,0.724014,1.0
0.940678,0.648746,1.0
0.387627,0.301971,-1.0
0.418983,0.213262,-1.0
0.644576,0.611111,-1.0
0.689153,0.154122,1.0
0.772881,0.645161,1.0
0.189831,0.307527,1.0
0.521695,0.682796,-1.0
0.650508,0.328315,1.0
0.277966,0.391935,1.0
0.557458,0.274194,-1.0
0.238983,0.336918,1.0
0.618644,0.516308,-1.0
0.560339,0.227599,-1.0
0.484407,0.27724,1.0
0.805085,0.682796,1.0
0.574746,0.78853,-1.0
0.749153,0.576165,-1.0
0.723729,0.442652,-1.0
0.254237,0.453047,-1.0
0.825424,0.337276,-1.0
0.755932,0.155914,1.0
0.659661,0.505556,1.0
0.678475,0.371326,1.0
0.524685,0.224014,-1.0
0.340678,0.663082,-1.0
0.587966,0.673835,-1.0
0.505763,0.261111,-1.0
0.668475,0.280108,1.0
0.274576,0.390323,1.0
0.733898,0.189964,1.0
0.470508,0.251971,-1.0
0.44339,0.265054,-1.0
0.635424,0.4181,1.0
0.833898,0.49086,-1.0
0.779661,0.222222,1.0
0.483559,0.177419,-1.0
0.526441,0.225806,-1.0
0.567797,0.770609,-1.0
0.506102,0.232975,-1.0
0.401017,0.163082,-1.0
0.733898,0.40233,-1.0
0.392203,0.202509,-1.0
0.720339,0.437079,-1.0
0.701695,0.055556,1.0
0.547966,0.616487,-1.0
0.283051,0.157706,1.0
0.728814,0.543369,-1.0
0.617119,0.693548,-1.0
0.556102,0.736559,-1.0
0.582203,0.268638,-1.0
0.45661,0.181004,-1.0
0.254237,0.291039,1.0
0.67678,0.218638,1.0
0.789831,0.412043,-1.0
0.723729,0.591935,-1.0
0.468983,0.381004,1.0
0.472542,0.209677,-1.0
0.310169,0.375269,1.0
0.671864,0.175627,1.0
0.373729,0.616487,-1.0
0.266102,0.295699,1.0
0.402373,0.393548,1.0
0.425593,0.357168,1.0
0.266102,0.497849,-1.0
0.789831,0.326882,-1.0
0.404746,0.213262,-1.0
0.461695,0.270251,-1.0
0.769492,0.109319,1.0
0.316949,0.57724,-1.0
0.759322,0.229391,1.0
0.687966,0.593369,-1.0
0.635424,0.620072,-1.0
0.48339,0.450896,1.0
0.426102,0.345341,1.0
0.552712,0.269534,-1.0
0.675085,0.490143,-1.0
0.271186,0.586918,-1.0
0.567458,0.483692,1.0
0.420508,0.263978,-1.0
0.701695,0.544982,-1.0
0.383559,0.337634,1.0
0.587119,0.179211,-1.0
0.390847,0.601971,-1.0
0.70678,0.682796,1.0
0.548475,0.401254,1.0
0.19661,0.53638,-1.0
0.399322,0.232975,-1.0
0.322034,0.333513,1.0
0.526712,0.445018,1.0
0.815254,0.348029,-1.0
0.755932,0.540323,-1.0
0.744068,0.461649,-1.0
0.513254,0.492473,1.0
0.366271,0.179211,-1.0
0.716949,0.414498,-1.0
0.379661,0.263441,-1.0
0.222034,0.16129,1.0
0.208475,0.253226,1.0
0.405254,0.428212,1.0
0.355085,0.179211,-1.0
0.484237,0.534588,1.0
0.45339,0.693548,-1.0
0.242373,0.28638,1.0
0.497966,0.308423,-1.0
0.409661,0.484409,1.0
0.313559,0.299283,1.0
0.647458,0.362007,-1.0
0.311864,0.446953,1.0
0.837288,0.675627,1.0
0.546441,0.263082,-1.0
0.616271,0.393369,1.0
0.626102,0.612903,-1.0
0.332203,0.234767,1.0
0.332203,0.462903,1.0
0.249153,0.611111,-1.0
0.342373,0.229391,1.0
0.448644,0.761649,-1.0
0.531153,0.524373,1.0
0.479322,0.213262,-1.0
0.550169,0.455556,1.0
0.471017,0.606631,1.0
0.632034,0.643369,-1.0
